region,processed_path,sha256,rows,stations_count,stations_list,min_timestamp,max_timestamp,flood_hours,prevalence_pct,duplicate_station_time_pairs,source,provenance_status
himachal_pradesh,ml\data\processed\himachal_pradesh\himachal_pradesh_processed_dataset.csv,29682d866bda6f070bd3db93056e1ad71b068f8b61f04d29758ca5366f96318c,15624,7,AUT_JNC_03;JGN_VLY_05;PND_DAM_02;DHR_KHD_06;THL_GRG_04;MND_URBAN_01;SDR_BSN_07,2022-07-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,2583,16.53,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
jammu_kashmir,ml\data\processed\jammu_kashmir\jammu_kashmir_processed_dataset.csv,57585279c4041ab38f8a4cc33c69bef137d581c19ca486e1bbc4b20f7c7fd21f,13248,6,ANN_CHN_02;JMU_TWI_04;BRH_KSH_06;PHL_CHN_05;SRN_JHL_01;BRM_CHN_03,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,570,4.3,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
sikkim,ml\data\processed\sikkim\sikkim_processed_dataset.csv,2a080454359664ccc96a5a4adc33f90702f8a44ec01152583777cb521b3d041a,11040,5,CHG_GLF_04;SNG_TST_02;GNG_TST_01;MNG_RNG_03;JRT_TST_05,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,105,0.95,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
arunachal_pradesh,ml\data\processed\arunachal_pradesh\arunachal_pradesh_processed_dataset.csv,4172afe9f57304648df3440bc345bb83c50fb1258a91aa55b8a7b4cc3b507858,13248,6,ALN_SUB_03;PSG_SNG_02;DPR_SUB_04;SEP_KMG_05;TWN_LOH_06;ITN_SNG_01,2023-05-01 00:00:00+00:00,2023-07-31 23:00:00+00:00,726,5.48,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
meghalaya,ml\data\processed\meghalaya\meghalaya_processed_dataset.csv,7eeb2b6671b6af0169beebac73473f08b71e69f22b2661ee43ac9ba6dd8bd639,13248,6,CHR_MYN_02;NNG_UMI_06;DWK_UMN_03;SHL_UMI_01;TUR_SMS_04;JWI_UMI_05,2023-05-01 00:00:00+00:00,2023-07-31 23:00:00+00:00,1380,10.42,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
leh_ladakh,ml\data\processed\leh_ladakh\leh_ladakh_processed_dataset.csv,e50eb6b5b0d383da7e3c79640659a32fdbc7c54b201d933637c3406b3ac5907a,11040,5,CHL_LEH_05;NUB_NUB_04;KHL_ZAN_03;LEH_IND_01;KRU_SHY_02,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,35,0.32,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
nagaland,ml\data\processed\nagaland\nagaland_processed_dataset.csv,0451cca1c8ce5150c619b97bd05d1969248c30fa9a5f9aa2da08b8f3860cd1ba,11040,5,DMP_DOY_02;ZHT_TIZ_05;KHM_DHN_01;WKH_TIZ_04;MOK_DOY_03,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0,0.0,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
manipur,ml\data\processed\manipur\manipur_processed_dataset.csv,dec17059fcd9ca5beb8d5ec55f3bf52c3f3f5294aa9e6f6c45e033ea8d495b55,11040,5,BIS_IRL_02;TMN_IMP_05;CHR_BRK_03;JRB_IRL_04;IMP_IMP_01,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0,0.0,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
mizoram,ml\data\processed\mizoram\mizoram_processed_dataset.csv,e4676bbcac97c3f0049e1bdec86fed515afbc9ed8b66b11aa587ce6cb7db203f,11040,5,AZL_TLW_01;SMR_TLW_04;CHM_BRK_05;LWG_CHH_03;KLH_TUR_02,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0,0.0,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
tripura,ml\data\processed\tripura\tripura_processed_dataset.csv,5fc594f2ec7baf143cf692a5d83cc97108d805acb11e07aef02d25b59ffe38aa,11040,5,AGR_GMT_01;UDP_GMT_03;BLN_DEO_04;JMP_JMP_05;DMB_MNU_02,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0,0.0,0,Copernicus ERA5-Land Hourly via Open-Meteo Archive,CONFIRMED_AUTHENTIC
