station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
ALN_SUB_03,2023-05-01 00:00:00+00:00,28.17,94.79,spatial_holdout_val,0.5,0.5,0.5,0.5,0.5,100.0,100.0,19.7,94,973.3,0.4,310.0,22.0,60.0,4500.0,0
PSG_SNG_02,2023-05-01 00:00:00+00:00,28.065,95.328,train,3.6,3.6,3.6,3.6,3.6,100.0,100.0,21.1,88,989.0,3.5,155.0,12.0,30.0,22300.0,0
DPR_SUB_04,2023-05-01 00:00:00+00:00,27.99,94.22,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,21.4,84,979.1,0.0,370.0,24.0,50.0,17600.0,0
SEP_KMG_05,2023-05-01 00:00:00+00:00,27.34,92.97,train,0.4,0.4,0.4,0.4,0.4,100.0,100.0,17.9,94,924.9,2.3,490.0,26.0,80.0,6100.0,0
TWN_LOH_06,2023-05-01 00:00:00+00:00,27.92,96.16,spatial_holdout_val,1.8,1.8,1.8,1.8,1.8,100.0,100.0,19.1,90,985.2,6.0,210.0,15.0,70.0,28200.0,0
ITN_SNG_01,2023-05-01 00:00:00+00:00,27.0844,93.6053,train,0.1,0.1,0.1,0.1,0.1,100.0,100.0,20.0,94,975.8,1.8,350.0,20.0,120.0,1800.0,0
ALN_SUB_03,2023-05-01 01:00:00+00:00,28.17,94.79,spatial_holdout_val,0.1,0.6,0.6,0.6,0.6,100.0,100.0,20.6,92,973.9,1.6,310.0,22.0,60.0,4500.0,0
PSG_SNG_02,2023-05-01 01:00:00+00:00,28.065,95.328,train,7.9,11.5,11.5,11.5,11.5,100.0,100.0,21.2,85,989.4,3.3,155.0,12.0,30.0,22300.0,0
TWN_LOH_06,2023-05-01 01:00:00+00:00,27.92,96.16,spatial_holdout_val,1.8,3.6,3.6,3.6,3.6,100.0,100.0,19.3,98,986.0,3.9,210.0,15.0,70.0,28200.0,0
SEP_KMG_05,2023-05-01 01:00:00+00:00,27.34,92.97,train,0.2,0.6,0.6,0.6,0.6,100.0,100.0,18.9,93,925.8,2.6,490.0,26.0,80.0,6100.0,0
ITN_SNG_01,2023-05-01 01:00:00+00:00,27.0844,93.6053,train,0.3,0.4,0.4,0.4,0.4,100.0,100.0,21.2,91,977.0,3.8,350.0,20.0,120.0,1800.0,0
