station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
ANN_CHN_02,2023-06-01 00:00:00+00:00,33.7311,75.1547,train,0.5,0.5,0.5,0.5,0.5,100.0,100.0,10.6,98,837.1,4.2,1640.0,18.0,80.0,4200.0,1
JMU_TWI_04,2023-06-01 00:00:00+00:00,32.7266,74.857,spatial_holdout_val,3.3,3.3,3.3,3.3,3.3,80.0,32.9,19.2,91,971.6,3.6,327.0,8.0,55.0,2300.0,1
BRH_KSH_06,2023-06-01 00:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.9,0.9,0.9,0.9,0.9,100.0,96.6,11.2,93,837.7,5.2,1580.0,10.0,50.0,12500.0,1
PHL_CHN_05,2023-06-01 00:00:00+00:00,33.15,75.77,train,3.1,3.1,3.1,3.1,3.1,100.0,100.0,14.0,82,878.6,5.5,1450.0,22.0,65.0,7600.0,1
SRN_JHL_01,2023-06-01 00:00:00+00:00,34.0837,74.7973,train,0.4,0.4,0.4,0.4,0.4,100.0,100.0,11.0,97,838.6,6.2,1585.0,12.0,40.0,9480.0,1
BRM_CHN_03,2023-06-01 00:00:00+00:00,33.4397,75.1982,train,0.4,0.4,0.4,0.4,0.4,100.0,100.0,12.9,80,824.6,3.6,1700.0,28.0,120.0,2100.0,1
ANN_CHN_02,2023-06-01 01:00:00+00:00,33.7311,75.1547,train,0.3,0.8,0.8,0.8,0.8,100.0,100.0,10.8,96,837.9,6.1,1640.0,18.0,80.0,4200.0,0
JMU_TWI_04,2023-06-01 01:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.0,3.3,3.3,3.3,3.3,77.1,34.0,20.3,87,972.9,1.5,327.0,8.0,55.0,2300.0,0
SRN_JHL_01,2023-06-01 01:00:00+00:00,34.0837,74.7973,train,0.2,0.6,0.6,0.6,0.6,100.0,100.0,11.1,98,839.0,5.3,1585.0,12.0,40.0,9480.0,0
PHL_CHN_05,2023-06-01 01:00:00+00:00,33.15,75.77,train,0.6,3.7,3.7,3.7,3.7,100.0,100.0,14.1,85,879.1,3.0,1450.0,22.0,65.0,7600.0,0
BRM_CHN_03,2023-06-01 01:00:00+00:00,33.4397,75.1982,train,0.3,0.7,0.7,0.7,0.7,100.0,100.0,12.8,88,825.2,2.4,1700.0,28.0,120.0,2100.0,0
BRH_KSH_06,2023-06-01 01:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.1,1.0,1.0,1.0,1.0,100.0,97.1,12.0,91,838.3,3.5,1580.0,10.0,50.0,12500.0,0
BRM_CHN_03,2023-06-01 02:00:00+00:00,33.4397,75.1982,train,0.2,0.9,0.9,0.9,0.9,100.0,100.0,13.0,87,825.8,3.1,1700.0,28.0,120.0,2100.0,0
SRN_JHL_01,2023-06-01 02:00:00+00:00,34.0837,74.7973,train,0.2,0.8,0.8,0.8,0.8,100.0,100.0,11.3,99,839.7,6.4,1585.0,12.0,40.0,9480.0,0
JMU_TWI_04,2023-06-01 02:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.0,3.3,3.3,3.3,3.3,75.1,34.6,21.1,80,973.5,4.7,327.0,8.0,55.0,2300.0,0
PHL_CHN_05,2023-06-01 02:00:00+00:00,33.15,75.77,train,0.1,3.8,3.8,3.8,3.8,100.0,100.0,14.6,81,879.7,3.3,1450.0,22.0,65.0,7600.0,0
ANN_CHN_02,2023-06-01 02:00:00+00:00,33.7311,75.1547,train,0.7,1.5,1.5,1.5,1.5,100.0,100.0,10.8,94,838.5,4.3,1640.0,18.0,80.0,4200.0,0
BRH_KSH_06,2023-06-01 02:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.2,1.2,1.2,1.2,1.2,100.0,97.7,12.7,89,839.0,1.8,1580.0,10.0,50.0,12500.0,0
SRN_JHL_01,2023-06-01 03:00:00+00:00,34.0837,74.7973,train,0.4,0.8,1.2,1.2,1.2,100.0,100.0,11.5,96,840.3,5.2,1585.0,12.0,40.0,9480.0,0
PHL_CHN_05,2023-06-01 03:00:00+00:00,33.15,75.77,train,0.0,0.7,3.8,3.8,3.8,100.0,100.0,15.6,81,880.3,5.7,1450.0,22.0,65.0,7600.0,0
BRM_CHN_03,2023-06-01 03:00:00+00:00,33.4397,75.1982,train,0.1,0.6,1.0,1.0,1.0,100.0,100.0,13.5,83,826.8,5.9,1700.0,28.0,120.0,2100.0,0
BRH_KSH_06,2023-06-01 03:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.6,0.9,1.8,1.8,1.8,100.0,98.3,12.7,91,839.7,3.9,1580.0,10.0,50.0,12500.0,0
ANN_CHN_02,2023-06-01 03:00:00+00:00,33.7311,75.1547,train,0.4,1.4,1.9,1.9,1.9,100.0,100.0,11.0,93,839.1,4.2,1640.0,18.0,80.0,4200.0,0
JMU_TWI_04,2023-06-01 03:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.8,0.8,4.1,4.1,4.1,75.7,35.4,21.2,77,974.2,14.7,327.0,8.0,55.0,2300.0,0
BRH_KSH_06,2023-06-01 04:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.4,1.2,2.2,2.2,2.2,100.0,98.9,12.4,93,840.3,4.3,1580.0,10.0,50.0,12500.0,0
BRM_CHN_03,2023-06-01 04:00:00+00:00,33.4397,75.1982,train,0.2,0.5,1.2,1.2,1.2,100.0,100.0,14.2,82,827.5,7.3,1700.0,28.0,120.0,2100.0,0
SRN_JHL_01,2023-06-01 04:00:00+00:00,34.0837,74.7973,train,0.1,0.7,1.3,1.3,1.3,100.0,100.0,12.7,90,841.2,5.5,1585.0,12.0,40.0,9480.0,0
JMU_TWI_04,2023-06-01 04:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.7,1.5,4.8,4.8,4.8,75.7,36.0,20.7,80,974.3,11.5,327.0,8.0,55.0,2300.0,0
PHL_CHN_05,2023-06-01 04:00:00+00:00,33.15,75.77,train,0.0,0.1,3.8,3.8,3.8,100.0,100.0,16.5,75,881.0,6.2,1450.0,22.0,65.0,7600.0,0
ANN_CHN_02,2023-06-01 04:00:00+00:00,33.7311,75.1547,train,0.1,1.2,2.0,2.0,2.0,100.0,100.0,11.7,90,839.8,5.2,1640.0,18.0,80.0,4200.0,0
BRH_KSH_06,2023-06-01 05:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.3,1.3,2.5,2.5,2.5,100.0,99.1,12.8,91,840.5,6.0,1580.0,10.0,50.0,12500.0,0
BRM_CHN_03,2023-06-01 05:00:00+00:00,33.4397,75.1982,train,0.5,0.8,1.7,1.7,1.7,100.0,100.0,13.5,87,827.6,5.9,1700.0,28.0,120.0,2100.0,0
ANN_CHN_02,2023-06-01 05:00:00+00:00,33.7311,75.1547,train,0.8,1.3,2.8,2.8,2.8,100.0,100.0,13.2,85,840.3,6.0,1640.0,18.0,80.0,4200.0,0
SRN_JHL_01,2023-06-01 05:00:00+00:00,34.0837,74.7973,train,0.1,0.6,1.4,1.4,1.4,100.0,100.0,13.6,86,841.6,8.0,1585.0,12.0,40.0,9480.0,0
JMU_TWI_04,2023-06-01 05:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.9,2.4,5.7,5.7,5.7,76.6,36.6,21.0,87,974.2,8.4,327.0,8.0,55.0,2300.0,0
PHL_CHN_05,2023-06-01 05:00:00+00:00,33.15,75.77,train,0.2,0.2,4.0,4.0,4.0,100.0,100.0,17.5,72,881.6,7.2,1450.0,22.0,65.0,7600.0,0
BRM_CHN_03,2023-06-01 06:00:00+00:00,33.4397,75.1982,train,0.9,1.6,2.2,2.6,2.6,100.0,100.0,13.9,86,827.5,4.0,1700.0,28.0,120.0,2100.0,0
SRN_JHL_01,2023-06-01 06:00:00+00:00,34.0837,74.7973,train,0.4,0.6,1.4,1.8,1.8,100.0,100.0,14.2,83,841.9,10.0,1585.0,12.0,40.0,9480.0,0
BRH_KSH_06,2023-06-01 06:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.3,1.0,1.9,2.8,2.8,100.0,99.7,13.7,82,840.8,6.2,1580.0,10.0,50.0,12500.0,0
ANN_CHN_02,2023-06-01 06:00:00+00:00,33.7311,75.1547,train,2.3,3.2,4.6,5.1,5.1,100.0,100.0,12.8,88,840.3,5.0,1640.0,18.0,80.0,4200.0,0
PHL_CHN_05,2023-06-01 06:00:00+00:00,33.15,75.77,train,0.2,0.4,1.1,4.2,4.2,100.0,100.0,18.2,70,881.4,8.3,1450.0,22.0,65.0,7600.0,0
JMU_TWI_04,2023-06-01 06:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.5,2.1,2.9,6.2,6.2,75.7,37.4,21.2,84,974.0,11.6,327.0,8.0,55.0,2300.0,0
PHL_CHN_05,2023-06-01 07:00:00+00:00,33.15,75.77,train,0.5,0.9,1.0,4.7,4.7,100.0,100.0,18.3,70,881.5,6.6,1450.0,22.0,65.0,7600.0,0
BRH_KSH_06,2023-06-01 07:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.3,0.9,2.1,3.1,3.1,100.0,100.0,14.1,78,841.0,7.4,1580.0,10.0,50.0,12500.0,0
BRM_CHN_03,2023-06-01 07:00:00+00:00,33.4397,75.1982,train,1.2,2.6,3.1,3.8,3.8,100.0,100.0,15.0,79,827.7,7.5,1700.0,28.0,120.0,2100.0,0
SRN_JHL_01,2023-06-01 07:00:00+00:00,34.0837,74.7973,train,0.6,1.1,1.8,2.4,2.4,100.0,100.0,13.6,88,841.8,9.1,1585.0,12.0,40.0,9480.0,0
ANN_CHN_02,2023-06-01 07:00:00+00:00,33.7311,75.1547,train,0.5,3.6,4.8,5.6,5.6,100.0,100.0,13.0,91,840.3,6.1,1640.0,18.0,80.0,4200.0,0
JMU_TWI_04,2023-06-01 07:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.4,1.8,3.3,6.6,6.6,74.9,38.0,24.7,62,974.0,10.6,327.0,8.0,55.0,2300.0,0
JMU_TWI_04,2023-06-01 08:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.0,0.9,3.3,6.6,6.6,72.9,38.6,26.6,53,972.8,10.7,327.0,8.0,55.0,2300.0,0
PHL_CHN_05,2023-06-01 08:00:00+00:00,33.15,75.77,train,1.0,1.7,1.9,5.7,5.7,100.0,100.0,17.8,76,881.2,5.8,1450.0,22.0,65.0,7600.0,0
SRN_JHL_01,2023-06-01 08:00:00+00:00,34.0837,74.7973,train,0.5,1.5,2.1,2.9,2.9,100.0,100.0,14.1,86,841.6,11.9,1585.0,12.0,40.0,9480.0,0
BRM_CHN_03,2023-06-01 08:00:00+00:00,33.4397,75.1982,train,1.4,3.5,4.3,5.2,5.2,100.0,100.0,13.8,84,827.2,2.0,1700.0,28.0,120.0,2100.0,0
BRH_KSH_06,2023-06-01 08:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.6,1.2,2.5,3.7,3.7,100.0,100.0,13.8,80,840.7,6.0,1580.0,10.0,50.0,12500.0,0
ANN_CHN_02,2023-06-01 08:00:00+00:00,33.7311,75.1547,train,1.3,4.1,5.4,6.9,6.9,100.0,100.0,13.6,93,840.2,7.5,1640.0,18.0,80.0,4200.0,0
JMU_TWI_04,2023-06-01 09:00:00+00:00,32.7266,74.857,spatial_holdout_val,0.0,0.4,2.5,6.6,6.6,70.9,38.9,28.0,49,972.4,8.2,327.0,8.0,55.0,2300.0,0
SRN_JHL_01,2023-06-01 09:00:00+00:00,34.0837,74.7973,train,0.8,1.9,2.5,3.7,3.7,100.0,100.0,14.5,85,841.5,10.5,1585.0,12.0,40.0,9480.0,0
BRH_KSH_06,2023-06-01 09:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.3,1.2,2.2,4.0,4.0,100.0,100.0,14.2,76,840.5,5.2,1580.0,10.0,50.0,12500.0,0
BRM_CHN_03,2023-06-01 09:00:00+00:00,33.4397,75.1982,train,0.0,2.6,4.2,5.2,5.2,100.0,100.0,15.6,72,827.2,4.5,1700.0,28.0,120.0,2100.0,0
PHL_CHN_05,2023-06-01 09:00:00+00:00,33.15,75.77,train,0.6,2.1,2.5,6.3,6.3,100.0,100.0,17.9,76,880.8,6.4,1450.0,22.0,65.0,7600.0,0
ANN_CHN_02,2023-06-01 09:00:00+00:00,33.7311,75.1547,train,1.3,3.1,6.3,8.2,8.2,100.0,100.0,13.5,89,840.0,8.7,1640.0,18.0,80.0,4200.0,0
JMU_TWI_04,2023-06-01 10:00:00+00:00,32.7266,74.857,spatial_holdout_val,1.1,1.1,2.9,7.7,7.7,72.6,39.1,24.3,63,973.2,15.9,327.0,8.0,55.0,2300.0,0
BRH_KSH_06,2023-06-01 10:00:00+00:00,34.1986,74.3439,spatial_holdout_val,0.1,1.0,1.9,4.1,4.1,100.0,100.0,15.1,73,840.5,4.6,1580.0,10.0,50.0,12500.0,0
BRM_CHN_03,2023-06-01 10:00:00+00:00,33.4397,75.1982,train,0.0,1.4,4.0,5.2,5.2,100.0,100.0,17.2,64,827.2,6.9,1700.0,28.0,120.0,2100.0,0
SRN_JHL_01,2023-06-01 10:00:00+00:00,34.0837,74.7973,train,0.5,1.8,2.9,4.2,4.2,100.0,100.0,14.4,86,841.3,7.2,1585.0,12.0,40.0,9480.0,0
PHL_CHN_05,2023-06-01 10:00:00+00:00,33.15,75.77,train,0.0,1.6,2.5,6.3,6.3,100.0,100.0,20.1,63,880.5,6.4,1450.0,22.0,65.0,7600.0,0
