station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
CHL_LEH_05,2023-06-01 00:00:00+00:00,34.1,77.62,train,1.1,1.1,1.1,1.1,1.1,100.0,100.0,4.8,75,685.6,2.9,3400.0,25.0,80.0,3200.0,0
NUB_NUB_04,2023-06-01 00:00:00+00:00,34.68,77.57,train,1.7,1.7,1.7,1.7,1.7,100.0,100.0,5.5,67,700.6,3.8,3100.0,12.0,150.0,15000.0,0
KHL_ZAN_03,2023-06-01 00:00:00+00:00,34.3,76.95,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,91.7,6.6,75,693.3,1.1,3060.0,20.0,60.0,50000.0,0
LEH_IND_01,2023-06-01 00:00:00+00:00,34.1526,77.5771,train,0.1,0.1,0.1,0.1,0.1,81.7,79.1,3.8,81,676.9,3.2,3524.0,14.0,200.0,41000.0,0
KRU_SHY_02,2023-06-01 00:00:00+00:00,34.03,77.8,train,0.1,0.1,0.1,0.1,0.1,33.7,34.6,-0.7,83,611.5,2.5,3340.0,18.0,100.0,33000.0,0
CHL_LEH_05,2023-06-01 01:00:00+00:00,34.1,77.62,train,0.3,1.4,1.4,1.4,1.4,100.0,100.0,5.5,69,686.3,3.9,3400.0,25.0,80.0,3200.0,0
NUB_NUB_04,2023-06-01 01:00:00+00:00,34.68,77.57,train,0.4,2.1,2.1,2.1,2.1,100.0,100.0,6.1,65,701.3,3.9,3100.0,12.0,150.0,15000.0,0
KHL_ZAN_03,2023-06-01 01:00:00+00:00,34.3,76.95,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,92.0,7.1,70,694.0,1.1,3060.0,20.0,60.0,50000.0,0
KRU_SHY_02,2023-06-01 01:00:00+00:00,34.03,77.8,train,0.1,0.2,0.2,0.2,0.2,33.7,34.6,-0.4,81,611.7,1.3,3340.0,18.0,100.0,33000.0,0
LEH_IND_01,2023-06-01 01:00:00+00:00,34.1526,77.5771,train,0.1,0.2,0.2,0.2,0.2,81.7,79.1,4.9,69,677.8,4.3,3524.0,14.0,200.0,41000.0,0
CHL_LEH_05,2023-06-01 02:00:00+00:00,34.1,77.62,train,0.4,1.8,1.8,1.8,1.8,100.0,100.0,5.0,72,686.5,4.4,3400.0,25.0,80.0,3200.0,0
KHL_ZAN_03,2023-06-01 02:00:00+00:00,34.3,76.95,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,92.0,8.0,60,694.8,2.1,3060.0,20.0,60.0,50000.0,0
NUB_NUB_04,2023-06-01 02:00:00+00:00,34.68,77.57,train,1.1,3.2,3.2,3.2,3.2,100.0,100.0,6.5,68,701.8,3.6,3100.0,12.0,150.0,15000.0,0
