time,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,station_id,station_name,latitude,longitude,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,period_id,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,flood_occurred,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh
2023-07-01T00:00,0.0,0.0,0.39,0.383,24.2,83,895.4,4.5,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.0,0.0,0.0,86.67,85.11,0,24.2,83,895.4,4.5
2023-07-01T01:00,0.0,0.0,0.39,0.383,22.1,94,894.6,5.1,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.0,0.0,0.0,86.67,85.11,0,22.1,94,894.6,5.1
2023-07-01T02:00,0.0,0.0,0.39,0.383,21.4,95,894.1,5.1,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.0,0.0,0.0,86.67,85.11,0,21.4,95,894.1,5.1
2023-07-01T03:00,0.0,0.0,0.39,0.383,20.8,94,893.7,5.8,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.0,0.0,0.0,86.67,85.11,0,20.8,94,893.7,5.8
2023-07-01T04:00,0.0,0.0,0.39,0.383,20.1,93,893.4,5.2,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.0,0.0,0.0,86.67,85.11,0,20.1,93,893.4,5.2
2023-07-01T05:00,0.0,0.0,0.386,0.383,22.4,88,894.8,3.9,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.0,0.0,0.0,85.78,85.11,0,22.4,88,894.8,3.9
2023-07-01T06:00,0.2,0.2,0.388,0.383,22.7,89,895.3,2.1,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.2,0.2,0.2,0.2,0.2,86.22,85.11,0,22.7,89,895.3,2.1
2023-07-01T07:00,0.0,0.0,0.388,0.383,23.4,81,895.3,4.0,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.2,0.2,0.2,0.2,86.22,85.11,0,23.4,81,895.3,4.0
2023-07-01T08:00,0.0,0.0,0.388,0.383,24.9,76,895.5,1.6,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.2,0.2,0.2,0.2,86.22,85.11,0,24.9,76,895.5,1.6
2023-07-01T09:00,0.0,0.0,0.386,0.383,26.8,70,896.0,2.1,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.2,0.2,0.2,85.78,85.11,0,26.8,70,896.0,2.1
