station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
BIS_IRL_02,2023-06-01 00:00:00+00:00,24.631,93.782,train,0.0,0.0,0.0,0.0,0.0,41.4,42.3,25.1,80,922.4,2.9,770.0,4.0,30.0,980.0,0
TMN_IMP_05,2023-06-01 00:00:00+00:00,24.634,94.093,train,0.0,0.0,0.0,0.0,0.0,72.3,70.9,24.3,79,919.9,5.6,790.0,8.0,55.0,620.0,0
CHR_BRK_03,2023-06-01 00:00:00+00:00,24.334,93.68,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,92.9,22.0,95,911.8,5.3,920.0,20.0,140.0,1200.0,0
JRB_IRL_04,2023-06-01 00:00:00+00:00,24.793,93.126,train,0.0,0.0,0.0,0.0,0.0,88.6,93.4,27.3,82,1002.0,3.3,28.0,3.0,20.0,8900.0,0
IMP_IMP_01,2023-06-01 00:00:00+00:00,24.817,93.9368,train,0.0,0.0,0.0,0.0,0.0,74.6,74.0,23.6,80,921.3,1.5,786.0,6.0,50.0,1450.0,0
BIS_IRL_02,2023-06-01 01:00:00+00:00,24.631,93.782,train,0.0,0.0,0.0,0.0,0.0,41.4,42.3,27.1,67,923.3,5.1,770.0,4.0,30.0,980.0,0
TMN_IMP_05,2023-06-01 01:00:00+00:00,24.634,94.093,train,0.0,0.0,0.0,0.0,0.0,72.3,70.9,26.4,69,920.7,9.4,790.0,8.0,55.0,620.0,0
CHR_BRK_03,2023-06-01 01:00:00+00:00,24.334,93.68,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,92.9,24.9,83,913.2,3.5,920.0,20.0,140.0,1200.0,0
IMP_IMP_01,2023-06-01 01:00:00+00:00,24.817,93.9368,train,0.0,0.0,0.0,0.0,0.0,74.6,74.0,26.9,64,922.4,3.1,786.0,6.0,50.0,1450.0,0
JRB_IRL_04,2023-06-01 01:00:00+00:00,24.793,93.126,train,0.0,0.0,0.0,0.0,0.0,88.6,93.1,28.2,80,1002.6,2.9,28.0,3.0,20.0,8900.0,0
BIS_IRL_02,2023-06-01 02:00:00+00:00,24.631,93.782,train,0.0,0.0,0.0,0.0,0.0,41.1,42.3,28.5,59,923.9,8.0,770.0,4.0,30.0,980.0,0
CHR_BRK_03,2023-06-01 02:00:00+00:00,24.334,93.68,spatial_holdout_val,0.1,0.1,0.1,0.1,0.1,100.0,92.9,26.9,70,913.9,6.5,920.0,20.0,140.0,1200.0,0
TMN_IMP_05,2023-06-01 02:00:00+00:00,24.634,94.093,train,0.0,0.0,0.0,0.0,0.0,72.3,70.9,28.0,61,921.3,10.7,790.0,8.0,55.0,620.0,0
IMP_IMP_01,2023-06-01 02:00:00+00:00,24.817,93.9368,train,0.0,0.0,0.0,0.0,0.0,74.3,74.0,28.9,55,923.1,6.4,786.0,6.0,50.0,1450.0,0
