station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
CHR_MYN_02,2023-05-01 00:00:00+00:00,25.27,91.71,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,16.3,86,867.8,3.1,1484.0,30.0,180.0,380.0,0
NNG_UMI_06,2023-05-01 00:00:00+00:00,25.519,91.262,train,0.0,0.0,0.0,0.0,0.0,100.0,89.1,18.1,62,863.9,3.4,1240.0,20.0,90.0,950.0,0
DWK_UMN_03,2023-05-01 00:00:00+00:00,25.187,92.019,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,98.3,100.0,21.9,97,999.6,3.8,82.0,14.0,15.0,1200.0,0
SHL_UMI_01,2023-05-01 00:00:00+00:00,25.5788,91.8933,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,15.5,83,855.2,7.2,1496.0,18.0,250.0,520.0,0
TUR_SMS_04,2023-05-01 00:00:00+00:00,25.5157,90.2186,train,0.0,0.0,0.0,0.0,0.0,100.0,89.1,21.9,92,967.3,4.2,320.0,16.0,60.0,3800.0,0
JWI_UMI_05,2023-05-01 00:00:00+00:00,25.452,92.203,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,16.2,83,861.2,6.8,1370.0,22.0,110.0,1600.0,0
CHR_MYN_02,2023-05-01 01:00:00+00:00,25.27,91.71,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,18.5,78,869.5,2.1,1484.0,30.0,180.0,380.0,0
NNG_UMI_06,2023-05-01 01:00:00+00:00,25.519,91.262,train,0.0,0.0,0.0,0.0,0.0,100.0,89.1,18.3,71,865.0,5.4,1240.0,20.0,90.0,950.0,0
TUR_SMS_04,2023-05-01 01:00:00+00:00,25.5157,90.2186,train,0.0,0.0,0.0,0.0,0.0,100.0,89.1,24.1,83,968.4,1.5,320.0,16.0,60.0,3800.0,0
SHL_UMI_01,2023-05-01 01:00:00+00:00,25.5788,91.8933,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,17.7,76,856.9,8.2,1496.0,18.0,250.0,520.0,0
JWI_UMI_05,2023-05-01 01:00:00+00:00,25.452,92.203,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,18.3,79,862.9,9.0,1370.0,22.0,110.0,1600.0,0
DWK_UMN_03,2023-05-01 01:00:00+00:00,25.187,92.019,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,98.3,100.0,24.4,92,1000.5,1.1,82.0,14.0,15.0,1200.0,0
JWI_UMI_05,2023-05-01 02:00:00+00:00,25.452,92.203,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,19.7,74,864.6,10.2,1370.0,22.0,110.0,1600.0,0
TUR_SMS_04,2023-05-01 02:00:00+00:00,25.5157,90.2186,train,0.0,0.0,0.0,0.0,0.0,100.0,89.1,25.7,71,969.5,3.4,320.0,16.0,60.0,3800.0,0
NNG_UMI_06,2023-05-01 02:00:00+00:00,25.519,91.262,train,0.0,0.0,0.0,0.0,0.0,100.0,89.1,19.3,74,866.2,7.0,1240.0,20.0,90.0,950.0,0
SHL_UMI_01,2023-05-01 02:00:00+00:00,25.5788,91.8933,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,20.0,65,859.1,5.4,1496.0,18.0,250.0,520.0,0
CHR_MYN_02,2023-05-01 02:00:00+00:00,25.27,91.71,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,20.1,75,871.0,4.4,1484.0,30.0,180.0,380.0,0
DWK_UMN_03,2023-05-01 02:00:00+00:00,25.187,92.019,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,98.0,100.0,26.4,76,1001.7,2.5,82.0,14.0,15.0,1200.0,0
TUR_SMS_04,2023-05-01 03:00:00+00:00,25.5157,90.2186,train,0.0,0.0,0.0,0.0,0.0,100.0,89.1,26.7,66,970.2,4.7,320.0,16.0,60.0,3800.0,0
SHL_UMI_01,2023-05-01 03:00:00+00:00,25.5788,91.8933,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,21.3,61,860.0,6.9,1496.0,18.0,250.0,520.0,0
JWI_UMI_05,2023-05-01 03:00:00+00:00,25.452,92.203,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,21.4,65,865.5,11.2,1370.0,22.0,110.0,1600.0,0
DWK_UMN_03,2023-05-01 03:00:00+00:00,25.187,92.019,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,98.0,100.0,27.8,72,1002.3,3.7,82.0,14.0,15.0,1200.0,0
CHR_MYN_02,2023-05-01 03:00:00+00:00,25.27,91.71,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,21.0,70,872.0,7.1,1484.0,30.0,180.0,380.0,0
NNG_UMI_06,2023-05-01 03:00:00+00:00,25.519,91.262,train,0.0,0.0,0.0,0.0,0.0,100.0,89.1,20.8,67,867.2,13.5,1240.0,20.0,90.0,950.0,0
DWK_UMN_03,2023-05-01 04:00:00+00:00,25.187,92.019,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,97.4,100.0,28.5,69,1002.1,5.5,82.0,14.0,15.0,1200.0,0
JWI_UMI_05,2023-05-01 04:00:00+00:00,25.452,92.203,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,22.4,58,865.6,15.3,1370.0,22.0,110.0,1600.0,0
