station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
AZL_TLW_01,2023-06-01 00:00:00+00:00,23.7271,92.7176,train,0.0,0.0,0.0,0.0,0.0,70.3,75.4,20.1,97,890.6,4.2,1132.0,28.0,320.0,1100.0,0
SMR_TLW_04,2023-06-01 00:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,86.9,73.4,19.7,98,894.8,4.0,720.0,20.0,80.0,1800.0,0
CHM_BRK_05,2023-06-01 00:00:00+00:00,23.46,93.328,train,0.0,0.0,0.0,0.0,0.0,100.0,90.3,18.9,100,862.3,4.0,1678.0,22.0,160.0,780.0,0
LWG_CHH_03,2023-06-01 00:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,95.7,80.9,21.3,99,913.5,2.9,930.0,24.0,200.0,3400.0,0
KLH_TUR_02,2023-06-01 00:00:00+00:00,24.226,92.678,train,0.0,0.0,0.0,0.0,0.0,66.0,75.4,24.3,83,932.0,8.0,120.0,12.0,40.0,2900.0,0
AZL_TLW_01,2023-06-01 01:00:00+00:00,23.7271,92.7176,train,0.0,0.0,0.0,0.0,0.0,70.3,75.1,21.5,95,892.0,3.7,1132.0,28.0,320.0,1100.0,0
SMR_TLW_04,2023-06-01 01:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,86.6,73.4,21.7,92,896.1,2.2,720.0,20.0,80.0,1800.0,0
CHM_BRK_05,2023-06-01 01:00:00+00:00,23.46,93.328,train,0.1,0.1,0.1,0.1,0.1,100.0,90.6,19.6,95,863.3,4.7,1678.0,22.0,160.0,780.0,0
KLH_TUR_02,2023-06-01 01:00:00+00:00,24.226,92.678,train,0.0,0.0,0.0,0.0,0.0,66.0,75.1,26.0,76,933.1,6.9,120.0,12.0,40.0,2900.0,0
LWG_CHH_03,2023-06-01 01:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,95.1,80.9,22.7,95,914.8,2.3,930.0,24.0,200.0,3400.0,0
AZL_TLW_01,2023-06-01 02:00:00+00:00,23.7271,92.7176,train,0.0,0.0,0.0,0.0,0.0,70.3,75.1,23.0,84,893.0,5.4,1132.0,28.0,320.0,1100.0,0
CHM_BRK_05,2023-06-01 02:00:00+00:00,23.46,93.328,train,0.2,0.3,0.3,0.3,0.3,100.0,90.6,20.8,91,864.2,5.4,1678.0,22.0,160.0,780.0,0
SMR_TLW_04,2023-06-01 02:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,86.3,73.4,23.4,86,897.2,0.8,720.0,20.0,80.0,1800.0,0
KLH_TUR_02,2023-06-01 02:00:00+00:00,24.226,92.678,train,0.0,0.0,0.0,0.0,0.0,66.0,75.1,27.6,68,933.9,8.4,120.0,12.0,40.0,2900.0,0
LWG_CHH_03,2023-06-01 02:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,94.9,80.9,24.1,85,915.5,2.6,930.0,24.0,200.0,3400.0,0
CHM_BRK_05,2023-06-01 03:00:00+00:00,23.46,93.328,train,0.2,0.5,0.5,0.5,0.5,100.0,90.6,21.9,83,864.5,5.2,1678.0,22.0,160.0,780.0,0
KLH_TUR_02,2023-06-01 03:00:00+00:00,24.226,92.678,train,0.0,0.0,0.0,0.0,0.0,65.7,75.1,28.8,61,933.9,7.5,120.0,12.0,40.0,2900.0,0
SMR_TLW_04,2023-06-01 03:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,86.0,73.4,24.8,75,897.3,2.6,720.0,20.0,80.0,1800.0,0
AZL_TLW_01,2023-06-01 03:00:00+00:00,23.7271,92.7176,train,0.1,0.1,0.1,0.1,0.1,70.3,75.1,24.4,75,893.1,4.5,1132.0,28.0,320.0,1100.0,0
LWG_CHH_03,2023-06-01 03:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,94.6,80.9,25.7,74,915.7,3.1,930.0,24.0,200.0,3400.0,0
AZL_TLW_01,2023-06-01 04:00:00+00:00,23.7271,92.7176,train,0.1,0.2,0.2,0.2,0.2,70.3,74.9,26.5,62,893.1,3.6,1132.0,28.0,320.0,1100.0,0
CHM_BRK_05,2023-06-01 04:00:00+00:00,23.46,93.328,train,0.1,0.5,0.6,0.6,0.6,100.0,90.6,23.9,72,864.6,5.9,1678.0,22.0,160.0,780.0,0
SMR_TLW_04,2023-06-01 04:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,85.4,73.4,26.4,68,897.0,3.6,720.0,20.0,80.0,1800.0,0
LWG_CHH_03,2023-06-01 04:00:00+00:00,22.881,92.745,spatial_holdout_val,0.1,0.1,0.1,0.1,0.1,94.0,80.9,27.5,64,915.3,3.2,930.0,24.0,200.0,3400.0,0
KLH_TUR_02,2023-06-01 04:00:00+00:00,24.226,92.678,train,0.0,0.0,0.0,0.0,0.0,65.4,74.9,30.1,54,933.8,6.6,120.0,12.0,40.0,2900.0,0
SMR_TLW_04,2023-06-01 05:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,84.9,73.4,28.0,61,896.7,5.2,720.0,20.0,80.0,1800.0,0
CHM_BRK_05,2023-06-01 05:00:00+00:00,23.46,93.328,train,0.0,0.3,0.6,0.6,0.6,100.0,90.6,25.2,63,864.3,6.6,1678.0,22.0,160.0,780.0,0
KLH_TUR_02,2023-06-01 05:00:00+00:00,24.226,92.678,train,0.0,0.0,0.0,0.0,0.0,65.1,74.6,31.4,47,933.3,7.8,120.0,12.0,40.0,2900.0,0
AZL_TLW_01,2023-06-01 05:00:00+00:00,23.7271,92.7176,train,0.0,0.2,0.2,0.2,0.2,69.7,74.9,27.9,53,892.8,5.1,1132.0,28.0,320.0,1100.0,0
LWG_CHH_03,2023-06-01 05:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.1,0.1,0.1,0.1,93.1,80.9,29.1,60,914.9,4.9,930.0,24.0,200.0,3400.0,0
KLH_TUR_02,2023-06-01 06:00:00+00:00,24.226,92.678,train,0.0,0.0,0.0,0.0,0.0,64.9,74.6,31.8,46,932.5,9.1,120.0,12.0,40.0,2900.0,0
LWG_CHH_03,2023-06-01 06:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.1,0.1,0.1,0.1,92.6,80.9,30.2,55,914.2,7.6,930.0,24.0,200.0,3400.0,0
AZL_TLW_01,2023-06-01 06:00:00+00:00,23.7271,92.7176,train,0.0,0.1,0.2,0.2,0.2,69.4,74.6,29.6,46,892.2,5.8,1132.0,28.0,320.0,1100.0,0
SMR_TLW_04,2023-06-01 06:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,84.0,73.1,28.8,57,896.0,7.2,720.0,20.0,80.0,1800.0,0
CHM_BRK_05,2023-06-01 06:00:00+00:00,23.46,93.328,train,0.0,0.1,0.6,0.6,0.6,100.0,90.6,27.1,53,864.1,6.6,1678.0,22.0,160.0,780.0,0
KLH_TUR_02,2023-06-01 07:00:00+00:00,24.226,92.678,train,0.0,0.0,0.0,0.0,0.0,64.3,74.3,32.2,44,931.4,9.0,120.0,12.0,40.0,2900.0,0
LWG_CHH_03,2023-06-01 07:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.0,0.1,0.1,0.1,91.7,80.6,30.5,53,913.0,9.7,930.0,24.0,200.0,3400.0,0
SMR_TLW_04,2023-06-01 07:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,83.1,73.1,29.1,56,894.9,8.4,720.0,20.0,80.0,1800.0,0
AZL_TLW_01,2023-06-01 07:00:00+00:00,23.7271,92.7176,train,0.0,0.0,0.2,0.2,0.2,68.9,74.3,30.6,42,891.1,7.1,1132.0,28.0,320.0,1100.0,0
CHM_BRK_05,2023-06-01 07:00:00+00:00,23.46,93.328,train,0.0,0.0,0.5,0.6,0.6,99.1,90.3,28.1,49,862.9,9.4,1678.0,22.0,160.0,780.0,0
CHM_BRK_05,2023-06-01 08:00:00+00:00,23.46,93.328,train,0.0,0.0,0.3,0.6,0.6,98.3,90.0,27.8,47,861.9,11.3,1678.0,22.0,160.0,780.0,0
SMR_TLW_04,2023-06-01 08:00:00+00:00,22.486,92.978,train,0.0,0.0,0.0,0.0,0.0,82.3,72.9,29.9,52,894.2,9.8,720.0,20.0,80.0,1800.0,0
LWG_CHH_03,2023-06-01 08:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.0,0.1,0.1,0.1,90.9,80.6,30.6,51,912.1,10.1,930.0,24.0,200.0,3400.0,0
AZL_TLW_01,2023-06-01 08:00:00+00:00,23.7271,92.7176,train,0.0,0.0,0.2,0.2,0.2,68.3,74.3,30.7,41,890.1,8.9,1132.0,28.0,320.0,1100.0,0
KLH_TUR_02,2023-06-01 08:00:00+00:00,24.226,92.678,train,0.4,0.4,0.4,0.4,0.4,65.1,74.3,29.9,55,930.3,11.5,120.0,12.0,40.0,2900.0,0
CHM_BRK_05,2023-06-01 09:00:00+00:00,23.46,93.328,train,0.0,0.0,0.1,0.6,0.6,97.4,90.0,27.4,50,861.5,11.2,1678.0,22.0,160.0,780.0,0
SMR_TLW_04,2023-06-01 09:00:00+00:00,22.486,92.978,train,0.9,0.9,0.9,0.9,0.9,83.7,72.9,27.1,62,893.6,8.8,720.0,20.0,80.0,1800.0,0
LWG_CHH_03,2023-06-01 09:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.0,0.1,0.1,0.1,90.3,80.6,30.5,51,911.6,9.7,930.0,24.0,200.0,3400.0,0
AZL_TLW_01,2023-06-01 09:00:00+00:00,23.7271,92.7176,train,0.0,0.0,0.1,0.2,0.2,67.7,74.0,30.3,42,889.6,8.4,1132.0,28.0,320.0,1100.0,0
KLH_TUR_02,2023-06-01 09:00:00+00:00,24.226,92.678,train,0.0,0.4,0.4,0.4,0.4,64.9,74.0,29.4,61,929.7,6.4,120.0,12.0,40.0,2900.0,0
LWG_CHH_03,2023-06-01 10:00:00+00:00,22.881,92.745,spatial_holdout_val,0.2,0.2,0.2,0.3,0.3,90.0,80.3,29.2,55,911.1,8.7,930.0,24.0,200.0,3400.0,0
AZL_TLW_01,2023-06-01 10:00:00+00:00,23.7271,92.7176,train,0.1,0.1,0.1,0.3,0.3,67.7,74.0,28.7,46,889.0,8.9,1132.0,28.0,320.0,1100.0,0
KLH_TUR_02,2023-06-01 10:00:00+00:00,24.226,92.678,train,0.0,0.4,0.4,0.4,0.4,64.9,74.0,29.6,60,929.2,4.7,120.0,12.0,40.0,2900.0,0
CHM_BRK_05,2023-06-01 10:00:00+00:00,23.46,93.328,train,0.0,0.0,0.0,0.6,0.6,96.9,90.0,25.8,56,860.8,10.2,1678.0,22.0,160.0,780.0,0
SMR_TLW_04,2023-06-01 10:00:00+00:00,22.486,92.978,train,1.7,2.6,2.6,2.6,2.6,87.7,72.9,23.2,88,893.0,6.5,720.0,20.0,80.0,1800.0,0
AZL_TLW_01,2023-06-01 11:00:00+00:00,23.7271,92.7176,train,0.0,0.1,0.1,0.3,0.3,67.7,73.7,27.1,54,889.0,7.1,1132.0,28.0,320.0,1100.0,0
KLH_TUR_02,2023-06-01 11:00:00+00:00,24.226,92.678,train,0.0,0.0,0.4,0.4,0.4,64.6,73.7,29.1,63,929.2,4.7,120.0,12.0,40.0,2900.0,0
LWG_CHH_03,2023-06-01 11:00:00+00:00,22.881,92.745,spatial_holdout_val,0.3,0.5,0.5,0.6,0.6,90.3,80.3,27.0,67,911.4,5.0,930.0,24.0,200.0,3400.0,0
SMR_TLW_04,2023-06-01 11:00:00+00:00,22.486,92.978,train,0.0,2.6,2.6,2.6,2.6,87.7,72.9,23.2,89,893.0,2.2,720.0,20.0,80.0,1800.0,0
CHM_BRK_05,2023-06-01 11:00:00+00:00,23.46,93.328,train,0.1,0.1,0.1,0.7,0.7,96.9,89.7,24.4,66,860.8,6.9,1678.0,22.0,160.0,780.0,0
SMR_TLW_04,2023-06-01 12:00:00+00:00,22.486,92.978,train,0.0,1.7,2.6,2.6,2.6,80.9,72.6,24.4,71,893.5,3.9,720.0,20.0,80.0,1800.0,0
AZL_TLW_01,2023-06-01 12:00:00+00:00,23.7271,92.7176,train,0.0,0.1,0.1,0.3,0.3,67.1,73.4,26.7,56,889.5,4.3,1132.0,28.0,320.0,1100.0,0
KLH_TUR_02,2023-06-01 12:00:00+00:00,24.226,92.678,train,0.0,0.0,0.4,0.4,0.4,59.7,71.4,28.0,68,929.8,4.8,120.0,12.0,40.0,2900.0,0
LWG_CHH_03,2023-06-01 12:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.5,0.5,0.6,0.6,90.3,81.4,26.3,67,911.7,9.1,930.0,24.0,200.0,3400.0,0
CHM_BRK_05,2023-06-01 12:00:00+00:00,23.46,93.328,train,0.0,0.1,0.1,0.7,0.7,98.3,90.9,21.9,83,861.0,5.3,1678.0,22.0,160.0,780.0,0
LWG_CHH_03,2023-06-01 13:00:00+00:00,22.881,92.745,spatial_holdout_val,0.0,0.3,0.5,0.6,0.6,90.0,81.4,24.1,80,912.1,5.6,930.0,24.0,200.0,3400.0,0
SMR_TLW_04,2023-06-01 13:00:00+00:00,22.486,92.978,train,0.0,0.0,2.6,2.6,2.6,80.6,72.6,22.7,81,893.8,2.7,720.0,20.0,80.0,1800.0,0
KLH_TUR_02,2023-06-01 13:00:00+00:00,24.226,92.678,train,0.0,0.0,0.4,0.4,0.4,59.7,71.4,27.5,69,930.4,1.1,120.0,12.0,40.0,2900.0,0
AZL_TLW_01,2023-06-01 13:00:00+00:00,23.7271,92.7176,train,0.0,0.0,0.1,0.3,0.3,67.1,73.4,24.6,67,889.5,3.6,1132.0,28.0,320.0,1100.0,0
CHM_BRK_05,2023-06-01 13:00:00+00:00,23.46,93.328,train,0.0,0.1,0.1,0.7,0.7,98.0,90.9,20.3,90,860.8,3.0,1678.0,22.0,160.0,780.0,0
SMR_TLW_04,2023-06-01 14:00:00+00:00,22.486,92.978,train,0.0,0.0,2.6,2.6,2.6,80.6,72.6,22.2,83,894.4,3.0,720.0,20.0,80.0,1800.0,0
