station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
DMP_DOY_02,2023-06-01 00:00:00+00:00,25.9065,93.7266,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,26.3,85,987.7,12.3,154.0,8.0,40.0,3200.0,0
ZHT_TIZ_05,2023-06-01 00:00:00+00:00,25.96,94.52,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,21.0,76,869.6,2.3,1400.0,24.0,150.0,980.0,0
KHM_DHN_01,2023-06-01 00:00:00+00:00,25.67,94.11,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,18.4,84,853.8,2.9,1444.0,28.0,300.0,420.0,0
WKH_TIZ_04,2023-06-01 00:00:00+00:00,26.105,94.26,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,19.9,88,856.5,5.1,1313.0,20.0,100.0,2100.0,0
MOK_DOY_03,2023-06-01 00:00:00+00:00,26.322,94.521,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,100.0,20.0,89,870.9,5.3,1325.0,22.0,180.0,1500.0,0
DMP_DOY_02,2023-06-01 01:00:00+00:00,25.9065,93.7266,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,27.3,81,987.7,1.8,154.0,8.0,40.0,3200.0,0
ZHT_TIZ_05,2023-06-01 01:00:00+00:00,25.96,94.52,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,22.6,65,870.5,4.1,1400.0,24.0,150.0,980.0,0
KHM_DHN_01,2023-06-01 01:00:00+00:00,25.67,94.11,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,21.6,82,855.5,2.3,1444.0,28.0,300.0,420.0,0
MOK_DOY_03,2023-06-01 01:00:00+00:00,26.322,94.521,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,100.0,23.1,75,872.5,4.1,1325.0,22.0,180.0,1500.0,0
WKH_TIZ_04,2023-06-01 01:00:00+00:00,26.105,94.26,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,22.0,76,857.7,2.9,1313.0,20.0,100.0,2100.0,0
DMP_DOY_02,2023-06-01 02:00:00+00:00,25.9065,93.7266,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,29.0,76,988.4,5.4,154.0,8.0,40.0,3200.0,0
KHM_DHN_01,2023-06-01 02:00:00+00:00,25.67,94.11,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,22.9,73,856.6,2.2,1444.0,28.0,300.0,420.0,0
ZHT_TIZ_05,2023-06-01 02:00:00+00:00,25.96,94.52,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,23.3,64,871.1,7.3,1400.0,24.0,150.0,980.0,0
MOK_DOY_03,2023-06-01 02:00:00+00:00,26.322,94.521,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,100.0,23.9,68,873.3,6.0,1325.0,22.0,180.0,1500.0,0
WKH_TIZ_04,2023-06-01 02:00:00+00:00,26.105,94.26,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,23.2,67,858.6,5.8,1313.0,20.0,100.0,2100.0,0
KHM_DHN_01,2023-06-01 03:00:00+00:00,25.67,94.11,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,23.8,69,856.9,4.0,1444.0,28.0,300.0,420.0,0
MOK_DOY_03,2023-06-01 03:00:00+00:00,26.322,94.521,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,100.0,24.2,68,873.5,7.9,1325.0,22.0,180.0,1500.0,0
ZHT_TIZ_05,2023-06-01 03:00:00+00:00,25.96,94.52,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,24.0,64,871.5,8.0,1400.0,24.0,150.0,980.0,0
DMP_DOY_02,2023-06-01 03:00:00+00:00,25.9065,93.7266,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,30.8,69,988.1,2.9,154.0,8.0,40.0,3200.0,0
WKH_TIZ_04,2023-06-01 03:00:00+00:00,26.105,94.26,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,24.2,62,858.9,6.8,1313.0,20.0,100.0,2100.0,0
DMP_DOY_02,2023-06-01 04:00:00+00:00,25.9065,93.7266,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,32.7,59,987.5,3.4,154.0,8.0,40.0,3200.0,0
KHM_DHN_01,2023-06-01 04:00:00+00:00,25.67,94.11,train,0.4,0.4,0.4,0.4,0.4,100.0,100.0,25.1,65,856.9,6.5,1444.0,28.0,300.0,420.0,0
ZHT_TIZ_05,2023-06-01 04:00:00+00:00,25.96,94.52,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,24.6,64,871.3,9.1,1400.0,24.0,150.0,980.0,0
WKH_TIZ_04,2023-06-01 04:00:00+00:00,26.105,94.26,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,25.4,58,858.8,6.5,1313.0,20.0,100.0,2100.0,0
MOK_DOY_03,2023-06-01 04:00:00+00:00,26.322,94.521,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,100.0,100.0,25.0,68,873.4,7.8,1325.0,22.0,180.0,1500.0,0
ZHT_TIZ_05,2023-06-01 05:00:00+00:00,25.96,94.52,train,0.3,0.3,0.3,0.3,0.3,100.0,100.0,25.2,63,870.9,9.8,1400.0,24.0,150.0,980.0,0
