station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
CHG_GLF_04,2023-06-01 00:00:00+00:00,27.62,88.63,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,12.4,92,761.0,4.5,1750.0,32.0,40.0,1850.0,0
SNG_TST_02,2023-06-01 00:00:00+00:00,27.2346,88.5038,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,22.4,96,953.9,3.0,310.0,18.0,30.0,5200.0,0
GNG_TST_01,2023-06-01 00:00:00+00:00,27.3389,88.6065,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,18.2,75,850.0,3.3,1650.0,28.0,250.0,2800.0,0
MNG_RNG_03,2023-06-01 00:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.1,0.1,0.1,0.1,0.1,100.0,100.0,20.6,98,907.6,5.6,530.0,24.0,45.0,3100.0,0
JRT_TST_05,2023-06-01 00:00:00+00:00,27.09,88.32,train,0.0,0.0,0.0,0.0,0.0,94.9,94.0,24.3,89,959.0,2.3,250.0,15.0,25.0,7200.0,0
CHG_GLF_04,2023-06-01 01:00:00+00:00,27.62,88.63,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,15.5,72,763.6,1.0,1750.0,32.0,40.0,1850.0,0
SNG_TST_02,2023-06-01 01:00:00+00:00,27.2346,88.5038,train,0.1,0.1,0.1,0.1,0.1,100.0,100.0,24.3,100,954.8,2.6,310.0,18.0,30.0,5200.0,0
GNG_TST_01,2023-06-01 01:00:00+00:00,27.3389,88.6065,train,0.1,0.1,0.1,0.1,0.1,100.0,100.0,18.6,87,850.4,2.9,1650.0,28.0,250.0,2800.0,0
JRT_TST_05,2023-06-01 01:00:00+00:00,27.09,88.32,train,0.0,0.0,0.0,0.0,0.0,94.9,94.0,24.5,94,959.9,0.4,250.0,15.0,25.0,7200.0,0
MNG_RNG_03,2023-06-01 01:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.1,0.2,0.2,0.2,0.2,100.0,100.0,22.9,92,909.0,2.7,530.0,24.0,45.0,3100.0,0
CHG_GLF_04,2023-06-01 02:00:00+00:00,27.62,88.63,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,15.8,83,764.4,3.1,1750.0,32.0,40.0,1850.0,0
GNG_TST_01,2023-06-01 02:00:00+00:00,27.3389,88.6065,train,0.0,0.1,0.1,0.1,0.1,100.0,100.0,20.4,83,851.7,2.4,1650.0,28.0,250.0,2800.0,0
SNG_TST_02,2023-06-01 02:00:00+00:00,27.2346,88.5038,train,0.0,0.1,0.1,0.1,0.1,100.0,100.0,26.2,89,955.5,1.5,310.0,18.0,30.0,5200.0,0
JRT_TST_05,2023-06-01 02:00:00+00:00,27.09,88.32,train,0.0,0.0,0.0,0.0,0.0,94.9,94.0,26.0,88,960.4,1.3,250.0,15.0,25.0,7200.0,0
MNG_RNG_03,2023-06-01 02:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.2,0.4,0.4,0.4,0.4,100.0,100.0,23.7,97,909.6,3.6,530.0,24.0,45.0,3100.0,0
GNG_TST_01,2023-06-01 03:00:00+00:00,27.3389,88.6065,train,0.0,0.1,0.1,0.1,0.1,100.0,100.0,22.3,72,852.4,2.4,1650.0,28.0,250.0,2800.0,0
JRT_TST_05,2023-06-01 03:00:00+00:00,27.09,88.32,train,0.0,0.0,0.0,0.0,0.0,94.3,93.7,27.5,81,960.4,1.5,250.0,15.0,25.0,7200.0,0
SNG_TST_02,2023-06-01 03:00:00+00:00,27.2346,88.5038,train,0.0,0.1,0.1,0.1,0.1,100.0,100.0,28.2,80,955.6,1.6,310.0,18.0,30.0,5200.0,0
CHG_GLF_04,2023-06-01 03:00:00+00:00,27.62,88.63,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,17.1,76,765.4,2.9,1750.0,32.0,40.0,1850.0,0
MNG_RNG_03,2023-06-01 03:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.2,0.5,0.6,0.6,0.6,100.0,100.0,25.5,80,910.1,2.1,530.0,24.0,45.0,3100.0,0
CHG_GLF_04,2023-06-01 04:00:00+00:00,27.62,88.63,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,18.9,69,766.1,4.4,1750.0,32.0,40.0,1850.0,0
GNG_TST_01,2023-06-01 04:00:00+00:00,27.3389,88.6065,train,0.0,0.0,0.1,0.1,0.1,100.0,100.0,24.7,60,852.7,3.2,1650.0,28.0,250.0,2800.0,0
SNG_TST_02,2023-06-01 04:00:00+00:00,27.2346,88.5038,train,0.0,0.0,0.1,0.1,0.1,100.0,100.0,30.8,66,955.1,3.3,310.0,18.0,30.0,5200.0,0
MNG_RNG_03,2023-06-01 04:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.0,0.4,0.6,0.6,0.6,100.0,100.0,28.6,62,910.1,0.8,530.0,24.0,45.0,3100.0,0
JRT_TST_05,2023-06-01 04:00:00+00:00,27.09,88.32,train,0.0,0.0,0.0,0.0,0.0,93.7,93.7,29.2,74,960.1,3.1,250.0,15.0,25.0,7200.0,0
SNG_TST_02,2023-06-01 05:00:00+00:00,27.2346,88.5038,train,0.1,0.1,0.2,0.2,0.2,100.0,100.0,31.7,62,954.3,6.1,310.0,18.0,30.0,5200.0,0
GNG_TST_01,2023-06-01 05:00:00+00:00,27.3389,88.6065,train,0.1,0.1,0.2,0.2,0.2,100.0,100.0,25.5,57,852.4,4.7,1650.0,28.0,250.0,2800.0,0
JRT_TST_05,2023-06-01 05:00:00+00:00,27.09,88.32,train,0.1,0.1,0.1,0.1,0.1,92.6,93.4,30.5,70,959.3,3.6,250.0,15.0,25.0,7200.0,0
CHG_GLF_04,2023-06-01 05:00:00+00:00,27.62,88.63,train,0.1,0.1,0.1,0.1,0.1,100.0,100.0,19.6,63,766.1,4.9,1750.0,32.0,40.0,1850.0,0
MNG_RNG_03,2023-06-01 05:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.0,0.2,0.6,0.6,0.6,100.0,100.0,30.1,58,909.3,3.6,530.0,24.0,45.0,3100.0,0
JRT_TST_05,2023-06-01 06:00:00+00:00,27.09,88.32,train,0.0,0.1,0.1,0.1,0.1,91.4,93.4,32.1,66,958.3,6.2,250.0,15.0,25.0,7200.0,0
MNG_RNG_03,2023-06-01 06:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.0,0.0,0.5,0.6,0.6,100.0,100.0,30.5,58,908.9,5.1,530.0,24.0,45.0,3100.0,0
CHG_GLF_04,2023-06-01 06:00:00+00:00,27.62,88.63,train,0.1,0.2,0.2,0.2,0.2,100.0,100.0,20.2,58,766.0,4.2,1750.0,32.0,40.0,1850.0,0
SNG_TST_02,2023-06-01 06:00:00+00:00,27.2346,88.5038,train,0.1,0.2,0.3,0.3,0.3,100.0,100.0,32.1,61,953.9,7.7,310.0,18.0,30.0,5200.0,0
GNG_TST_01,2023-06-01 06:00:00+00:00,27.3389,88.6065,train,0.5,0.6,0.7,0.7,0.7,100.0,100.0,26.0,59,852.1,6.2,1650.0,28.0,250.0,2800.0,0
JRT_TST_05,2023-06-01 07:00:00+00:00,27.09,88.32,train,0.1,0.2,0.2,0.2,0.2,90.6,93.1,31.8,64,957.6,7.0,250.0,15.0,25.0,7200.0,0
MNG_RNG_03,2023-06-01 07:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.1,0.1,0.5,0.7,0.7,100.0,100.0,29.7,62,908.2,4.9,530.0,24.0,45.0,3100.0,0
SNG_TST_02,2023-06-01 07:00:00+00:00,27.2346,88.5038,train,0.0,0.2,0.2,0.3,0.3,100.0,100.0,32.2,61,952.9,5.5,310.0,18.0,30.0,5200.0,0
CHG_GLF_04,2023-06-01 07:00:00+00:00,27.62,88.63,train,0.1,0.3,0.3,0.3,0.3,100.0,100.0,19.6,62,765.2,4.8,1750.0,32.0,40.0,1850.0,0
GNG_TST_01,2023-06-01 07:00:00+00:00,27.3389,88.6065,train,1.6,2.2,2.2,2.3,2.3,100.0,100.0,24.8,66,851.3,1.8,1650.0,28.0,250.0,2800.0,0
GNG_TST_01,2023-06-01 08:00:00+00:00,27.3389,88.6065,train,0.9,3.0,3.1,3.2,3.2,100.0,100.0,24.6,65,850.1,7.1,1650.0,28.0,250.0,2800.0,0
SNG_TST_02,2023-06-01 08:00:00+00:00,27.2346,88.5038,train,1.4,1.5,1.6,1.7,1.7,100.0,100.0,29.7,74,952.3,8.7,310.0,18.0,30.0,5200.0,0
MNG_RNG_03,2023-06-01 08:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.2,0.3,0.5,0.9,0.9,100.0,100.0,29.1,65,907.2,4.2,530.0,24.0,45.0,3100.0,0
CHG_GLF_04,2023-06-01 08:00:00+00:00,27.62,88.63,train,0.2,0.4,0.5,0.5,0.5,100.0,100.0,18.9,66,764.1,3.7,1750.0,32.0,40.0,1850.0,0
JRT_TST_05,2023-06-01 08:00:00+00:00,27.09,88.32,train,0.0,0.1,0.2,0.2,0.2,89.7,92.9,30.7,70,956.9,5.8,250.0,15.0,25.0,7200.0,0
GNG_TST_01,2023-06-01 09:00:00+00:00,27.3389,88.6065,train,1.2,3.7,4.3,4.4,4.4,100.0,100.0,23.6,73,849.4,0.7,1650.0,28.0,250.0,2800.0,0
SNG_TST_02,2023-06-01 09:00:00+00:00,27.2346,88.5038,train,0.1,1.5,1.7,1.8,1.8,100.0,100.0,29.8,77,951.6,4.7,310.0,18.0,30.0,5200.0,0
MNG_RNG_03,2023-06-01 09:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.8,1.1,1.1,1.7,1.7,100.0,100.0,27.3,77,906.6,5.3,530.0,24.0,45.0,3100.0,0
CHG_GLF_04,2023-06-01 09:00:00+00:00,27.62,88.63,train,0.4,0.7,0.9,0.9,0.9,100.0,100.0,17.7,70,762.9,3.4,1750.0,32.0,40.0,1850.0,0
JRT_TST_05,2023-06-01 09:00:00+00:00,27.09,88.32,train,0.0,0.1,0.2,0.2,0.2,88.6,92.6,30.8,74,955.9,4.8,250.0,15.0,25.0,7200.0,0
MNG_RNG_03,2023-06-01 10:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.9,1.9,2.0,2.6,2.6,100.0,100.0,26.0,94,905.6,0.5,530.0,24.0,45.0,3100.0,0
CHG_GLF_04,2023-06-01 10:00:00+00:00,27.62,88.63,train,0.1,0.7,1.0,1.0,1.0,100.0,100.0,17.3,74,761.9,3.2,1750.0,32.0,40.0,1850.0,0
JRT_TST_05,2023-06-01 10:00:00+00:00,27.09,88.32,train,0.3,0.3,0.5,0.5,0.5,88.9,92.6,28.7,81,955.4,5.2,250.0,15.0,25.0,7200.0,0
GNG_TST_01,2023-06-01 10:00:00+00:00,27.3389,88.6065,train,0.5,2.6,4.8,4.9,4.9,100.0,100.0,22.8,70,848.4,3.4,1650.0,28.0,250.0,2800.0,0
SNG_TST_02,2023-06-01 10:00:00+00:00,27.2346,88.5038,train,1.5,3.0,3.2,3.3,3.3,100.0,100.0,28.6,76,950.8,5.5,310.0,18.0,30.0,5200.0,0
CHG_GLF_04,2023-06-01 11:00:00+00:00,27.62,88.63,train,0.0,0.5,0.9,1.0,1.0,100.0,100.0,17.1,74,761.4,3.7,1750.0,32.0,40.0,1850.0,0
JRT_TST_05,2023-06-01 11:00:00+00:00,27.09,88.32,train,0.0,0.3,0.4,0.5,0.5,88.6,92.6,27.8,87,955.4,3.4,250.0,15.0,25.0,7200.0,0
MNG_RNG_03,2023-06-01 11:00:00+00:00,27.5098,88.5231,spatial_holdout_val,0.8,2.5,2.8,3.4,3.4,100.0,100.0,25.7,90,905.5,1.6,530.0,24.0,45.0,3100.0,0
SNG_TST_02,2023-06-01 11:00:00+00:00,27.2346,88.5038,train,0.1,1.7,3.2,3.4,3.4,100.0,100.0,28.8,82,950.5,3.5,310.0,18.0,30.0,5200.0,0
GNG_TST_01,2023-06-01 11:00:00+00:00,27.3389,88.6065,train,0.0,1.7,4.7,4.9,4.9,100.0,100.0,22.2,79,848.0,0.8,1650.0,28.0,250.0,2800.0,0
SNG_TST_02,2023-06-01 12:00:00+00:00,27.2346,88.5038,train,0.0,1.6,3.1,3.4,3.4,100.0,100.0,25.3,92,952.7,3.6,310.0,18.0,30.0,5200.0,0
CHG_GLF_04,2023-06-01 12:00:00+00:00,27.62,88.63,train,0.0,0.1,0.8,1.0,1.0,100.0,100.0,15.0,85,761.3,2.7,1750.0,32.0,40.0,1850.0,0
JRT_TST_05,2023-06-01 12:00:00+00:00,27.09,88.32,train,0.0,0.3,0.4,0.5,0.5,87.4,92.0,26.3,89,957.1,5.8,250.0,15.0,25.0,7200.0,0
MNG_RNG_03,2023-06-01 12:00:00+00:00,27.5098,88.5231,spatial_holdout_val,1.4,3.1,4.2,4.8,4.8,100.0,100.0,22.8,100,906.9,3.1,530.0,24.0,45.0,3100.0,0
GNG_TST_01,2023-06-01 12:00:00+00:00,27.3389,88.6065,train,0.0,0.5,4.2,4.9,4.9,100.0,100.0,18.5,85,848.6,5.2,1650.0,28.0,250.0,2800.0,0
MNG_RNG_03,2023-06-01 13:00:00+00:00,27.5098,88.5231,spatial_holdout_val,9.2,11.4,13.3,14.0,14.0,100.0,100.0,21.7,100,907.6,0.5,530.0,24.0,45.0,3100.0,0
