station_id,datetime_utc,latitude,longitude,role,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
AGR_GMT_01,2023-06-01 00:00:00+00:00,23.8315,91.2868,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,27.6,94,1003.4,9.6,12.8,2.0,30.0,560.0,0
UDP_GMT_03,2023-06-01 00:00:00+00:00,23.533,91.488,train,0.0,0.0,0.0,0.0,0.0,96.3,100.0,27.7,95,1002.1,10.3,20.0,3.0,15.0,2400.0,0
BLN_DEO_04,2023-06-01 00:00:00+00:00,23.235,91.452,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,86.3,100.0,28.2,94,1003.6,9.9,8.0,1.5,20.0,1100.0,0
JMP_JMP_05,2023-06-01 00:00:00+00:00,24.156,92.205,train,0.0,0.0,0.0,0.0,0.0,82.0,90.6,27.3,88,995.8,10.1,820.0,22.0,200.0,450.0,0
DMB_MNU_02,2023-06-01 00:00:00+00:00,24.377,92.166,train,0.0,0.0,0.0,0.0,0.0,77.1,89.4,27.6,86,1001.6,11.7,35.0,5.0,25.0,1200.0,0
AGR_GMT_01,2023-06-01 01:00:00+00:00,23.8315,91.2868,train,0.0,0.0,0.0,0.0,0.0,100.0,100.0,29.3,88,1004.4,13.8,12.8,2.0,30.0,560.0,0
UDP_GMT_03,2023-06-01 01:00:00+00:00,23.533,91.488,train,0.0,0.0,0.0,0.0,0.0,96.3,100.0,29.1,88,1003.2,10.8,20.0,3.0,15.0,2400.0,0
BLN_DEO_04,2023-06-01 01:00:00+00:00,23.235,91.452,spatial_holdout_val,0.0,0.0,0.0,0.0,0.0,86.3,100.0,29.4,87,1004.6,10.0,8.0,1.5,20.0,1100.0,0
DMB_MNU_02,2023-06-01 01:00:00+00:00,24.377,92.166,train,0.0,0.0,0.0,0.0,0.0,77.1,89.1,29.0,84,1002.4,11.0,35.0,5.0,25.0,1200.0,0
JMP_JMP_05,2023-06-01 01:00:00+00:00,24.156,92.205,train,0.0,0.0,0.0,0.0,0.0,82.0,90.6,28.9,83,996.7,9.8,820.0,22.0,200.0,450.0,0
