rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_intensity,soil_moisture,river_level,river_level_change,elevation,slope,distance_to_river,historical_flood_frequency,flood_label
9.78,17.56,29.85,52.49,9.55,51.65,1.97,-0.03,1323.1,33.1,4.41,0.608,0
22.59,68.1,95.54,142.63,26.86,69.26,3.08,0.53,1796.2,39.7,5.06,0.615,0
9.77,22.37,70.9,112.57,10.45,62.51,2.75,0.11,2949.4,42.2,9.03,0.356,0
13.94,22.65,43.08,86.09,16.42,48.05,1.77,-0.03,1068.0,18.6,4.19,0.684,0
1.84,3.05,5.02,10.24,1.55,39.24,1.5,-0.22,649.9,22.3,2.04,0.726,0
5.3,15.54,20.12,54.98,6.77,37.08,1.37,-0.18,1104.9,30.5,3.16,0.573,0
9.85,17.94,20.45,32.73,9.65,47.32,1.86,-0.11,1800.7,33.4,4.89,0.585,0
56.33,108.67,168.23,319.84,67.77,82.29,5.31,2.61,2228.8,41.1,11.12,0.301,1
12.55,14.06,31.19,54.29,13.98,59.69,1.81,0.03,1039.1,27.4,5.38,0.632,0
12.09,25.32,76.35,228.6,13.83,56.11,2.06,-0.16,3028.3,47.1,8.5,0.304,1
0.93,3.33,5.05,14.54,0.91,54.8,2.05,-0.21,1191.3,25.5,4.36,0.646,0
2.01,2.63,3.26,5.1,1.53,27.03,1.72,-0.44,1569.2,32.6,5.54,0.562,0
12.55,14.33,17.93,50.78,12.21,53.14,2.02,-0.08,1457.5,26.8,8.02,0.488,0
15.66,30.08,54.86,86.14,15.21,57.97,2.03,0.04,759.3,30.6,2.27,0.707,0
23.34,32.68,59.32,84.61,30.31,38.8,2.04,0.03,1493.7,25.6,5.64,0.617,0
58.29,88.69,129.0,254.32,57.47,59.56,3.49,0.82,1783.2,37.2,7.55,0.445,1
6.78,47.54,85.49,180.87,4.77,80.69,3.02,-0.31,521.3,26.5,2.85,0.789,0
45.84,90.96,121.94,300.32,52.6,57.38,3.04,0.61,2170.5,37.8,6.61,0.459,1
19.16,36.57,63.4,90.0,16.68,70.53,2.07,0.04,775.7,25.9,2.56,0.64,0
0.59,2.04,6.65,15.28,0.69,26.8,1.78,-0.1,1665.7,32.8,5.41,0.643,0
72.55,102.39,155.74,199.88,91.65,79.86,4.35,2.66,441.1,29.5,2.23,0.823,1
15.1,64.22,118.45,143.7,12.56,78.61,3.75,0.29,1542.4,27.8,5.3,0.575,0
3.2,5.48,25.08,34.92,3.68,51.75,2.05,-0.3,2285.8,34.9,8.4,0.426,0
27.15,33.94,65.58,72.42,19.49,40.7,2.01,-0.26,2413.0,43.9,6.82,0.447,0
18.26,25.9,29.87,102.12,22.45,68.91,2.3,0.38,2487.8,42.2,11.35,0.259,0
14.39,25.26,32.43,51.01,10.62,63.39,1.62,-0.19,538.5,14.7,6.24,0.732,0
7.25,25.59,36.83,116.86,5.51,59.32,1.9,-0.17,1923.3,37.8,7.52,0.47,0
21.99,33.38,88.39,208.29,20.91,55.38,2.66,0.19,2975.1,46.9,9.68,0.278,0
