date,district,rainfall_mm
2022-01-01,Almora,0.1177374617102679
2022-01-01,Bageshwar,1.154694827831939
2022-01-01,Chamoli,0.3577803584313505
2022-01-01,Champawat,0.0824966137708879
2022-01-01,Dehra Dun,0.1098190973738488
2022-01-01,Haridwar,0.089930097195155
2022-01-01,Naini Tal,0.0761453323693374
2022-01-01,Pauri Garhwal,0.1057121702797653
2022-01-01,Pithoragarh,0.1223180320289151
2022-01-01,Rudra Prayag,0.3584901575816214
2022-01-01,Tehri Garhwal,0.3540158686061218
2022-01-01,Udham Singh Nagar,0.0651926573794285
2022-01-01,Uttarkashi,0.3288624716069955
2022-01-02,Almora,0.0233331065787327
2022-01-02,Bageshwar,0.3732067915343899
2022-01-02,Chamoli,0.7260430923978326
2022-01-02,Champawat,5.020080022065036e-05
2022-01-02,Dehra Dun,6.541291758941999e-05
2022-01-02,Haridwar,0.0
2022-01-02,Naini Tal,0.1437451910802609
2022-01-02,Pauri Garhwal,0.0767250000978456
2022-01-02,Pithoragarh,0.2082878556029219
2022-01-02,Rudra Prayag,0.7423160445408344
2022-01-02,Tehri Garhwal,0.0931504928485429
2022-01-02,Udham Singh Nagar,0.0259540351369246
2022-01-02,Uttarkashi,0.159860836736445
2022-01-03,Almora,0.0032266809811124
2022-01-03,Bageshwar,1.934831748276552
2022-01-03,Chamoli,0.1819995144933598
2022-01-03,Champawat,0.0
2022-01-03,Dehra Dun,0.1444296787692699
2022-01-03,Haridwar,0.0371350573943568
2022-01-03,Naini Tal,0.0004322976125577477
2022-01-03,Pauri Garhwal,0.0721046929964604
2022-01-03,Pithoragarh,0.2157869833297102
2022-01-03,Rudra Prayag,1.1905319215134686
2022-01-03,Tehri Garhwal,1.1023894188901835
2022-01-03,Udham Singh Nagar,0.0
2022-01-03,Uttarkashi,1.2941966757752987
2022-01-04,Almora,5.389745023174674
2022-01-04,Bageshwar,6.806136785994578
2022-01-04,Chamoli,4.459299061230279
2022-01-04,Champawat,1.7155157861446615
2022-01-04,Dehra Dun,10.198972905133886
2022-01-04,Haridwar,2.5195834909889308
2022-01-04,Naini Tal,3.0760796286850343
2022-01-04,Pauri Garhwal,7.225864462423202
2022-01-04,Pithoragarh,2.72628534991726
2022-01-04,Rudra Prayag,8.25567509973766
2022-01-04,Tehri Garhwal,12.83065112880859
2022-01-04,Udham Singh Nagar,1.814450885482356
2022-01-04,Uttarkashi,6.814905182862501
