station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
ALN_SUB_03,2023-05-01 00:00:00+00:00,0.5,0.5,0.412,0.412,19.7,94,973.3,0.4
ALN_SUB_03,2023-05-01 01:00:00+00:00,0.1,0.1,0.412,0.412,20.6,92,973.9,1.6
ALN_SUB_03,2023-05-01 02:00:00+00:00,0.2,0.2,0.412,0.412,21.3,88,974.8,2.2
ALN_SUB_03,2023-05-01 03:00:00+00:00,0.6,0.6,0.415,0.412,21.6,87,975.3,1.5
ALN_SUB_03,2023-05-01 04:00:00+00:00,0.5,0.5,0.419,0.413,21.6,87,975.3,1.1
ALN_SUB_03,2023-05-01 05:00:00+00:00,0.7,0.7,0.422,0.414,21.8,86,974.6,1.3
ALN_SUB_03,2023-05-01 06:00:00+00:00,0.8,0.8,0.424,0.415,22.7,85,973.8,2.4
ALN_SUB_03,2023-05-01 07:00:00+00:00,1.3,1.3,0.428,0.418,22.2,90,973.0,2.1
ALN_SUB_03,2023-05-01 08:00:00+00:00,0.6,0.6,0.427,0.42,22.5,89,972.0,3.0
ALN_SUB_03,2023-05-01 09:00:00+00:00,1.9,1.9,0.43,0.424,22.0,88,971.5,3.2
ALN_SUB_03,2023-05-01 10:00:00+00:00,0.6,0.6,0.428,0.426,21.9,88,971.3,4.7
ALN_SUB_03,2023-05-01 11:00:00+00:00,0.1,0.1,0.425,0.425,21.7,90,971.8,3.7
ALN_SUB_03,2023-05-01 12:00:00+00:00,0.3,0.3,0.419,0.423,21.0,92,973.2,3.3
ALN_SUB_03,2023-05-01 13:00:00+00:00,0.1,0.1,0.419,0.422,20.1,97,973.7,4.4
ALN_SUB_03,2023-05-01 14:00:00+00:00,0.1,0.1,0.419,0.422,20.1,95,974.6,1.6
ALN_SUB_03,2023-05-01 15:00:00+00:00,0.0,0.0,0.418,0.421,19.4,97,975.0,2.2
ALN_SUB_03,2023-05-01 16:00:00+00:00,0.0,0.0,0.417,0.421,18.9,98,975.4,2.6
ALN_SUB_03,2023-05-01 17:00:00+00:00,0.5,0.5,0.421,0.42,18.7,99,975.5,2.6
ALN_SUB_03,2023-05-01 18:00:00+00:00,5.2,5.2,0.43,0.426,19.2,98,974.8,1.1
ALN_SUB_03,2023-05-01 19:00:00+00:00,3.0,3.0,0.43,0.43,19.0,99,974.2,5.0
ALN_SUB_03,2023-05-01 20:00:00+00:00,2.8,2.8,0.429,0.43,19.0,98,973.6,2.5
ALN_SUB_03,2023-05-01 21:00:00+00:00,0.1,0.1,0.426,0.428,19.2,98,973.0,1.3
ALN_SUB_03,2023-05-01 22:00:00+00:00,0.1,0.1,0.425,0.427,19.1,98,972.8,0.5
ALN_SUB_03,2023-05-01 23:00:00+00:00,0.2,0.2,0.424,0.426,19.2,98,973.2,2.3
ALN_SUB_03,2023-05-02 00:00:00+00:00,0.2,0.2,0.422,0.425,19.6,97,973.4,2.5
ALN_SUB_03,2023-05-02 01:00:00+00:00,0.4,0.4,0.424,0.425,20.4,95,974.4,1.6
ALN_SUB_03,2023-05-02 02:00:00+00:00,0.1,0.1,0.423,0.424,20.9,92,975.0,2.2
ALN_SUB_03,2023-05-02 03:00:00+00:00,0.1,0.1,0.422,0.424,21.9,88,975.5,1.6
ALN_SUB_03,2023-05-02 04:00:00+00:00,0.1,0.1,0.421,0.424,22.8,86,975.4,2.9
ALN_SUB_03,2023-05-02 05:00:00+00:00,0.1,0.1,0.42,0.423,23.9,77,974.8,7.4
ALN_SUB_03,2023-05-02 06:00:00+00:00,0.0,0.0,0.419,0.422,24.2,76,974.2,8.2
ALN_SUB_03,2023-05-02 07:00:00+00:00,0.1,0.1,0.417,0.421,25.7,70,973.0,9.9
ALN_SUB_03,2023-05-02 08:00:00+00:00,0.6,0.6,0.42,0.421,24.7,72,971.9,11.2
ALN_SUB_03,2023-05-02 09:00:00+00:00,0.0,0.0,0.418,0.42,24.8,74,971.3,8.4
ALN_SUB_03,2023-05-02 10:00:00+00:00,0.1,0.1,0.416,0.42,24.1,74,971.5,4.4
ALN_SUB_03,2023-05-02 11:00:00+00:00,0.2,0.2,0.417,0.42,22.9,82,972.1,2.2
ALN_SUB_03,2023-05-02 12:00:00+00:00,0.1,0.1,0.427,0.426,20.3,97,972.2,4.0
ALN_SUB_03,2023-05-02 13:00:00+00:00,3.6,3.6,0.428,0.429,20.0,99,972.8,5.1
ALN_SUB_03,2023-05-02 14:00:00+00:00,0.6,0.6,0.429,0.429,19.6,99,974.0,5.4
ALN_SUB_03,2023-05-02 15:00:00+00:00,3.0,3.0,0.43,0.43,19.5,98,975.0,2.0
ALN_SUB_03,2023-05-02 16:00:00+00:00,2.9,2.9,0.43,0.43,19.5,98,975.9,3.0
ALN_SUB_03,2023-05-02 17:00:00+00:00,0.4,0.4,0.429,0.429,19.3,98,975.6,1.3
ALN_SUB_03,2023-05-02 18:00:00+00:00,0.3,0.3,0.429,0.428,19.0,98,975.5,2.6
ALN_SUB_03,2023-05-02 19:00:00+00:00,0.7,0.7,0.43,0.429,19.0,98,975.1,1.5
ALN_SUB_03,2023-05-02 20:00:00+00:00,0.5,0.5,0.428,0.429,19.1,98,974.6,2.6
ALN_SUB_03,2023-05-02 21:00:00+00:00,0.1,0.1,0.426,0.428,19.1,98,974.5,1.5
ALN_SUB_03,2023-05-02 22:00:00+00:00,0.2,0.2,0.426,0.428,19.2,98,974.7,1.8
ALN_SUB_03,2023-05-02 23:00:00+00:00,0.1,0.1,0.424,0.427,19.2,98,974.9,1.4
ALN_SUB_03,2023-05-03 00:00:00+00:00,0.0,0.0,0.428,0.429,19.6,94,976.0,2.9
ALN_SUB_03,2023-05-03 01:00:00+00:00,0.3,0.3,0.427,0.428,20.0,94,976.7,3.5
ALN_SUB_03,2023-05-03 02:00:00+00:00,0.1,0.1,0.425,0.427,20.9,90,977.8,2.5
ALN_SUB_03,2023-05-03 03:00:00+00:00,0.7,0.7,0.428,0.427,21.8,84,978.2,3.1
ALN_SUB_03,2023-05-03 04:00:00+00:00,0.9,0.9,0.429,0.428,22.8,79,978.1,5.5
ALN_SUB_03,2023-05-03 05:00:00+00:00,0.4,0.4,0.428,0.428,22.7,80,977.4,5.6
ALN_SUB_03,2023-05-03 06:00:00+00:00,0.2,0.2,0.426,0.427,21.7,88,977.1,6.8
ALN_SUB_03,2023-05-03 07:00:00+00:00,0.1,0.1,0.423,0.426,22.7,86,975.9,6.2
ALN_SUB_03,2023-05-03 08:00:00+00:00,0.8,0.8,0.427,0.426,23.3,77,974.8,6.8
ALN_SUB_03,2023-05-03 09:00:00+00:00,0.6,0.6,0.427,0.426,22.4,82,974.1,5.6
ALN_SUB_03,2023-05-03 10:00:00+00:00,0.4,0.4,0.426,0.426,21.5,89,973.8,2.3
ALN_SUB_03,2023-05-03 11:00:00+00:00,0.2,0.2,0.425,0.426,21.4,87,974.0,0.0
ALN_SUB_03,2023-05-03 12:00:00+00:00,0.1,0.1,0.424,0.423,20.9,92,974.5,4.9
ALN_SUB_03,2023-05-03 13:00:00+00:00,0.1,0.1,0.423,0.423,19.9,99,974.8,2.5
ALN_SUB_03,2023-05-03 14:00:00+00:00,0.3,0.3,0.423,0.423,19.8,99,976.0,1.6
ALN_SUB_03,2023-05-03 15:00:00+00:00,0.4,0.4,0.425,0.423,19.9,99,976.4,1.3
ALN_SUB_03,2023-05-03 16:00:00+00:00,0.1,0.1,0.423,0.423,19.9,98,976.4,0.8
ALN_SUB_03,2023-05-03 17:00:00+00:00,0.0,0.0,0.421,0.423,19.6,99,976.1,1.4
ALN_SUB_03,2023-05-03 18:00:00+00:00,0.0,0.0,0.42,0.423,19.1,100,975.3,2.2
ALN_SUB_03,2023-05-03 19:00:00+00:00,0.0,0.0,0.419,0.422,18.9,99,974.7,2.7
ALN_SUB_03,2023-05-03 20:00:00+00:00,0.0,0.0,0.418,0.422,18.7,99,973.9,1.8
ALN_SUB_03,2023-05-03 21:00:00+00:00,0.0,0.0,0.417,0.422,18.6,99,974.0,1.4
ALN_SUB_03,2023-05-03 22:00:00+00:00,0.0,0.0,0.417,0.421,18.4,99,973.9,2.3
ALN_SUB_03,2023-05-03 23:00:00+00:00,0.0,0.0,0.416,0.421,18.1,99,974.1,1.1
ALN_SUB_03,2023-05-04 00:00:00+00:00,0.0,0.0,0.42,0.425,19.7,95,975.0,4.7
