station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
DPR_SUB_04,2023-05-01 00:00:00+00:00,0.0,0.0,0.41,0.413,21.4,84,979.1,0.0
DPR_SUB_04,2023-05-01 01:00:00+00:00,0.1,0.1,0.41,0.413,21.6,86,979.5,1.5
DPR_SUB_04,2023-05-01 02:00:00+00:00,0.1,0.1,0.41,0.412,22.4,83,980.5,2.1
DPR_SUB_04,2023-05-01 03:00:00+00:00,0.6,0.6,0.413,0.412,22.3,82,981.0,1.3
DPR_SUB_04,2023-05-01 04:00:00+00:00,1.2,1.2,0.421,0.412,22.9,83,980.9,3.7
DPR_SUB_04,2023-05-01 05:00:00+00:00,0.9,0.9,0.423,0.413,22.8,83,980.2,3.4
DPR_SUB_04,2023-05-01 06:00:00+00:00,0.6,0.6,0.422,0.414,23.4,80,979.3,3.3
DPR_SUB_04,2023-05-01 07:00:00+00:00,0.6,0.6,0.422,0.415,23.9,83,978.4,3.8
DPR_SUB_04,2023-05-01 08:00:00+00:00,0.9,0.9,0.423,0.415,24.0,85,977.1,3.3
DPR_SUB_04,2023-05-01 09:00:00+00:00,2.2,2.2,0.429,0.42,23.1,93,976.8,4.3
DPR_SUB_04,2023-05-01 10:00:00+00:00,2.9,2.9,0.43,0.424,22.3,94,976.5,3.7
DPR_SUB_04,2023-05-01 11:00:00+00:00,3.3,3.3,0.43,0.428,22.3,90,977.0,1.8
DPR_SUB_04,2023-05-01 12:00:00+00:00,3.1,3.1,0.421,0.426,21.9,96,978.5,3.1
DPR_SUB_04,2023-05-01 13:00:00+00:00,2.4,2.4,0.429,0.427,21.7,96,979.4,1.5
DPR_SUB_04,2023-05-01 14:00:00+00:00,0.2,0.2,0.427,0.426,21.5,96,979.9,1.3
DPR_SUB_04,2023-05-01 15:00:00+00:00,0.2,0.2,0.426,0.425,21.6,96,980.6,1.6
DPR_SUB_04,2023-05-01 16:00:00+00:00,0.4,0.4,0.427,0.424,21.7,91,981.0,1.9
DPR_SUB_04,2023-05-01 17:00:00+00:00,0.7,0.7,0.429,0.424,21.2,95,980.6,1.1
DPR_SUB_04,2023-05-01 18:00:00+00:00,0.7,0.7,0.428,0.425,21.0,95,980.2,1.8
DPR_SUB_04,2023-05-01 19:00:00+00:00,1.0,1.0,0.43,0.426,20.8,95,979.6,2.6
DPR_SUB_04,2023-05-01 20:00:00+00:00,1.3,1.3,0.43,0.428,20.6,95,979.0,2.5
DPR_SUB_04,2023-05-01 21:00:00+00:00,0.5,0.5,0.429,0.427,20.4,97,978.5,3.2
DPR_SUB_04,2023-05-01 22:00:00+00:00,0.8,0.8,0.429,0.427,20.4,97,978.3,2.7
DPR_SUB_04,2023-05-01 23:00:00+00:00,1.3,1.3,0.43,0.429,20.4,95,978.8,2.3
DPR_SUB_04,2023-05-02 00:00:00+00:00,1.3,1.3,0.433,0.428,20.9,95,978.9,2.9
DPR_SUB_04,2023-05-02 01:00:00+00:00,1.3,1.3,0.429,0.429,21.1,95,979.9,3.1
DPR_SUB_04,2023-05-02 02:00:00+00:00,0.3,0.3,0.428,0.427,21.4,98,980.6,3.9
DPR_SUB_04,2023-05-02 03:00:00+00:00,0.6,0.6,0.427,0.426,21.8,94,981.1,3.6
DPR_SUB_04,2023-05-02 04:00:00+00:00,0.2,0.2,0.425,0.425,22.7,87,981.0,4.1
DPR_SUB_04,2023-05-02 05:00:00+00:00,0.3,0.3,0.424,0.424,23.0,88,980.4,5.3
DPR_SUB_04,2023-05-02 06:00:00+00:00,0.3,0.3,0.424,0.424,22.4,91,979.9,2.9
DPR_SUB_04,2023-05-02 07:00:00+00:00,0.9,0.9,0.426,0.423,22.6,93,978.7,2.1
DPR_SUB_04,2023-05-02 08:00:00+00:00,2.1,2.1,0.43,0.427,22.7,94,977.6,3.5
DPR_SUB_04,2023-05-02 09:00:00+00:00,3.6,3.6,0.43,0.429,22.4,96,976.9,3.1
DPR_SUB_04,2023-05-02 10:00:00+00:00,1.9,1.9,0.43,0.43,22.6,95,977.1,3.1
DPR_SUB_04,2023-05-02 11:00:00+00:00,2.8,2.8,0.43,0.43,22.4,95,977.6,2.9
DPR_SUB_04,2023-05-02 12:00:00+00:00,2.5,2.5,0.43,0.43,22.3,95,977.6,1.6
DPR_SUB_04,2023-05-02 13:00:00+00:00,1.0,1.0,0.43,0.429,22.1,95,978.3,3.7
DPR_SUB_04,2023-05-02 14:00:00+00:00,1.3,1.3,0.429,0.429,21.9,95,978.9,2.1
DPR_SUB_04,2023-05-02 15:00:00+00:00,0.4,0.4,0.428,0.428,21.7,95,980.3,2.6
DPR_SUB_04,2023-05-02 16:00:00+00:00,0.1,0.1,0.426,0.427,21.4,95,980.9,3.1
DPR_SUB_04,2023-05-02 17:00:00+00:00,0.8,0.8,0.429,0.427,21.2,93,981.0,2.7
DPR_SUB_04,2023-05-02 18:00:00+00:00,0.5,0.5,0.428,0.427,20.9,94,980.9,2.6
DPR_SUB_04,2023-05-02 19:00:00+00:00,0.7,0.7,0.43,0.427,20.5,96,980.5,2.3
DPR_SUB_04,2023-05-02 20:00:00+00:00,0.8,0.8,0.43,0.428,20.3,97,980.2,0.8
DPR_SUB_04,2023-05-02 21:00:00+00:00,1.4,1.4,0.43,0.429,20.3,95,979.9,2.4
