station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
ITN_SNG_01,2023-05-01 00:00:00+00:00,0.1,0.1,0.426,0.436,20.0,94,975.8,1.8
ITN_SNG_01,2023-05-01 01:00:00+00:00,0.3,0.3,0.425,0.434,21.2,91,977.0,3.8
ITN_SNG_01,2023-05-01 02:00:00+00:00,0.3,0.3,0.424,0.433,21.0,90,977.7,3.1
ITN_SNG_01,2023-05-01 03:00:00+00:00,0.2,0.2,0.422,0.431,22.6,82,978.0,4.3
ITN_SNG_01,2023-05-01 04:00:00+00:00,0.1,0.1,0.42,0.429,24.3,79,977.9,5.6
ITN_SNG_01,2023-05-01 05:00:00+00:00,0.2,0.2,0.417,0.427,24.8,79,977.2,7.7
ITN_SNG_01,2023-05-01 06:00:00+00:00,0.2,0.2,0.416,0.425,24.0,82,976.4,2.6
ITN_SNG_01,2023-05-01 07:00:00+00:00,0.2,0.2,0.415,0.423,24.9,79,975.3,4.0
ITN_SNG_01,2023-05-01 08:00:00+00:00,0.2,0.2,0.413,0.421,25.8,74,974.2,4.7
ITN_SNG_01,2023-05-01 09:00:00+00:00,0.4,0.4,0.414,0.419,25.7,75,973.7,8.0
ITN_SNG_01,2023-05-01 10:00:00+00:00,0.2,0.2,0.413,0.418,25.5,76,973.3,4.3
ITN_SNG_01,2023-05-01 11:00:00+00:00,0.1,0.1,0.412,0.416,24.7,81,973.8,3.1
ITN_SNG_01,2023-05-01 12:00:00+00:00,2.0,2.0,0.432,0.436,22.1,87,974.8,8.6
ITN_SNG_01,2023-05-01 13:00:00+00:00,2.9,2.9,0.43,0.438,20.7,92,975.5,8.3
ITN_SNG_01,2023-05-01 14:00:00+00:00,0.1,0.1,0.426,0.436,20.8,93,976.6,6.0
ITN_SNG_01,2023-05-01 15:00:00+00:00,7.3,7.3,0.431,0.438,20.3,98,977.9,6.5
