station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
PSG_SNG_02,2023-05-01 00:00:00+00:00,3.6,3.6,0.515,0.524,21.1,88,989.0,3.5
PSG_SNG_02,2023-05-01 01:00:00+00:00,7.9,7.9,0.514,0.519,21.2,85,989.4,3.3
PSG_SNG_02,2023-05-01 02:00:00+00:00,6.3,6.3,0.513,0.518,21.7,80,990.7,1.3
PSG_SNG_02,2023-05-01 03:00:00+00:00,1.4,1.4,0.505,0.52,21.9,81,991.3,0.8
PSG_SNG_02,2023-05-01 04:00:00+00:00,0.9,0.9,0.501,0.514,21.7,86,991.4,2.8
PSG_SNG_02,2023-05-01 05:00:00+00:00,2.5,2.5,0.505,0.517,22.7,81,990.8,4.7
PSG_SNG_02,2023-05-01 06:00:00+00:00,1.5,1.5,0.516,0.515,22.8,79,990.2,4.0
PSG_SNG_02,2023-05-01 07:00:00+00:00,4.0,4.0,0.515,0.497,23.3,75,989.4,4.2
PSG_SNG_02,2023-05-01 08:00:00+00:00,0.1,0.1,0.507,0.482,23.9,71,988.4,4.2
PSG_SNG_02,2023-05-01 09:00:00+00:00,0.9,0.9,0.508,0.482,23.4,74,987.6,4.7
PSG_SNG_02,2023-05-01 10:00:00+00:00,0.2,0.2,0.505,0.482,24.0,73,987.2,4.7
PSG_SNG_02,2023-05-01 11:00:00+00:00,0.6,0.6,0.506,0.482,22.8,82,986.8,6.4
PSG_SNG_02,2023-05-01 12:00:00+00:00,0.7,0.7,0.496,0.507,22.7,76,987.6,7.4
PSG_SNG_02,2023-05-01 13:00:00+00:00,0.0,0.0,0.495,0.505,21.9,81,987.9,10.5
PSG_SNG_02,2023-05-01 14:00:00+00:00,0.0,0.0,0.494,0.503,21.4,83,988.9,13.8
PSG_SNG_02,2023-05-01 15:00:00+00:00,0.1,0.1,0.493,0.502,21.6,80,989.7,10.4
PSG_SNG_02,2023-05-01 16:00:00+00:00,0.2,0.2,0.494,0.5,21.2,83,990.2,10.0
PSG_SNG_02,2023-05-01 17:00:00+00:00,2.6,2.6,0.515,0.501,20.7,91,990.8,5.4
PSG_SNG_02,2023-05-01 18:00:00+00:00,4.1,4.1,0.52,0.513,20.8,89,990.0,8.5
PSG_SNG_02,2023-05-01 19:00:00+00:00,3.4,3.4,0.506,0.519,20.7,89,989.5,4.4
PSG_SNG_02,2023-05-01 20:00:00+00:00,3.2,3.2,0.499,0.513,20.6,91,989.3,4.0
PSG_SNG_02,2023-05-01 21:00:00+00:00,2.7,2.7,0.52,0.482,21.7,80,989.2,2.3
PSG_SNG_02,2023-05-01 22:00:00+00:00,3.4,3.4,0.516,0.495,21.4,80,989.2,2.0
PSG_SNG_02,2023-05-01 23:00:00+00:00,1.9,1.9,0.509,0.503,20.6,89,989.4,3.1
PSG_SNG_02,2023-05-02 00:00:00+00:00,1.1,1.1,0.505,0.495,21.0,87,989.3,3.7
PSG_SNG_02,2023-05-02 01:00:00+00:00,3.3,3.3,0.507,0.49,21.2,89,990.2,3.0
PSG_SNG_02,2023-05-02 02:00:00+00:00,4.9,4.9,0.52,0.499,22.0,82,991.1,1.8
PSG_SNG_02,2023-05-02 03:00:00+00:00,9.4,9.4,0.504,0.514,21.4,86,991.9,3.8
PSG_SNG_02,2023-05-02 04:00:00+00:00,5.3,5.3,0.52,0.509,22.1,78,992.3,4.7
PSG_SNG_02,2023-05-02 05:00:00+00:00,5.2,5.2,0.512,0.518,22.7,75,992.1,6.9
PSG_SNG_02,2023-05-02 06:00:00+00:00,0.0,0.0,0.506,0.516,24.3,70,991.4,10.1
PSG_SNG_02,2023-05-02 07:00:00+00:00,0.0,0.0,0.502,0.514,25.3,64,990.0,10.1
PSG_SNG_02,2023-05-02 08:00:00+00:00,0.0,0.0,0.498,0.512,24.9,67,988.8,9.4
PSG_SNG_02,2023-05-02 09:00:00+00:00,0.1,0.1,0.497,0.511,24.3,71,987.9,0.8
PSG_SNG_02,2023-05-02 10:00:00+00:00,0.1,0.1,0.496,0.509,24.3,72,987.9,7.1
PSG_SNG_02,2023-05-02 11:00:00+00:00,0.0,0.0,0.495,0.508,23.1,75,987.7,12.9
PSG_SNG_02,2023-05-02 12:00:00+00:00,0.0,0.0,0.481,0.501,23.0,71,986.8,10.9
PSG_SNG_02,2023-05-02 13:00:00+00:00,0.0,0.0,0.481,0.5,21.6,77,987.3,9.4
PSG_SNG_02,2023-05-02 14:00:00+00:00,7.1,7.1,0.516,0.513,20.6,87,988.4,13.5
PSG_SNG_02,2023-05-02 15:00:00+00:00,4.8,4.8,0.515,0.517,20.8,86,989.8,11.8
PSG_SNG_02,2023-05-02 16:00:00+00:00,0.6,0.6,0.514,0.515,21.3,80,990.4,7.9
PSG_SNG_02,2023-05-02 17:00:00+00:00,5.0,5.0,0.493,0.518,20.5,89,991.1,4.4
PSG_SNG_02,2023-05-02 18:00:00+00:00,3.0,3.0,0.495,0.518,20.0,93,991.5,3.1
PSG_SNG_02,2023-05-02 19:00:00+00:00,0.3,0.3,0.498,0.514,20.1,90,990.8,5.1
PSG_SNG_02,2023-05-02 20:00:00+00:00,0.4,0.4,0.502,0.512,19.9,87,990.7,5.4
PSG_SNG_02,2023-05-02 21:00:00+00:00,0.3,0.3,0.503,0.511,19.9,87,990.9,4.1
PSG_SNG_02,2023-05-02 22:00:00+00:00,0.1,0.1,0.503,0.51,19.8,87,991.0,4.9
PSG_SNG_02,2023-05-02 23:00:00+00:00,0.0,0.0,0.501,0.509,21.0,75,991.2,0.4
PSG_SNG_02,2023-05-03 00:00:00+00:00,0.0,0.0,0.502,0.508,20.8,89,992.0,3.0
PSG_SNG_02,2023-05-03 01:00:00+00:00,0.0,0.0,0.5,0.507,21.8,84,992.7,4.3
PSG_SNG_02,2023-05-03 02:00:00+00:00,0.0,0.0,0.498,0.506,22.8,84,993.8,5.0
PSG_SNG_02,2023-05-03 03:00:00+00:00,0.3,0.3,0.499,0.505,23.5,74,994.1,1.0
PSG_SNG_02,2023-05-03 04:00:00+00:00,0.1,0.1,0.497,0.504,24.6,70,994.1,5.4
PSG_SNG_02,2023-05-03 05:00:00+00:00,0.1,0.1,0.495,0.503,25.5,66,993.3,4.4
PSG_SNG_02,2023-05-03 06:00:00+00:00,0.1,0.1,0.492,0.502,26.2,62,992.4,5.2
PSG_SNG_02,2023-05-03 07:00:00+00:00,0.0,0.0,0.489,0.501,26.9,58,990.9,4.5
PSG_SNG_02,2023-05-03 08:00:00+00:00,0.0,0.0,0.486,0.499,27.0,57,989.8,6.8
PSG_SNG_02,2023-05-03 09:00:00+00:00,0.1,0.1,0.484,0.498,25.8,61,989.2,3.5
PSG_SNG_02,2023-05-03 10:00:00+00:00,1.1,1.1,0.493,0.497,24.1,72,988.8,3.3
PSG_SNG_02,2023-05-03 11:00:00+00:00,0.5,0.5,0.496,0.497,24.0,79,988.7,4.3
PSG_SNG_02,2023-05-03 12:00:00+00:00,0.1,0.1,0.488,0.496,22.2,81,989.0,8.8
PSG_SNG_02,2023-05-03 13:00:00+00:00,0.3,0.3,0.491,0.495,21.9,83,989.2,8.5
PSG_SNG_02,2023-05-03 14:00:00+00:00,0.0,0.0,0.491,0.495,21.4,87,990.4,5.1
PSG_SNG_02,2023-05-03 15:00:00+00:00,1.0,1.0,0.5,0.495,22.2,83,990.9,1.1
PSG_SNG_02,2023-05-03 16:00:00+00:00,1.2,1.2,0.512,0.496,21.3,93,991.7,3.9
PSG_SNG_02,2023-05-03 17:00:00+00:00,0.2,0.2,0.509,0.497,21.3,91,991.2,4.9
PSG_SNG_02,2023-05-03 18:00:00+00:00,0.4,0.4,0.51,0.498,21.9,84,991.1,3.1
PSG_SNG_02,2023-05-03 19:00:00+00:00,2.0,2.0,0.51,0.505,20.6,90,990.1,4.1
PSG_SNG_02,2023-05-03 20:00:00+00:00,2.6,2.6,0.514,0.512,20.7,89,989.1,5.2
PSG_SNG_02,2023-05-03 21:00:00+00:00,0.0,0.0,0.51,0.511,21.0,86,989.3,5.5
PSG_SNG_02,2023-05-03 22:00:00+00:00,0.0,0.0,0.508,0.51,21.5,82,989.4,2.3
PSG_SNG_02,2023-05-03 23:00:00+00:00,0.0,0.0,0.505,0.509,21.5,81,989.7,1.1
PSG_SNG_02,2023-05-04 00:00:00+00:00,0.0,0.0,0.493,0.493,22.5,75,990.4,0.8
PSG_SNG_02,2023-05-04 01:00:00+00:00,0.0,0.0,0.492,0.492,22.8,81,991.2,0.8
PSG_SNG_02,2023-05-04 02:00:00+00:00,0.0,0.0,0.491,0.492,23.1,83,991.8,4.0
PSG_SNG_02,2023-05-04 03:00:00+00:00,0.1,0.1,0.491,0.492,22.6,89,992.0,2.1
PSG_SNG_02,2023-05-04 04:00:00+00:00,0.3,0.3,0.492,0.492,23.4,87,992.2,4.0
PSG_SNG_02,2023-05-04 05:00:00+00:00,0.9,0.9,0.498,0.491,23.3,86,991.9,3.3
PSG_SNG_02,2023-05-04 06:00:00+00:00,0.5,0.5,0.5,0.492,23.4,86,991.1,8.2
PSG_SNG_02,2023-05-04 07:00:00+00:00,0.8,0.8,0.503,0.492,23.7,83,990.1,6.5
PSG_SNG_02,2023-05-04 08:00:00+00:00,0.0,0.0,0.5,0.492,24.1,75,989.1,7.9
PSG_SNG_02,2023-05-04 09:00:00+00:00,0.0,0.0,0.498,0.492,24.1,74,988.0,6.3
PSG_SNG_02,2023-05-04 10:00:00+00:00,0.0,0.0,0.495,0.492,24.5,72,987.5,6.5
PSG_SNG_02,2023-05-04 11:00:00+00:00,0.0,0.0,0.494,0.492,23.8,79,987.2,6.2
PSG_SNG_02,2023-05-04 12:00:00+00:00,0.0,0.0,0.476,0.487,22.3,85,988.4,4.6
PSG_SNG_02,2023-05-04 13:00:00+00:00,0.0,0.0,0.476,0.486,21.3,86,988.9,4.9
PSG_SNG_02,2023-05-04 14:00:00+00:00,0.0,0.0,0.476,0.486,20.9,86,988.8,7.2
PSG_SNG_02,2023-05-04 15:00:00+00:00,0.1,0.1,0.476,0.486,20.4,89,989.4,5.7
PSG_SNG_02,2023-05-04 16:00:00+00:00,0.1,0.1,0.477,0.485,20.7,86,989.1,5.2
PSG_SNG_02,2023-05-04 17:00:00+00:00,0.0,0.0,0.477,0.485,20.5,86,988.2,5.5
PSG_SNG_02,2023-05-04 18:00:00+00:00,0.2,0.2,0.478,0.485,19.4,92,988.2,5.8
PSG_SNG_02,2023-05-04 19:00:00+00:00,0.8,0.8,0.485,0.485,19.7,90,987.7,4.4
PSG_SNG_02,2023-05-04 20:00:00+00:00,1.0,1.0,0.495,0.485,19.9,89,986.9,6.3
PSG_SNG_02,2023-05-04 21:00:00+00:00,0.8,0.8,0.503,0.485,20.5,88,986.6,5.1
PSG_SNG_02,2023-05-04 22:00:00+00:00,0.4,0.4,0.505,0.486,20.4,89,986.1,4.0
PSG_SNG_02,2023-05-04 23:00:00+00:00,0.0,0.0,0.501,0.487,20.6,85,986.5,4.1
PSG_SNG_02,2023-05-05 00:00:00+00:00,0.0,0.0,0.502,0.501,21.3,90,987.0,1.0
PSG_SNG_02,2023-05-05 01:00:00+00:00,2.4,2.4,0.506,0.508,21.8,82,987.6,1.1
PSG_SNG_02,2023-05-05 02:00:00+00:00,1.7,1.7,0.503,0.513,22.1,83,988.7,1.1
PSG_SNG_02,2023-05-05 03:00:00+00:00,0.5,0.5,0.505,0.512,23.0,82,988.7,3.5
PSG_SNG_02,2023-05-05 04:00:00+00:00,0.3,0.3,0.505,0.51,23.5,80,988.7,4.0
PSG_SNG_02,2023-05-05 05:00:00+00:00,0.3,0.3,0.504,0.509,24.4,75,988.1,4.1
PSG_SNG_02,2023-05-05 06:00:00+00:00,0.4,0.4,0.504,0.508,24.4,73,987.4,5.5
PSG_SNG_02,2023-05-05 07:00:00+00:00,0.1,0.1,0.502,0.506,24.1,75,986.1,7.7
PSG_SNG_02,2023-05-05 08:00:00+00:00,1.2,1.2,0.511,0.506,23.1,81,985.1,3.5
PSG_SNG_02,2023-05-05 09:00:00+00:00,3.7,3.7,0.52,0.513,22.7,85,984.7,1.8
PSG_SNG_02,2023-05-05 10:00:00+00:00,6.8,6.8,0.517,0.52,23.2,81,984.2,5.9
PSG_SNG_02,2023-05-05 11:00:00+00:00,9.2,9.2,0.52,0.519,22.6,84,984.2,7.7
PSG_SNG_02,2023-05-05 12:00:00+00:00,21.7,21.7,0.489,0.493,23.1,78,984.2,10.2
PSG_SNG_02,2023-05-05 13:00:00+00:00,7.2,7.2,0.518,0.507,22.0,85,984.6,11.8
PSG_SNG_02,2023-05-05 14:00:00+00:00,4.0,4.0,0.516,0.517,21.7,86,985.3,10.5
PSG_SNG_02,2023-05-05 15:00:00+00:00,4.5,4.5,0.52,0.519,21.0,91,986.1,10.2
PSG_SNG_02,2023-05-05 16:00:00+00:00,4.3,4.3,0.504,0.517,21.0,89,985.9,10.6
PSG_SNG_02,2023-05-05 17:00:00+00:00,0.0,0.0,0.502,0.514,20.4,91,985.3,4.1
PSG_SNG_02,2023-05-05 18:00:00+00:00,0.8,0.8,0.509,0.512,20.3,90,985.9,11.6
PSG_SNG_02,2023-05-05 19:00:00+00:00,0.1,0.1,0.507,0.511,20.7,86,985.6,2.6
PSG_SNG_02,2023-05-05 20:00:00+00:00,0.0,0.0,0.505,0.51,20.0,90,985.3,4.3
PSG_SNG_02,2023-05-05 21:00:00+00:00,0.0,0.0,0.503,0.509,21.6,80,985.6,3.3
PSG_SNG_02,2023-05-05 22:00:00+00:00,0.0,0.0,0.501,0.508,19.4,90,985.8,5.1
PSG_SNG_02,2023-05-05 23:00:00+00:00,0.1,0.1,0.501,0.507,19.3,93,986.7,5.5
PSG_SNG_02,2023-05-06 00:00:00+00:00,1.2,1.2,0.496,0.507,20.9,91,987.0,6.4
PSG_SNG_02,2023-05-06 01:00:00+00:00,0.1,0.1,0.496,0.506,22.1,83,987.1,2.2
PSG_SNG_02,2023-05-06 02:00:00+00:00,0.7,0.7,0.502,0.506,22.6,84,988.1,3.3
PSG_SNG_02,2023-05-06 03:00:00+00:00,1.6,1.6,0.514,0.506,22.7,83,988.3,4.0
