station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
SEP_KMG_05,2023-05-01 00:00:00+00:00,0.4,0.4,0.418,0.417,17.9,94,924.9,2.3
SEP_KMG_05,2023-05-01 01:00:00+00:00,0.2,0.2,0.418,0.417,18.9,93,925.8,2.6
SEP_KMG_05,2023-05-01 02:00:00+00:00,0.1,0.1,0.417,0.417,19.8,87,927.0,4.0
SEP_KMG_05,2023-05-01 03:00:00+00:00,0.1,0.1,0.416,0.417,20.6,83,927.3,5.4
SEP_KMG_05,2023-05-01 04:00:00+00:00,0.3,0.3,0.416,0.416,21.7,78,927.4,7.6
SEP_KMG_05,2023-05-01 05:00:00+00:00,0.3,0.3,0.416,0.416,22.9,73,926.9,9.7
SEP_KMG_05,2023-05-01 06:00:00+00:00,0.7,0.7,0.418,0.415,23.3,71,926.0,10.4
SEP_KMG_05,2023-05-01 07:00:00+00:00,0.5,0.5,0.419,0.415,23.5,73,925.0,10.5
SEP_KMG_05,2023-05-01 08:00:00+00:00,0.5,0.5,0.419,0.415,23.1,74,924.2,9.7
SEP_KMG_05,2023-05-01 09:00:00+00:00,0.6,0.6,0.42,0.415,23.0,72,923.6,9.7
SEP_KMG_05,2023-05-01 10:00:00+00:00,0.5,0.5,0.42,0.415,22.5,78,923.1,8.0
SEP_KMG_05,2023-05-01 11:00:00+00:00,0.3,0.3,0.419,0.415,21.8,81,923.6,7.0
SEP_KMG_05,2023-05-01 12:00:00+00:00,0.5,0.5,0.415,0.409,20.5,88,924.6,4.0
SEP_KMG_05,2023-05-01 13:00:00+00:00,0.6,0.6,0.418,0.41,19.4,94,925.3,2.7
SEP_KMG_05,2023-05-01 14:00:00+00:00,0.4,0.4,0.42,0.411,19.1,94,925.7,2.8
SEP_KMG_05,2023-05-01 15:00:00+00:00,0.6,0.6,0.424,0.412,18.9,93,926.5,4.2
SEP_KMG_05,2023-05-01 16:00:00+00:00,0.1,0.1,0.42,0.413,19.1,90,926.7,6.4
SEP_KMG_05,2023-05-01 17:00:00+00:00,0.0,0.0,0.417,0.413,19.0,91,926.4,6.6
SEP_KMG_05,2023-05-01 18:00:00+00:00,0.0,0.0,0.415,0.413,19.0,91,926.2,4.9
SEP_KMG_05,2023-05-01 19:00:00+00:00,0.0,0.0,0.414,0.413,19.3,91,925.6,5.7
SEP_KMG_05,2023-05-01 20:00:00+00:00,0.0,0.0,0.413,0.413,19.2,91,925.0,5.2
SEP_KMG_05,2023-05-01 21:00:00+00:00,0.1,0.1,0.412,0.413,19.1,91,924.5,4.8
SEP_KMG_05,2023-05-01 22:00:00+00:00,0.2,0.2,0.413,0.413,18.7,93,924.2,6.3
SEP_KMG_05,2023-05-01 23:00:00+00:00,0.0,0.0,0.412,0.413,18.9,91,924.6,7.9
SEP_KMG_05,2023-05-02 00:00:00+00:00,0.0,0.0,0.414,0.413,18.8,93,925.0,6.1
SEP_KMG_05,2023-05-02 01:00:00+00:00,0.0,0.0,0.413,0.413,19.3,91,926.2,8.2
SEP_KMG_05,2023-05-02 02:00:00+00:00,0.3,0.3,0.414,0.413,20.5,83,926.9,10.4
SEP_KMG_05,2023-05-02 03:00:00+00:00,0.9,0.9,0.419,0.413,20.8,83,927.5,12.6
SEP_KMG_05,2023-05-02 04:00:00+00:00,0.4,0.4,0.418,0.413,21.7,84,927.8,11.7
SEP_KMG_05,2023-05-02 05:00:00+00:00,0.3,0.3,0.417,0.413,22.1,80,927.3,10.6
SEP_KMG_05,2023-05-02 06:00:00+00:00,0.6,0.6,0.419,0.413,21.7,79,926.6,10.4
SEP_KMG_05,2023-05-02 07:00:00+00:00,0.4,0.4,0.418,0.413,23.1,73,925.5,13.3
SEP_KMG_05,2023-05-02 08:00:00+00:00,0.6,0.6,0.419,0.413,22.6,76,924.3,12.2
SEP_KMG_05,2023-05-02 09:00:00+00:00,0.5,0.5,0.419,0.414,21.1,90,923.6,10.1
SEP_KMG_05,2023-05-02 10:00:00+00:00,0.2,0.2,0.418,0.414,21.5,85,923.9,10.5
