station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
TWN_LOH_06,2023-05-01 00:00:00+00:00,1.8,1.8,0.512,0.52,19.1,90,985.2,6.0
TWN_LOH_06,2023-05-01 01:00:00+00:00,1.8,1.8,0.517,0.516,19.3,98,986.0,3.9
TWN_LOH_06,2023-05-01 02:00:00+00:00,2.5,2.5,0.51,0.517,19.6,99,986.4,1.9
TWN_LOH_06,2023-05-01 03:00:00+00:00,3.1,3.1,0.512,0.517,19.7,100,987.3,1.4
TWN_LOH_06,2023-05-01 04:00:00+00:00,3.9,3.9,0.52,0.519,19.9,100,987.9,4.1
TWN_LOH_06,2023-05-01 05:00:00+00:00,9.5,9.5,0.52,0.52,20.3,100,987.2,3.2
TWN_LOH_06,2023-05-01 06:00:00+00:00,6.2,6.2,0.511,0.518,21.3,96,985.9,6.6
TWN_LOH_06,2023-05-01 07:00:00+00:00,0.3,0.3,0.508,0.516,23.4,84,984.8,8.1
TWN_LOH_06,2023-05-01 08:00:00+00:00,0.0,0.0,0.505,0.514,25.5,74,983.4,5.2
TWN_LOH_06,2023-05-01 09:00:00+00:00,0.0,0.0,0.502,0.513,25.7,78,983.2,5.8
TWN_LOH_06,2023-05-01 10:00:00+00:00,0.0,0.0,0.5,0.512,25.2,81,982.4,1.8
TWN_LOH_06,2023-05-01 11:00:00+00:00,0.0,0.0,0.498,0.511,24.0,89,983.3,7.2
TWN_LOH_06,2023-05-01 12:00:00+00:00,0.0,0.0,0.493,0.509,21.5,99,983.6,2.6
TWN_LOH_06,2023-05-01 13:00:00+00:00,0.0,0.0,0.492,0.508,22.0,96,984.3,0.4
TWN_LOH_06,2023-05-01 14:00:00+00:00,0.0,0.0,0.492,0.507,21.2,93,984.9,2.3
TWN_LOH_06,2023-05-01 15:00:00+00:00,0.0,0.0,0.492,0.506,21.1,87,985.9,1.3
TWN_LOH_06,2023-05-01 16:00:00+00:00,0.0,0.0,0.491,0.505,21.3,81,986.3,5.4
TWN_LOH_06,2023-05-01 17:00:00+00:00,0.0,0.0,0.491,0.505,21.0,85,987.2,7.8
TWN_LOH_06,2023-05-01 18:00:00+00:00,0.7,0.7,0.496,0.504,20.4,84,987.1,2.6
TWN_LOH_06,2023-05-01 19:00:00+00:00,1.9,1.9,0.514,0.505,18.9,98,984.6,4.2
TWN_LOH_06,2023-05-01 20:00:00+00:00,2.0,2.0,0.516,0.512,19.0,99,986.4,1.8
TWN_LOH_06,2023-05-01 21:00:00+00:00,4.1,4.1,0.505,0.518,18.9,98,985.4,3.3
