station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
BRH_KSH_06,2023-06-01 00:00:00+00:00,0.9,0.9,0.414,0.338,11.2,93,837.7,5.2
BRH_KSH_06,2023-06-01 01:00:00+00:00,0.1,0.1,0.409,0.34,12.0,91,838.3,3.5
BRH_KSH_06,2023-06-01 02:00:00+00:00,0.2,0.2,0.406,0.342,12.7,89,839.0,1.8
BRH_KSH_06,2023-06-01 03:00:00+00:00,0.6,0.6,0.409,0.344,12.7,91,839.7,3.9
BRH_KSH_06,2023-06-01 04:00:00+00:00,0.4,0.4,0.407,0.346,12.4,93,840.3,4.3
BRH_KSH_06,2023-06-01 05:00:00+00:00,0.3,0.3,0.405,0.347,12.8,91,840.5,6.0
BRH_KSH_06,2023-06-01 06:00:00+00:00,0.3,0.3,0.403,0.349,13.7,82,840.8,6.2
BRH_KSH_06,2023-06-01 07:00:00+00:00,0.3,0.3,0.401,0.35,14.1,78,841.0,7.4
BRH_KSH_06,2023-06-01 08:00:00+00:00,0.6,0.6,0.404,0.351,13.8,80,840.7,6.0
BRH_KSH_06,2023-06-01 09:00:00+00:00,0.3,0.3,0.402,0.352,14.2,76,840.5,5.2
BRH_KSH_06,2023-06-01 10:00:00+00:00,0.1,0.1,0.399,0.353,15.1,73,840.5,4.6
BRH_KSH_06,2023-06-01 11:00:00+00:00,0.2,0.2,0.397,0.354,14.6,77,840.2,3.9
BRH_KSH_06,2023-06-01 12:00:00+00:00,0.0,0.0,0.397,0.355,14.3,79,840.2,8.1
BRH_KSH_06,2023-06-01 13:00:00+00:00,0.0,0.0,0.394,0.356,14.2,77,840.6,8.5
BRH_KSH_06,2023-06-01 14:00:00+00:00,0.0,0.0,0.391,0.356,12.9,80,839.8,5.1
BRH_KSH_06,2023-06-01 15:00:00+00:00,0.0,0.0,0.389,0.356,12.0,85,839.2,5.1
BRH_KSH_06,2023-06-01 16:00:00+00:00,0.0,0.0,0.387,0.357,11.5,88,839.2,2.9
BRH_KSH_06,2023-06-01 17:00:00+00:00,0.0,0.0,0.386,0.357,10.8,91,839.2,6.1
BRH_KSH_06,2023-06-01 18:00:00+00:00,0.0,0.0,0.384,0.357,10.8,92,839.2,6.1
BRH_KSH_06,2023-06-01 19:00:00+00:00,0.0,0.0,0.383,0.358,10.8,87,838.8,2.7
BRH_KSH_06,2023-06-01 20:00:00+00:00,0.0,0.0,0.381,0.358,9.4,91,837.6,3.9
BRH_KSH_06,2023-06-01 21:00:00+00:00,0.0,0.0,0.38,0.358,8.9,92,836.9,3.8
BRH_KSH_06,2023-06-01 22:00:00+00:00,0.0,0.0,0.379,0.358,8.1,91,836.5,3.3
BRH_KSH_06,2023-06-01 23:00:00+00:00,0.0,0.0,0.378,0.358,7.8,91,836.6,3.3
BRH_KSH_06,2023-06-02 00:00:00+00:00,0.0,0.0,0.377,0.358,8.2,88,836.5,2.1
BRH_KSH_06,2023-06-02 01:00:00+00:00,0.0,0.0,0.376,0.358,9.9,83,837.8,1.5
