station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
BRM_CHN_03,2023-06-01 00:00:00+00:00,0.4,0.4,0.514,0.511,12.9,80,824.6,3.6
BRM_CHN_03,2023-06-01 01:00:00+00:00,0.3,0.3,0.512,0.51,12.8,88,825.2,2.4
BRM_CHN_03,2023-06-01 02:00:00+00:00,0.2,0.2,0.51,0.509,13.0,87,825.8,3.1
BRM_CHN_03,2023-06-01 03:00:00+00:00,0.1,0.1,0.508,0.508,13.5,83,826.8,5.9
BRM_CHN_03,2023-06-01 04:00:00+00:00,0.2,0.2,0.507,0.507,14.2,82,827.5,7.3
BRM_CHN_03,2023-06-01 05:00:00+00:00,0.5,0.5,0.507,0.506,13.5,87,827.6,5.9
BRM_CHN_03,2023-06-01 06:00:00+00:00,0.9,0.9,0.512,0.506,13.9,86,827.5,4.0
BRM_CHN_03,2023-06-01 07:00:00+00:00,1.2,1.2,0.517,0.506,15.0,79,827.7,7.5
BRM_CHN_03,2023-06-01 08:00:00+00:00,1.4,1.4,0.517,0.509,13.8,84,827.2,2.0
BRM_CHN_03,2023-06-01 09:00:00+00:00,0.0,0.0,0.511,0.509,15.6,72,827.2,4.5
BRM_CHN_03,2023-06-01 10:00:00+00:00,0.0,0.0,0.507,0.508,17.2,64,827.2,6.9
BRM_CHN_03,2023-06-01 11:00:00+00:00,0.0,0.0,0.504,0.507,16.0,68,826.9,7.1
BRM_CHN_03,2023-06-01 12:00:00+00:00,0.1,0.1,0.495,0.513,14.7,74,826.4,3.6
BRM_CHN_03,2023-06-01 13:00:00+00:00,0.0,0.0,0.495,0.51,14.9,72,826.7,3.6
BRM_CHN_03,2023-06-01 14:00:00+00:00,0.0,0.0,0.494,0.509,14.2,73,826.7,4.8
BRM_CHN_03,2023-06-01 15:00:00+00:00,0.0,0.0,0.494,0.507,12.8,79,826.7,5.4
BRM_CHN_03,2023-06-01 16:00:00+00:00,0.3,0.3,0.495,0.506,11.5,90,826.6,4.0
BRM_CHN_03,2023-06-01 17:00:00+00:00,0.1,0.1,0.495,0.505,11.8,88,825.4,4.7
BRM_CHN_03,2023-06-01 18:00:00+00:00,0.1,0.1,0.494,0.504,10.7,88,824.1,7.1
BRM_CHN_03,2023-06-01 19:00:00+00:00,0.0,0.0,0.494,0.503,10.2,87,823.6,6.6
BRM_CHN_03,2023-06-01 20:00:00+00:00,0.0,0.0,0.493,0.502,10.1,87,823.0,6.0
BRM_CHN_03,2023-06-01 21:00:00+00:00,0.0,0.0,0.492,0.502,9.9,87,822.6,6.5
BRM_CHN_03,2023-06-01 22:00:00+00:00,0.0,0.0,0.492,0.501,9.6,89,822.2,8.0
BRM_CHN_03,2023-06-01 23:00:00+00:00,0.0,0.0,0.491,0.5,8.8,91,822.1,8.7
BRM_CHN_03,2023-06-02 00:00:00+00:00,0.0,0.0,0.489,0.499,9.6,92,822.6,7.3
BRM_CHN_03,2023-06-02 01:00:00+00:00,0.0,0.0,0.489,0.499,10.6,90,823.7,9.5
BRM_CHN_03,2023-06-02 02:00:00+00:00,0.0,0.0,0.489,0.498,13.4,87,825.8,6.8
BRM_CHN_03,2023-06-02 03:00:00+00:00,0.0,0.0,0.488,0.497,15.7,72,827.0,2.3
BRM_CHN_03,2023-06-02 04:00:00+00:00,0.0,0.0,0.487,0.496,17.0,66,827.7,2.2
BRM_CHN_03,2023-06-02 05:00:00+00:00,0.1,0.1,0.485,0.495,17.8,64,828.0,1.9
BRM_CHN_03,2023-06-02 06:00:00+00:00,0.1,0.1,0.483,0.494,18.6,63,828.0,1.8
BRM_CHN_03,2023-06-02 07:00:00+00:00,0.2,0.2,0.482,0.493,19.3,66,828.0,2.5
BRM_CHN_03,2023-06-02 08:00:00+00:00,0.9,0.9,0.486,0.492,18.3,72,827.7,3.5
BRM_CHN_03,2023-06-02 09:00:00+00:00,3.7,3.7,0.512,0.495,16.0,77,827.1,4.3
BRM_CHN_03,2023-06-02 10:00:00+00:00,0.5,0.5,0.51,0.496,16.4,72,827.0,5.4
BRM_CHN_03,2023-06-02 11:00:00+00:00,0.6,0.6,0.509,0.497,15.7,79,827.1,1.9
BRM_CHN_03,2023-06-02 12:00:00+00:00,0.1,0.1,0.493,0.494,16.1,74,826.4,4.3
BRM_CHN_03,2023-06-02 13:00:00+00:00,0.0,0.0,0.492,0.494,15.9,78,826.4,2.6
BRM_CHN_03,2023-06-02 14:00:00+00:00,0.0,0.0,0.491,0.494,15.1,83,826.4,2.9
BRM_CHN_03,2023-06-02 15:00:00+00:00,0.0,0.0,0.491,0.493,14.6,83,825.9,3.0
BRM_CHN_03,2023-06-02 16:00:00+00:00,0.0,0.0,0.49,0.493,12.6,85,825.1,4.7
BRM_CHN_03,2023-06-02 17:00:00+00:00,0.0,0.0,0.489,0.493,10.6,88,824.1,7.6
BRM_CHN_03,2023-06-02 18:00:00+00:00,0.0,0.0,0.489,0.492,9.7,89,823.4,6.6
BRM_CHN_03,2023-06-02 19:00:00+00:00,0.0,0.0,0.488,0.492,9.7,88,823.1,4.6
BRM_CHN_03,2023-06-02 20:00:00+00:00,0.0,0.0,0.488,0.492,9.3,89,822.5,4.2
BRM_CHN_03,2023-06-02 21:00:00+00:00,0.0,0.0,0.487,0.492,8.9,91,821.9,3.8
BRM_CHN_03,2023-06-02 22:00:00+00:00,0.0,0.0,0.487,0.491,8.4,92,821.6,2.6
BRM_CHN_03,2023-06-02 23:00:00+00:00,0.0,0.0,0.486,0.491,7.5,96,821.1,3.7
BRM_CHN_03,2023-06-03 00:00:00+00:00,0.0,0.0,0.485,0.493,6.9,99,821.6,8.3
BRM_CHN_03,2023-06-03 01:00:00+00:00,0.0,0.0,0.485,0.493,9.1,95,823.4,7.6
BRM_CHN_03,2023-06-03 02:00:00+00:00,0.0,0.0,0.485,0.492,14.2,80,826.7,5.4
BRM_CHN_03,2023-06-03 03:00:00+00:00,0.0,0.0,0.484,0.492,17.4,63,828.7,0.7
