station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
JMU_TWI_04,2023-06-01 00:00:00+00:00,3.3,3.3,0.28,0.115,19.2,91,971.6,3.6
JMU_TWI_04,2023-06-01 01:00:00+00:00,0.0,0.0,0.27,0.119,20.3,87,972.9,1.5
JMU_TWI_04,2023-06-01 02:00:00+00:00,0.0,0.0,0.263,0.121,21.1,80,973.5,4.7
JMU_TWI_04,2023-06-01 03:00:00+00:00,0.8,0.8,0.265,0.124,21.2,77,974.2,14.7
JMU_TWI_04,2023-06-01 04:00:00+00:00,0.7,0.7,0.265,0.126,20.7,80,974.3,11.5
JMU_TWI_04,2023-06-01 05:00:00+00:00,0.9,0.9,0.268,0.128,21.0,87,974.2,8.4
JMU_TWI_04,2023-06-01 06:00:00+00:00,0.5,0.5,0.265,0.131,21.2,84,974.0,11.6
JMU_TWI_04,2023-06-01 07:00:00+00:00,0.4,0.4,0.262,0.133,24.7,62,974.0,10.6
JMU_TWI_04,2023-06-01 08:00:00+00:00,0.0,0.0,0.255,0.135,26.6,53,972.8,10.7
JMU_TWI_04,2023-06-01 09:00:00+00:00,0.0,0.0,0.248,0.136,28.0,49,972.4,8.2
JMU_TWI_04,2023-06-01 10:00:00+00:00,1.1,1.1,0.254,0.137,24.3,63,973.2,15.9
JMU_TWI_04,2023-06-01 11:00:00+00:00,0.6,0.6,0.255,0.138,21.8,87,972.4,7.9
JMU_TWI_04,2023-06-01 12:00:00+00:00,1.0,1.0,0.264,0.161,22.9,77,972.4,6.2
JMU_TWI_04,2023-06-01 13:00:00+00:00,0.9,0.9,0.268,0.163,21.1,86,973.4,13.3
JMU_TWI_04,2023-06-01 14:00:00+00:00,5.8,5.8,0.33,0.169,19.3,95,973.6,13.2
JMU_TWI_04,2023-06-01 15:00:00+00:00,0.2,0.2,0.305,0.178,20.0,91,973.8,4.0
JMU_TWI_04,2023-06-01 16:00:00+00:00,0.0,0.0,0.291,0.183,19.6,90,973.2,7.3
JMU_TWI_04,2023-06-01 17:00:00+00:00,0.0,0.0,0.282,0.186,20.6,79,972.4,6.7
JMU_TWI_04,2023-06-01 18:00:00+00:00,0.0,0.0,0.275,0.188,21.1,75,972.0,3.4
JMU_TWI_04,2023-06-01 19:00:00+00:00,0.0,0.0,0.269,0.19,19.1,85,971.5,5.6
JMU_TWI_04,2023-06-01 20:00:00+00:00,0.0,0.0,0.265,0.191,17.8,90,970.5,6.9
JMU_TWI_04,2023-06-01 21:00:00+00:00,0.0,0.0,0.261,0.193,17.3,90,970.2,6.2
JMU_TWI_04,2023-06-01 22:00:00+00:00,0.0,0.0,0.258,0.194,18.2,82,970.0,5.4
JMU_TWI_04,2023-06-01 23:00:00+00:00,0.0,0.0,0.255,0.194,19.3,74,970.4,6.1
JMU_TWI_04,2023-06-02 00:00:00+00:00,0.0,0.0,0.231,0.172,18.1,82,970.7,6.6
JMU_TWI_04,2023-06-02 01:00:00+00:00,0.0,0.0,0.23,0.172,20.0,74,971.9,9.4
JMU_TWI_04,2023-06-02 02:00:00+00:00,0.0,0.0,0.228,0.172,21.5,72,972.8,9.4
JMU_TWI_04,2023-06-02 03:00:00+00:00,0.0,0.0,0.226,0.172,23.2,68,973.2,7.7
JMU_TWI_04,2023-06-02 04:00:00+00:00,0.0,0.0,0.223,0.172,24.7,63,973.6,5.6
JMU_TWI_04,2023-06-02 05:00:00+00:00,0.0,0.0,0.22,0.172,26.1,59,973.6,6.1
JMU_TWI_04,2023-06-02 06:00:00+00:00,0.0,0.0,0.217,0.171,27.5,53,973.2,9.0
