station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
PHL_CHN_05,2023-06-01 00:00:00+00:00,3.1,3.1,0.503,0.515,14.0,82,878.6,5.5
PHL_CHN_05,2023-06-01 01:00:00+00:00,0.6,0.6,0.509,0.512,14.1,85,879.1,3.0
PHL_CHN_05,2023-06-01 02:00:00+00:00,0.1,0.1,0.507,0.509,14.6,81,879.7,3.3
PHL_CHN_05,2023-06-01 03:00:00+00:00,0.0,0.0,0.505,0.507,15.6,81,880.3,5.7
PHL_CHN_05,2023-06-01 04:00:00+00:00,0.0,0.0,0.503,0.505,16.5,75,881.0,6.2
PHL_CHN_05,2023-06-01 05:00:00+00:00,0.2,0.2,0.502,0.504,17.5,72,881.6,7.2
PHL_CHN_05,2023-06-01 06:00:00+00:00,0.2,0.2,0.502,0.502,18.2,70,881.4,8.3
PHL_CHN_05,2023-06-01 07:00:00+00:00,0.5,0.5,0.503,0.501,18.3,70,881.5,6.6
PHL_CHN_05,2023-06-01 08:00:00+00:00,1.0,1.0,0.511,0.5,17.8,76,881.2,5.8
PHL_CHN_05,2023-06-01 09:00:00+00:00,0.6,0.6,0.512,0.501,17.9,76,880.8,6.4
PHL_CHN_05,2023-06-01 10:00:00+00:00,0.0,0.0,0.507,0.501,20.1,63,880.5,6.4
PHL_CHN_05,2023-06-01 11:00:00+00:00,0.0,0.0,0.503,0.5,20.9,56,880.2,5.8
PHL_CHN_05,2023-06-01 12:00:00+00:00,0.0,0.0,0.495,0.502,19.7,63,880.1,6.3
PHL_CHN_05,2023-06-01 13:00:00+00:00,0.0,0.0,0.494,0.501,18.9,71,880.1,4.0
PHL_CHN_05,2023-06-01 14:00:00+00:00,0.0,0.0,0.493,0.499,18.8,62,880.4,4.7
PHL_CHN_05,2023-06-01 15:00:00+00:00,0.0,0.0,0.492,0.498,15.3,78,879.5,8.0
