station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
SRN_JHL_01,2023-06-01 00:00:00+00:00,0.4,0.4,0.432,0.432,11.0,97,838.6,6.2
SRN_JHL_01,2023-06-01 01:00:00+00:00,0.2,0.2,0.429,0.431,11.1,98,839.0,5.3
SRN_JHL_01,2023-06-01 02:00:00+00:00,0.2,0.2,0.427,0.429,11.3,99,839.7,6.4
SRN_JHL_01,2023-06-01 03:00:00+00:00,0.4,0.4,0.428,0.428,11.5,96,840.3,5.2
SRN_JHL_01,2023-06-01 04:00:00+00:00,0.1,0.1,0.425,0.427,12.7,90,841.2,5.5
SRN_JHL_01,2023-06-01 05:00:00+00:00,0.1,0.1,0.423,0.426,13.6,86,841.6,8.0
SRN_JHL_01,2023-06-01 06:00:00+00:00,0.4,0.4,0.423,0.425,14.2,83,841.9,10.0
SRN_JHL_01,2023-06-01 07:00:00+00:00,0.6,0.6,0.424,0.424,13.6,88,841.8,9.1
SRN_JHL_01,2023-06-01 08:00:00+00:00,0.5,0.5,0.425,0.423,14.1,86,841.6,11.9
SRN_JHL_01,2023-06-01 09:00:00+00:00,0.8,0.8,0.427,0.423,14.5,85,841.5,10.5
SRN_JHL_01,2023-06-01 10:00:00+00:00,0.5,0.5,0.427,0.423,14.4,86,841.3,7.2
SRN_JHL_01,2023-06-01 11:00:00+00:00,0.1,0.1,0.424,0.422,13.9,85,840.6,10.5
SRN_JHL_01,2023-06-01 12:00:00+00:00,0.0,0.0,0.423,0.426,14.5,77,841.0,10.0
SRN_JHL_01,2023-06-01 13:00:00+00:00,0.3,0.3,0.422,0.425,13.8,80,841.3,5.2
SRN_JHL_01,2023-06-01 14:00:00+00:00,0.4,0.4,0.422,0.424,12.3,88,840.8,5.2
SRN_JHL_01,2023-06-01 15:00:00+00:00,0.0,0.0,0.42,0.423,12.4,88,841.0,0.5
SRN_JHL_01,2023-06-01 16:00:00+00:00,0.0,0.0,0.418,0.423,11.7,91,841.0,5.2
SRN_JHL_01,2023-06-01 17:00:00+00:00,0.5,0.5,0.423,0.422,9.9,96,840.2,5.9
SRN_JHL_01,2023-06-01 18:00:00+00:00,0.0,0.0,0.42,0.421,11.5,91,840.7,3.3
SRN_JHL_01,2023-06-01 19:00:00+00:00,0.0,0.0,0.418,0.421,9.5,96,839.2,5.1
SRN_JHL_01,2023-06-01 20:00:00+00:00,0.0,0.0,0.416,0.42,9.1,96,838.6,4.1
SRN_JHL_01,2023-06-01 21:00:00+00:00,0.0,0.0,0.414,0.419,8.7,96,838.1,3.7
SRN_JHL_01,2023-06-01 22:00:00+00:00,0.0,0.0,0.413,0.419,7.7,97,837.7,7.0
SRN_JHL_01,2023-06-01 23:00:00+00:00,0.0,0.0,0.411,0.418,7.6,97,838.1,6.4
SRN_JHL_01,2023-06-02 00:00:00+00:00,0.0,0.0,0.405,0.416,9.0,97,838.3,5.1
SRN_JHL_01,2023-06-02 01:00:00+00:00,0.0,0.0,0.405,0.416,9.9,96,839.2,5.8
SRN_JHL_01,2023-06-02 02:00:00+00:00,0.0,0.0,0.404,0.415,11.3,95,840.0,5.6
SRN_JHL_01,2023-06-02 03:00:00+00:00,0.0,0.0,0.403,0.414,12.9,89,841.0,6.5
SRN_JHL_01,2023-06-02 04:00:00+00:00,0.0,0.0,0.402,0.413,15.0,78,841.9,5.8
SRN_JHL_01,2023-06-02 05:00:00+00:00,0.0,0.0,0.4,0.412,16.8,70,842.3,5.4
SRN_JHL_01,2023-06-02 06:00:00+00:00,0.0,0.0,0.397,0.411,18.3,66,842.3,5.8
SRN_JHL_01,2023-06-02 07:00:00+00:00,0.0,0.0,0.395,0.409,19.1,62,841.9,5.4
SRN_JHL_01,2023-06-02 08:00:00+00:00,0.0,0.0,0.392,0.408,20.4,56,841.5,2.5
SRN_JHL_01,2023-06-02 09:00:00+00:00,0.0,0.0,0.39,0.407,20.7,55,840.9,9.8
SRN_JHL_01,2023-06-02 10:00:00+00:00,0.0,0.0,0.388,0.405,20.9,55,840.6,6.5
SRN_JHL_01,2023-06-02 11:00:00+00:00,0.3,0.3,0.39,0.404,19.3,61,840.8,7.3
SRN_JHL_01,2023-06-02 12:00:00+00:00,0.4,0.4,0.401,0.404,19.6,57,840.4,6.5
SRN_JHL_01,2023-06-02 13:00:00+00:00,0.2,0.2,0.402,0.404,17.7,73,840.1,6.4
SRN_JHL_01,2023-06-02 14:00:00+00:00,0.0,0.0,0.401,0.403,14.7,84,839.1,6.1
SRN_JHL_01,2023-06-02 15:00:00+00:00,0.0,0.0,0.4,0.403,13.0,87,838.6,8.2
SRN_JHL_01,2023-06-02 16:00:00+00:00,0.2,0.2,0.401,0.403,15.0,78,840.4,3.4
SRN_JHL_01,2023-06-02 17:00:00+00:00,0.0,0.0,0.4,0.403,14.9,78,840.7,2.1
SRN_JHL_01,2023-06-02 18:00:00+00:00,0.0,0.0,0.399,0.403,11.1,92,838.7,5.7
SRN_JHL_01,2023-06-02 19:00:00+00:00,0.0,0.0,0.398,0.402,10.0,97,838.1,4.2
SRN_JHL_01,2023-06-02 20:00:00+00:00,0.0,0.0,0.398,0.402,8.9,100,837.5,3.5
SRN_JHL_01,2023-06-02 21:00:00+00:00,0.0,0.0,0.397,0.402,8.8,98,837.5,4.3
SRN_JHL_01,2023-06-02 22:00:00+00:00,0.0,0.0,0.396,0.402,8.6,97,837.5,3.1
SRN_JHL_01,2023-06-02 23:00:00+00:00,0.0,0.0,0.396,0.401,8.3,97,837.7,2.5
SRN_JHL_01,2023-06-03 00:00:00+00:00,0.0,0.0,0.395,0.401,8.9,92,839.2,4.4
SRN_JHL_01,2023-06-03 01:00:00+00:00,0.0,0.0,0.394,0.401,10.4,85,840.4,4.2
SRN_JHL_01,2023-06-03 02:00:00+00:00,0.0,0.0,0.394,0.401,11.9,89,841.7,1.8
SRN_JHL_01,2023-06-03 03:00:00+00:00,0.0,0.0,0.393,0.4,13.7,85,842.9,8.0
SRN_JHL_01,2023-06-03 04:00:00+00:00,0.0,0.0,0.392,0.4,15.5,78,843.5,9.4
SRN_JHL_01,2023-06-03 05:00:00+00:00,0.0,0.0,0.389,0.399,17.4,70,843.9,6.8
SRN_JHL_01,2023-06-03 06:00:00+00:00,0.0,0.0,0.387,0.398,19.1,63,844.0,7.6
SRN_JHL_01,2023-06-03 07:00:00+00:00,0.0,0.0,0.384,0.396,20.6,56,844.0,3.7
SRN_JHL_01,2023-06-03 08:00:00+00:00,0.0,0.0,0.381,0.395,21.9,52,843.8,4.9
SRN_JHL_01,2023-06-03 09:00:00+00:00,0.1,0.1,0.38,0.394,21.4,54,843.7,7.6
SRN_JHL_01,2023-06-03 10:00:00+00:00,0.0,0.0,0.378,0.393,21.6,54,843.4,5.2
SRN_JHL_01,2023-06-03 11:00:00+00:00,0.0,0.0,0.377,0.392,21.5,50,843.4,6.8
