station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
CHL_LEH_05,2023-06-01 00:00:00+00:00,1.1,0.2,0.431,0.43,4.8,75,685.6,2.9
CHL_LEH_05,2023-06-01 01:00:00+00:00,0.3,0.1,0.429,0.429,5.5,69,686.3,3.9
CHL_LEH_05,2023-06-01 02:00:00+00:00,0.4,0.1,0.429,0.429,5.0,72,686.5,4.4
CHL_LEH_05,2023-06-01 03:00:00+00:00,1.0,0.2,0.436,0.429,6.0,64,687.5,2.5
CHL_LEH_05,2023-06-01 04:00:00+00:00,1.1,0.1,0.439,0.431,6.0,64,687.3,3.9
CHL_LEH_05,2023-06-01 05:00:00+00:00,0.5,0.1,0.439,0.435,8.0,52,687.9,1.5
CHL_LEH_05,2023-06-01 06:00:00+00:00,0.0,0.0,0.439,0.439,10.2,36,688.3,1.9
CHL_LEH_05,2023-06-01 07:00:00+00:00,0.0,0.0,0.439,0.439,11.8,28,688.5,4.0
CHL_LEH_05,2023-06-01 08:00:00+00:00,0.0,0.0,0.439,0.439,12.7,27,688.1,4.3
CHL_LEH_05,2023-06-01 09:00:00+00:00,0.0,0.0,0.439,0.438,12.6,27,687.6,2.9
CHL_LEH_05,2023-06-01 10:00:00+00:00,0.0,0.0,0.439,0.438,9.4,50,684.9,7.8
CHL_LEH_05,2023-06-01 11:00:00+00:00,0.5,0.4,0.438,0.439,10.6,51,687.2,3.3
CHL_LEH_05,2023-06-01 12:00:00+00:00,1.5,1.0,0.438,0.438,9.3,51,686.8,3.9
CHL_LEH_05,2023-06-01 13:00:00+00:00,1.7,0.5,0.439,0.437,7.0,69,686.5,1.8
CHL_LEH_05,2023-06-01 14:00:00+00:00,1.8,0.6,0.439,0.437,6.2,75,686.6,2.2
CHL_LEH_05,2023-06-01 15:00:00+00:00,1.9,0.5,0.438,0.437,4.6,78,686.1,5.5
CHL_LEH_05,2023-06-01 16:00:00+00:00,0.3,0.2,0.436,0.436,5.8,67,687.4,3.7
CHL_LEH_05,2023-06-01 17:00:00+00:00,0.3,0.2,0.434,0.435,5.0,71,686.9,3.2
CHL_LEH_05,2023-06-01 18:00:00+00:00,1.0,0.2,0.432,0.434,4.8,69,686.7,3.1
CHL_LEH_05,2023-06-01 19:00:00+00:00,0.4,0.1,0.43,0.434,4.9,66,686.5,3.1
CHL_LEH_05,2023-06-01 20:00:00+00:00,0.4,0.1,0.429,0.433,4.7,66,686.0,3.3
CHL_LEH_05,2023-06-01 21:00:00+00:00,1.0,0.0,0.427,0.432,4.4,67,685.6,2.2
CHL_LEH_05,2023-06-01 22:00:00+00:00,0.4,0.0,0.426,0.432,3.5,72,684.8,2.4
CHL_LEH_05,2023-06-01 23:00:00+00:00,0.4,0.0,0.425,0.431,3.4,71,685.0,2.0
CHL_LEH_05,2023-06-02 00:00:00+00:00,0.1,0.0,0.425,0.431,3.7,73,685.2,3.8
CHL_LEH_05,2023-06-02 01:00:00+00:00,0.0,0.0,0.424,0.431,4.0,70,685.7,2.3
