station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
KHL_ZAN_03,2023-06-01 00:00:00+00:00,0.0,0.0,0.384,0.321,6.6,75,693.3,1.1
KHL_ZAN_03,2023-06-01 01:00:00+00:00,0.0,0.0,0.381,0.322,7.1,70,694.0,1.1
KHL_ZAN_03,2023-06-01 02:00:00+00:00,0.0,0.0,0.38,0.322,8.0,60,694.8,2.1
KHL_ZAN_03,2023-06-01 03:00:00+00:00,0.0,0.0,0.382,0.323,9.4,53,695.5,2.9
KHL_ZAN_03,2023-06-01 04:00:00+00:00,0.0,0.0,0.385,0.324,10.3,48,695.9,4.0
KHL_ZAN_03,2023-06-01 05:00:00+00:00,0.0,0.0,0.388,0.325,11.1,49,696.1,4.5
KHL_ZAN_03,2023-06-01 06:00:00+00:00,0.0,0.0,0.391,0.325,11.5,52,696.3,5.2
KHL_ZAN_03,2023-06-01 07:00:00+00:00,0.0,0.0,0.393,0.326,12.1,55,696.2,4.0
KHL_ZAN_03,2023-06-01 08:00:00+00:00,0.1,0.1,0.394,0.328,12.8,55,696.0,4.7
KHL_ZAN_03,2023-06-01 09:00:00+00:00,0.0,0.0,0.391,0.329,12.6,49,695.4,3.3
KHL_ZAN_03,2023-06-01 10:00:00+00:00,0.0,0.0,0.389,0.329,11.3,58,695.1,6.1
KHL_ZAN_03,2023-06-01 11:00:00+00:00,2.7,0.7,0.396,0.33,8.2,78,694.8,5.8
KHL_ZAN_03,2023-06-01 12:00:00+00:00,0.9,0.7,0.4,0.331,7.5,80,694.3,4.6
KHL_ZAN_03,2023-06-01 13:00:00+00:00,1.5,0.7,0.405,0.333,6.6,87,694.2,3.6
KHL_ZAN_03,2023-06-01 14:00:00+00:00,1.5,0.6,0.407,0.335,5.9,90,694.4,2.2
KHL_ZAN_03,2023-06-01 15:00:00+00:00,1.5,0.8,0.41,0.337,5.4,91,694.4,1.6
KHL_ZAN_03,2023-06-01 16:00:00+00:00,3.3,0.7,0.412,0.339,5.0,95,694.3,1.8
KHL_ZAN_03,2023-06-01 17:00:00+00:00,2.4,0.5,0.412,0.341,4.8,97,694.3,1.0
KHL_ZAN_03,2023-06-01 18:00:00+00:00,1.4,0.5,0.411,0.343,4.8,95,694.2,0.7
KHL_ZAN_03,2023-06-01 19:00:00+00:00,0.9,0.2,0.408,0.345,3.9,91,693.1,4.0
KHL_ZAN_03,2023-06-01 20:00:00+00:00,0.3,0.1,0.403,0.346,3.6,89,692.1,4.7
