station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
KRU_SHY_02,2023-06-01 00:00:00+00:00,0.1,0.0,0.118,0.121,-0.7,83,611.5,2.5
KRU_SHY_02,2023-06-01 01:00:00+00:00,0.1,0.0,0.118,0.121,-0.4,81,611.7,1.3
KRU_SHY_02,2023-06-01 02:00:00+00:00,0.0,0.0,0.117,0.121,-0.4,75,612.9,1.5
KRU_SHY_02,2023-06-01 03:00:00+00:00,0.1,0.0,0.117,0.121,0.4,62,613.7,2.3
KRU_SHY_02,2023-06-01 04:00:00+00:00,0.1,0.0,0.118,0.121,1.2,61,614.3,3.2
KRU_SHY_02,2023-06-01 05:00:00+00:00,0.0,0.0,0.121,0.121,3.0,53,615.2,6.0
KRU_SHY_02,2023-06-01 06:00:00+00:00,0.0,0.0,0.125,0.121,4.4,49,615.7,7.4
KRU_SHY_02,2023-06-01 07:00:00+00:00,0.0,0.0,0.128,0.121,5.1,48,616.0,8.5
KRU_SHY_02,2023-06-01 08:00:00+00:00,0.0,0.0,0.131,0.121,5.6,47,615.7,8.4
KRU_SHY_02,2023-06-01 09:00:00+00:00,0.0,0.0,0.131,0.121,5.5,44,615.1,8.9
KRU_SHY_02,2023-06-01 10:00:00+00:00,0.0,0.0,0.131,0.121,5.5,46,615.1,10.3
KRU_SHY_02,2023-06-01 11:00:00+00:00,0.0,0.0,0.131,0.121,4.0,59,614.3,7.6
KRU_SHY_02,2023-06-01 12:00:00+00:00,0.0,0.0,0.132,0.12,2.4,66,613.3,3.7
KRU_SHY_02,2023-06-01 13:00:00+00:00,0.2,0.0,0.132,0.12,1.6,71,613.2,7.2
KRU_SHY_02,2023-06-01 14:00:00+00:00,0.1,0.0,0.131,0.12,0.2,81,612.6,3.2
KRU_SHY_02,2023-06-01 15:00:00+00:00,0.1,0.0,0.131,0.12,-0.4,84,612.9,5.0
KRU_SHY_02,2023-06-01 16:00:00+00:00,0.1,0.0,0.131,0.12,-0.4,78,612.9,1.1
KRU_SHY_02,2023-06-01 17:00:00+00:00,0.0,0.0,0.131,0.12,-1.1,79,612.6,4.0
KRU_SHY_02,2023-06-01 18:00:00+00:00,0.0,0.0,0.13,0.12,-1.3,79,612.2,3.0
KRU_SHY_02,2023-06-01 19:00:00+00:00,0.0,0.0,0.13,0.12,-1.7,82,611.5,3.8
KRU_SHY_02,2023-06-01 20:00:00+00:00,0.0,0.0,0.13,0.12,-2.0,81,611.0,5.2
KRU_SHY_02,2023-06-01 21:00:00+00:00,0.0,0.0,0.13,0.12,-2.1,81,610.7,2.9
KRU_SHY_02,2023-06-01 22:00:00+00:00,0.0,0.0,0.13,0.12,-2.7,82,610.2,3.2
KRU_SHY_02,2023-06-01 23:00:00+00:00,0.0,0.0,0.13,0.12,-2.4,79,610.5,3.5
KRU_SHY_02,2023-06-02 00:00:00+00:00,0.0,0.0,0.123,0.118,-3.0,84,610.1,2.1
KRU_SHY_02,2023-06-02 01:00:00+00:00,0.0,0.0,0.123,0.118,-2.5,80,610.5,1.5
KRU_SHY_02,2023-06-02 02:00:00+00:00,0.0,0.0,0.123,0.118,-2.2,72,611.4,5.1
KRU_SHY_02,2023-06-02 03:00:00+00:00,0.0,0.0,0.122,0.118,-1.2,64,612.4,6.1
KRU_SHY_02,2023-06-02 04:00:00+00:00,0.0,0.0,0.122,0.118,-0.2,59,613.5,6.9
KRU_SHY_02,2023-06-02 05:00:00+00:00,0.0,0.0,0.122,0.118,0.7,59,614.1,7.9
KRU_SHY_02,2023-06-02 06:00:00+00:00,0.0,0.0,0.122,0.118,1.3,56,614.3,8.4
KRU_SHY_02,2023-06-02 07:00:00+00:00,0.0,0.0,0.123,0.118,2.3,56,614.8,9.3
KRU_SHY_02,2023-06-02 08:00:00+00:00,0.0,0.0,0.122,0.118,1.9,61,614.1,8.0
KRU_SHY_02,2023-06-02 09:00:00+00:00,0.3,0.0,0.122,0.118,1.8,65,614.1,7.1
KRU_SHY_02,2023-06-02 10:00:00+00:00,0.2,0.0,0.121,0.118,2.4,66,614.0,7.3
KRU_SHY_02,2023-06-02 11:00:00+00:00,0.1,0.0,0.121,0.118,2.5,61,613.8,8.7
KRU_SHY_02,2023-06-02 12:00:00+00:00,0.0,0.0,0.119,0.118,2.0,56,613.3,7.6
KRU_SHY_02,2023-06-02 13:00:00+00:00,0.0,0.0,0.118,0.118,1.5,54,613.1,6.6
KRU_SHY_02,2023-06-02 14:00:00+00:00,0.0,0.0,0.118,0.118,0.6,59,612.8,6.4
KRU_SHY_02,2023-06-02 15:00:00+00:00,0.0,0.0,0.118,0.118,0.1,62,612.7,5.2
KRU_SHY_02,2023-06-02 16:00:00+00:00,0.0,0.0,0.117,0.118,-0.5,68,612.8,4.6
KRU_SHY_02,2023-06-02 17:00:00+00:00,0.0,0.0,0.117,0.118,-1.0,74,612.6,5.6
KRU_SHY_02,2023-06-02 18:00:00+00:00,0.0,0.0,0.117,0.118,-1.5,78,612.2,5.6
KRU_SHY_02,2023-06-02 19:00:00+00:00,0.0,0.0,0.117,0.118,-2.0,82,611.6,4.8
KRU_SHY_02,2023-06-02 20:00:00+00:00,0.1,0.0,0.116,0.118,-2.3,84,611.1,5.2
KRU_SHY_02,2023-06-02 21:00:00+00:00,0.0,0.0,0.116,0.118,-2.9,89,610.3,4.2
