station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
LEH_IND_01,2023-06-01 00:00:00+00:00,0.1,0.0,0.286,0.277,3.8,81,676.9,3.2
LEH_IND_01,2023-06-01 01:00:00+00:00,0.1,0.0,0.286,0.277,4.9,69,677.8,4.3
LEH_IND_01,2023-06-01 02:00:00+00:00,0.1,0.0,0.285,0.277,5.4,63,679.1,3.4
LEH_IND_01,2023-06-01 03:00:00+00:00,0.1,0.0,0.287,0.277,5.7,56,679.4,3.3
LEH_IND_01,2023-06-01 04:00:00+00:00,0.1,0.0,0.29,0.277,6.4,56,679.7,3.8
LEH_IND_01,2023-06-01 05:00:00+00:00,0.0,0.0,0.295,0.277,8.0,49,680.1,2.1
LEH_IND_01,2023-06-01 06:00:00+00:00,0.0,0.0,0.301,0.277,9.7,45,680.4,1.5
LEH_IND_01,2023-06-01 07:00:00+00:00,0.0,0.0,0.305,0.277,11.1,43,680.6,2.6
LEH_IND_01,2023-06-01 08:00:00+00:00,0.0,0.0,0.309,0.277,11.8,41,680.2,2.6
LEH_IND_01,2023-06-01 09:00:00+00:00,0.0,0.0,0.309,0.277,11.5,39,679.5,1.8
LEH_IND_01,2023-06-01 10:00:00+00:00,0.0,0.0,0.31,0.277,11.2,48,679.5,9.5
LEH_IND_01,2023-06-01 11:00:00+00:00,0.0,0.0,0.309,0.277,10.4,49,679.3,6.3
LEH_IND_01,2023-06-01 12:00:00+00:00,0.0,0.0,0.313,0.277,8.8,51,678.6,3.7
LEH_IND_01,2023-06-01 13:00:00+00:00,0.1,0.1,0.313,0.278,7.0,60,678.4,3.2
LEH_IND_01,2023-06-01 14:00:00+00:00,0.1,0.1,0.313,0.278,5.6,67,678.3,1.9
LEH_IND_01,2023-06-01 15:00:00+00:00,0.5,0.1,0.313,0.278,4.9,75,678.7,3.7
LEH_IND_01,2023-06-01 16:00:00+00:00,0.1,0.0,0.312,0.278,5.2,69,678.9,4.6
LEH_IND_01,2023-06-01 17:00:00+00:00,0.0,0.0,0.311,0.278,4.7,69,678.7,3.1
LEH_IND_01,2023-06-01 18:00:00+00:00,0.0,0.0,0.311,0.278,4.3,69,678.4,1.3
LEH_IND_01,2023-06-01 19:00:00+00:00,0.1,0.0,0.31,0.278,4.3,69,678.1,2.5
LEH_IND_01,2023-06-01 20:00:00+00:00,0.1,0.0,0.31,0.278,4.0,74,677.5,3.1
LEH_IND_01,2023-06-01 21:00:00+00:00,0.1,0.0,0.309,0.278,3.6,75,677.1,1.5
LEH_IND_01,2023-06-01 22:00:00+00:00,0.0,0.0,0.309,0.278,3.1,73,676.7,1.5
LEH_IND_01,2023-06-01 23:00:00+00:00,0.0,0.0,0.308,0.279,2.9,80,676.7,2.8
LEH_IND_01,2023-06-02 00:00:00+00:00,0.0,0.0,0.309,0.277,2.5,77,676.2,4.0
LEH_IND_01,2023-06-02 01:00:00+00:00,0.0,0.0,0.308,0.277,3.6,64,677.4,2.2
LEH_IND_01,2023-06-02 02:00:00+00:00,0.0,0.0,0.307,0.277,3.7,66,677.9,1.8
LEH_IND_01,2023-06-02 03:00:00+00:00,0.0,0.0,0.307,0.278,4.3,65,678.6,1.8
LEH_IND_01,2023-06-02 04:00:00+00:00,0.0,0.0,0.307,0.278,5.5,61,679.5,1.8
