station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
NUB_NUB_04,2023-06-01 00:00:00+00:00,1.7,0.1,0.371,0.368,5.5,67,700.6,3.8
NUB_NUB_04,2023-06-01 01:00:00+00:00,0.4,0.0,0.371,0.368,6.1,65,701.3,3.9
NUB_NUB_04,2023-06-01 02:00:00+00:00,1.1,0.0,0.371,0.368,6.5,68,701.8,3.6
NUB_NUB_04,2023-06-01 03:00:00+00:00,3.4,0.2,0.371,0.368,6.6,74,702.2,4.0
NUB_NUB_04,2023-06-01 04:00:00+00:00,1.1,0.2,0.371,0.368,7.1,67,702.6,2.4
NUB_NUB_04,2023-06-01 05:00:00+00:00,1.5,0.3,0.371,0.368,7.7,63,702.7,1.8
NUB_NUB_04,2023-06-01 06:00:00+00:00,1.2,0.2,0.371,0.368,8.6,61,702.8,2.2
NUB_NUB_04,2023-06-01 07:00:00+00:00,0.2,0.2,0.371,0.368,9.9,50,703.0,1.6
NUB_NUB_04,2023-06-01 08:00:00+00:00,0.9,0.6,0.371,0.368,9.3,61,702.4,2.8
NUB_NUB_04,2023-06-01 09:00:00+00:00,0.9,0.5,0.371,0.368,9.2,65,702.1,2.2
NUB_NUB_04,2023-06-01 10:00:00+00:00,1.1,0.8,0.371,0.368,9.2,65,701.9,1.3
NUB_NUB_04,2023-06-01 11:00:00+00:00,1.7,1.0,0.371,0.368,8.9,68,701.8,1.8
NUB_NUB_04,2023-06-01 12:00:00+00:00,0.9,0.6,0.371,0.368,9.0,60,701.6,3.3
NUB_NUB_04,2023-06-01 13:00:00+00:00,1.8,0.7,0.371,0.368,7.7,73,701.5,1.1
NUB_NUB_04,2023-06-01 14:00:00+00:00,0.6,0.6,0.371,0.368,6.9,80,701.5,0.7
NUB_NUB_04,2023-06-01 15:00:00+00:00,1.5,0.6,0.371,0.368,6.3,86,701.6,1.8
NUB_NUB_04,2023-06-01 16:00:00+00:00,0.7,0.6,0.371,0.368,6.0,85,701.6,0.8
NUB_NUB_04,2023-06-01 17:00:00+00:00,0.9,0.6,0.371,0.368,5.8,83,701.6,2.6
NUB_NUB_04,2023-06-01 18:00:00+00:00,0.7,0.5,0.371,0.368,5.3,85,701.2,0.7
NUB_NUB_04,2023-06-01 19:00:00+00:00,1.0,0.2,0.371,0.368,5.2,84,700.9,2.2
NUB_NUB_04,2023-06-01 20:00:00+00:00,0.9,0.2,0.371,0.368,5.1,85,700.4,2.3
NUB_NUB_04,2023-06-01 21:00:00+00:00,1.2,0.2,0.371,0.368,4.7,87,700.1,2.6
NUB_NUB_04,2023-06-01 22:00:00+00:00,0.5,0.1,0.371,0.368,4.8,86,699.9,2.3
NUB_NUB_04,2023-06-01 23:00:00+00:00,0.9,0.2,0.371,0.368,4.9,80,699.9,1.8
NUB_NUB_04,2023-06-02 00:00:00+00:00,1.1,0.1,0.371,0.368,4.7,84,700.2,2.2
NUB_NUB_04,2023-06-02 01:00:00+00:00,2.1,0.1,0.371,0.368,4.7,87,700.4,1.1
NUB_NUB_04,2023-06-02 02:00:00+00:00,1.2,0.3,0.371,0.368,4.8,86,700.5,2.6
NUB_NUB_04,2023-06-02 03:00:00+00:00,0.2,0.1,0.371,0.368,5.3,81,701.2,1.5
NUB_NUB_04,2023-06-02 04:00:00+00:00,0.1,0.1,0.371,0.368,5.3,80,701.2,3.2
NUB_NUB_04,2023-06-02 05:00:00+00:00,0.1,0.1,0.371,0.368,5.6,76,701.6,3.1
NUB_NUB_04,2023-06-02 06:00:00+00:00,0.1,0.1,0.371,0.368,6.7,64,702.1,2.1
NUB_NUB_04,2023-06-02 07:00:00+00:00,0.4,0.0,0.371,0.368,6.7,66,702.0,2.4
NUB_NUB_04,2023-06-02 08:00:00+00:00,0.9,0.2,0.371,0.368,6.5,69,701.7,1.8
NUB_NUB_04,2023-06-02 09:00:00+00:00,2.1,0.4,0.371,0.368,5.7,78,701.4,1.9
NUB_NUB_04,2023-06-02 10:00:00+00:00,1.0,0.3,0.371,0.368,5.7,77,701.4,1.6
NUB_NUB_04,2023-06-02 11:00:00+00:00,2.4,0.3,0.371,0.368,6.0,75,701.4,1.6
NUB_NUB_04,2023-06-02 12:00:00+00:00,1.6,0.2,0.371,0.368,6.8,69,701.5,2.3
NUB_NUB_04,2023-06-02 13:00:00+00:00,0.7,0.2,0.371,0.368,6.7,72,701.5,4.0
NUB_NUB_04,2023-06-02 14:00:00+00:00,2.3,0.2,0.371,0.368,6.0,77,701.5,3.9
NUB_NUB_04,2023-06-02 15:00:00+00:00,0.7,0.1,0.371,0.368,5.9,75,701.8,3.4
NUB_NUB_04,2023-06-02 16:00:00+00:00,0.2,0.1,0.371,0.368,5.9,74,702.2,1.5
NUB_NUB_04,2023-06-02 17:00:00+00:00,0.5,0.1,0.371,0.368,5.8,72,702.3,3.4
NUB_NUB_04,2023-06-02 18:00:00+00:00,0.0,0.0,0.371,0.368,5.1,75,701.8,1.1
NUB_NUB_04,2023-06-02 19:00:00+00:00,0.0,0.0,0.371,0.368,5.0,76,701.4,1.8
NUB_NUB_04,2023-06-02 20:00:00+00:00,0.1,0.0,0.371,0.368,4.7,77,700.8,1.3
NUB_NUB_04,2023-06-02 21:00:00+00:00,0.4,0.0,0.371,0.368,4.3,79,700.1,1.9
NUB_NUB_04,2023-06-02 22:00:00+00:00,0.6,0.0,0.371,0.368,4.0,81,699.9,1.5
NUB_NUB_04,2023-06-02 23:00:00+00:00,1.3,0.0,0.371,0.368,3.5,86,699.8,1.0
NUB_NUB_04,2023-06-03 00:00:00+00:00,1.5,0.0,0.371,0.368,4.3,78,700.5,2.6
NUB_NUB_04,2023-06-03 01:00:00+00:00,0.9,0.0,0.371,0.368,4.4,76,701.0,2.3
NUB_NUB_04,2023-06-03 02:00:00+00:00,1.1,0.0,0.371,0.368,5.0,70,701.9,2.8
NUB_NUB_04,2023-06-03 03:00:00+00:00,2.2,0.0,0.371,0.368,4.9,77,702.3,1.1
NUB_NUB_04,2023-06-03 04:00:00+00:00,1.2,0.0,0.371,0.368,5.3,74,702.8,2.6
NUB_NUB_04,2023-06-03 05:00:00+00:00,1.7,0.1,0.371,0.368,5.7,69,703.3,2.4
NUB_NUB_04,2023-06-03 06:00:00+00:00,2.0,0.1,0.371,0.368,5.5,78,703.3,2.7
NUB_NUB_04,2023-06-03 07:00:00+00:00,2.1,0.1,0.371,0.368,5.5,81,703.4,3.4
NUB_NUB_04,2023-06-03 08:00:00+00:00,0.4,0.1,0.371,0.368,6.3,72,703.6,4.0
NUB_NUB_04,2023-06-03 09:00:00+00:00,1.8,0.1,0.371,0.368,7.2,60,704.6,2.1
NUB_NUB_04,2023-06-03 10:00:00+00:00,0.4,0.1,0.371,0.368,7.6,54,704.9,2.4
NUB_NUB_04,2023-06-03 11:00:00+00:00,0.0,0.0,0.371,0.368,8.1,45,705.2,0.8
NUB_NUB_04,2023-06-03 12:00:00+00:00,0.2,0.0,0.371,0.368,6.7,67,705.3,2.3
NUB_NUB_04,2023-06-03 13:00:00+00:00,0.0,0.0,0.371,0.368,7.0,65,705.8,1.0
NUB_NUB_04,2023-06-03 14:00:00+00:00,0.0,0.0,0.371,0.368,6.8,65,705.7,6.1
NUB_NUB_04,2023-06-03 15:00:00+00:00,0.0,0.0,0.371,0.368,6.6,64,705.8,3.3
NUB_NUB_04,2023-06-03 16:00:00+00:00,0.0,0.0,0.371,0.368,5.5,68,705.5,1.8
NUB_NUB_04,2023-06-03 17:00:00+00:00,0.0,0.0,0.371,0.368,3.6,75,703.9,2.3
NUB_NUB_04,2023-06-03 18:00:00+00:00,0.0,0.0,0.371,0.368,0.6,87,701.2,2.7
NUB_NUB_04,2023-06-03 19:00:00+00:00,0.0,0.0,0.371,0.368,-0.8,89,699.9,3.2
NUB_NUB_04,2023-06-03 20:00:00+00:00,0.0,0.0,0.371,0.368,-0.4,77,700.4,3.1
NUB_NUB_04,2023-06-03 21:00:00+00:00,0.0,0.0,0.371,0.368,0.5,67,701.1,2.6
NUB_NUB_04,2023-06-03 22:00:00+00:00,0.0,0.0,0.371,0.368,1.6,57,702.0,3.1
NUB_NUB_04,2023-06-03 23:00:00+00:00,0.0,0.0,0.371,0.368,2.2,49,702.3,3.5
NUB_NUB_04,2023-06-04 00:00:00+00:00,0.0,0.0,0.371,0.368,3.0,41,703.1,4.3
NUB_NUB_04,2023-06-04 01:00:00+00:00,0.0,0.0,0.371,0.368,3.3,39,703.6,4.2
NUB_NUB_04,2023-06-04 02:00:00+00:00,0.0,0.0,0.371,0.368,5.4,36,705.6,4.1
NUB_NUB_04,2023-06-04 03:00:00+00:00,0.0,0.0,0.371,0.368,6.3,47,706.3,5.5
NUB_NUB_04,2023-06-04 04:00:00+00:00,0.0,0.0,0.371,0.368,8.3,38,707.6,4.6
NUB_NUB_04,2023-06-04 05:00:00+00:00,0.0,0.0,0.371,0.368,9.4,31,708.2,4.6
NUB_NUB_04,2023-06-04 06:00:00+00:00,0.0,0.0,0.371,0.368,10.0,28,708.3,3.7
NUB_NUB_04,2023-06-04 07:00:00+00:00,0.0,0.0,0.371,0.368,10.5,26,708.1,4.6
NUB_NUB_04,2023-06-04 08:00:00+00:00,0.0,0.0,0.371,0.368,11.0,25,708.0,4.2
NUB_NUB_04,2023-06-04 09:00:00+00:00,0.0,0.0,0.371,0.368,11.4,24,707.9,3.4
NUB_NUB_04,2023-06-04 10:00:00+00:00,0.0,0.0,0.371,0.368,11.6,24,707.6,2.8
NUB_NUB_04,2023-06-04 11:00:00+00:00,0.0,0.0,0.371,0.368,11.8,24,707.5,0.7
NUB_NUB_04,2023-06-04 12:00:00+00:00,0.0,0.0,0.371,0.368,12.0,25,708.0,1.1
NUB_NUB_04,2023-06-04 13:00:00+00:00,0.0,0.0,0.371,0.368,11.9,24,708.1,1.1
NUB_NUB_04,2023-06-04 14:00:00+00:00,0.0,0.0,0.371,0.368,11.3,27,707.7,1.5
NUB_NUB_04,2023-06-04 15:00:00+00:00,0.0,0.0,0.371,0.368,9.9,31,707.0,2.9
NUB_NUB_04,2023-06-04 16:00:00+00:00,0.0,0.0,0.371,0.368,8.6,34,706.4,5.4
NUB_NUB_04,2023-06-04 17:00:00+00:00,0.0,0.0,0.371,0.368,7.2,37,705.5,5.8
NUB_NUB_04,2023-06-04 18:00:00+00:00,0.0,0.0,0.371,0.368,6.0,38,704.6,6.0
NUB_NUB_04,2023-06-04 19:00:00+00:00,0.0,0.0,0.371,0.368,5.1,39,703.8,5.9
NUB_NUB_04,2023-06-04 20:00:00+00:00,0.0,0.0,0.371,0.368,4.7,39,703.3,5.1
NUB_NUB_04,2023-06-04 21:00:00+00:00,0.0,0.0,0.371,0.368,4.7,37,703.3,4.7
NUB_NUB_04,2023-06-04 22:00:00+00:00,0.0,0.0,0.371,0.368,4.7,35,703.2,4.7
NUB_NUB_04,2023-06-04 23:00:00+00:00,0.0,0.0,0.371,0.368,4.7,33,703.2,4.3
NUB_NUB_04,2023-06-05 00:00:00+00:00,0.0,0.0,0.371,0.368,4.9,35,703.4,4.0
NUB_NUB_04,2023-06-05 01:00:00+00:00,0.0,0.0,0.371,0.368,5.2,33,704.1,5.1
NUB_NUB_04,2023-06-05 02:00:00+00:00,0.0,0.0,0.371,0.368,6.1,37,705.0,5.0
NUB_NUB_04,2023-06-05 03:00:00+00:00,0.0,0.0,0.371,0.368,7.8,32,706.1,4.1
NUB_NUB_04,2023-06-05 04:00:00+00:00,0.0,0.0,0.371,0.368,9.4,24,707.1,3.4
NUB_NUB_04,2023-06-05 05:00:00+00:00,0.0,0.0,0.371,0.368,10.2,20,707.4,4.3
NUB_NUB_04,2023-06-05 06:00:00+00:00,0.0,0.0,0.371,0.368,10.8,20,707.4,3.3
