station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
BIS_IRL_02,2023-06-01 00:00:00+00:00,0.0,0.0,0.145,0.148,25.1,80,922.4,2.9
BIS_IRL_02,2023-06-01 01:00:00+00:00,0.0,0.0,0.145,0.148,27.1,67,923.3,5.1
BIS_IRL_02,2023-06-01 02:00:00+00:00,0.0,0.0,0.144,0.148,28.5,59,923.9,8.0
BIS_IRL_02,2023-06-01 03:00:00+00:00,0.0,0.0,0.144,0.148,30.2,52,924.0,9.6
BIS_IRL_02,2023-06-01 04:00:00+00:00,0.0,0.0,0.144,0.148,30.9,48,923.7,13.1
BIS_IRL_02,2023-06-01 05:00:00+00:00,0.2,0.2,0.145,0.148,31.4,48,923.2,13.1
BIS_IRL_02,2023-06-01 06:00:00+00:00,0.2,0.2,0.147,0.148,32.5,45,922.3,12.3
BIS_IRL_02,2023-06-01 07:00:00+00:00,0.1,0.1,0.147,0.148,32.8,43,921.2,13.9
BIS_IRL_02,2023-06-01 08:00:00+00:00,0.0,0.0,0.146,0.148,32.5,44,920.3,15.1
BIS_IRL_02,2023-06-01 09:00:00+00:00,0.0,0.0,0.146,0.148,32.2,45,919.7,14.0
BIS_IRL_02,2023-06-01 10:00:00+00:00,0.0,0.0,0.145,0.148,31.2,49,919.2,14.7
BIS_IRL_02,2023-06-01 11:00:00+00:00,0.0,0.0,0.145,0.148,29.6,55,919.1,15.5
BIS_IRL_02,2023-06-01 12:00:00+00:00,0.0,0.0,0.144,0.149,27.8,64,919.6,13.0
BIS_IRL_02,2023-06-01 13:00:00+00:00,0.0,0.0,0.144,0.149,26.7,70,920.2,10.5
BIS_IRL_02,2023-06-01 14:00:00+00:00,0.0,0.0,0.144,0.149,26.1,73,920.8,5.1
BIS_IRL_02,2023-06-01 15:00:00+00:00,0.0,0.0,0.144,0.149,25.5,78,921.3,2.6
BIS_IRL_02,2023-06-01 16:00:00+00:00,0.0,0.0,0.144,0.149,25.0,81,921.5,3.2
BIS_IRL_02,2023-06-01 17:00:00+00:00,0.0,0.0,0.144,0.149,24.6,83,921.6,2.9
BIS_IRL_02,2023-06-01 18:00:00+00:00,0.0,0.0,0.144,0.149,24.8,81,921.3,4.7
BIS_IRL_02,2023-06-01 19:00:00+00:00,0.0,0.0,0.144,0.149,24.4,83,920.8,4.8
BIS_IRL_02,2023-06-01 20:00:00+00:00,0.0,0.0,0.144,0.149,23.7,85,920.0,3.0
BIS_IRL_02,2023-06-01 21:00:00+00:00,0.0,0.0,0.144,0.149,23.2,88,919.8,3.1
BIS_IRL_02,2023-06-01 22:00:00+00:00,0.0,0.0,0.144,0.149,23.1,88,920.1,2.5
BIS_IRL_02,2023-06-01 23:00:00+00:00,0.0,0.0,0.144,0.149,22.9,89,920.5,2.9
BIS_IRL_02,2023-06-02 00:00:00+00:00,0.0,0.0,0.138,0.146,24.7,81,921.5,4.7
BIS_IRL_02,2023-06-02 01:00:00+00:00,0.0,0.0,0.138,0.146,26.7,70,922.6,6.5
BIS_IRL_02,2023-06-02 02:00:00+00:00,0.0,0.0,0.138,0.146,28.1,60,923.6,13.4
BIS_IRL_02,2023-06-02 03:00:00+00:00,0.0,0.0,0.138,0.146,28.9,56,923.7,15.8
BIS_IRL_02,2023-06-02 04:00:00+00:00,0.0,0.0,0.138,0.146,29.1,56,924.0,17.5
BIS_IRL_02,2023-06-02 05:00:00+00:00,0.0,0.0,0.138,0.146,30.6,50,923.7,16.9
BIS_IRL_02,2023-06-02 06:00:00+00:00,0.0,0.0,0.138,0.146,31.0,50,923.1,17.8
BIS_IRL_02,2023-06-02 07:00:00+00:00,0.0,0.0,0.137,0.146,31.6,48,921.9,17.8
BIS_IRL_02,2023-06-02 08:00:00+00:00,0.0,0.0,0.137,0.146,31.6,45,921.2,17.9
BIS_IRL_02,2023-06-02 09:00:00+00:00,0.0,0.0,0.137,0.146,31.7,42,920.8,15.3
BIS_IRL_02,2023-06-02 10:00:00+00:00,0.0,0.0,0.137,0.146,31.2,42,920.2,14.4
BIS_IRL_02,2023-06-02 11:00:00+00:00,0.0,0.0,0.136,0.146,30.1,45,919.8,12.7
BIS_IRL_02,2023-06-02 12:00:00+00:00,0.0,0.0,0.143,0.148,28.1,56,920.6,8.6
BIS_IRL_02,2023-06-02 13:00:00+00:00,0.0,0.0,0.143,0.148,26.3,64,920.9,4.0
BIS_IRL_02,2023-06-02 14:00:00+00:00,0.0,0.0,0.143,0.148,25.2,71,921.5,4.5
BIS_IRL_02,2023-06-02 15:00:00+00:00,0.0,0.0,0.143,0.148,24.5,76,922.0,4.1
BIS_IRL_02,2023-06-02 16:00:00+00:00,0.0,0.0,0.143,0.148,23.9,80,922.2,3.3
BIS_IRL_02,2023-06-02 17:00:00+00:00,0.0,0.0,0.143,0.148,23.4,83,922.1,3.1
BIS_IRL_02,2023-06-02 18:00:00+00:00,0.1,0.1,0.143,0.148,23.3,84,921.9,4.2
BIS_IRL_02,2023-06-02 19:00:00+00:00,0.1,0.1,0.144,0.148,23.1,81,921.8,4.4
