station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
IMP_IMP_01,2023-06-01 00:00:00+00:00,0.0,0.0,0.261,0.259,23.6,80,921.3,1.5
IMP_IMP_01,2023-06-01 01:00:00+00:00,0.0,0.0,0.261,0.259,26.9,64,922.4,3.1
IMP_IMP_01,2023-06-01 02:00:00+00:00,0.0,0.0,0.26,0.259,28.9,55,923.1,6.4
IMP_IMP_01,2023-06-01 03:00:00+00:00,0.0,0.0,0.26,0.259,31.0,46,923.2,7.7
IMP_IMP_01,2023-06-01 04:00:00+00:00,0.0,0.0,0.259,0.259,32.8,37,922.8,9.6
IMP_IMP_01,2023-06-01 05:00:00+00:00,0.1,0.1,0.259,0.259,33.8,34,922.2,12.5
IMP_IMP_01,2023-06-01 06:00:00+00:00,0.2,0.2,0.26,0.259,33.1,39,921.5,16.3
IMP_IMP_01,2023-06-01 07:00:00+00:00,0.0,0.0,0.26,0.259,33.3,39,920.4,14.6
IMP_IMP_01,2023-06-01 08:00:00+00:00,0.0,0.0,0.26,0.259,33.3,40,919.5,13.9
IMP_IMP_01,2023-06-01 09:00:00+00:00,0.0,0.0,0.259,0.259,32.8,41,918.9,15.0
IMP_IMP_01,2023-06-01 10:00:00+00:00,0.0,0.0,0.259,0.259,32.1,45,918.1,16.2
IMP_IMP_01,2023-06-01 11:00:00+00:00,0.0,0.0,0.259,0.259,30.5,51,918.1,16.2
IMP_IMP_01,2023-06-01 12:00:00+00:00,0.0,0.0,0.257,0.26,28.7,58,918.7,15.5
IMP_IMP_01,2023-06-01 13:00:00+00:00,0.0,0.0,0.257,0.26,27.4,64,919.2,9.5
IMP_IMP_01,2023-06-01 14:00:00+00:00,0.0,0.0,0.257,0.26,26.7,67,919.8,6.9
IMP_IMP_01,2023-06-01 15:00:00+00:00,0.0,0.0,0.257,0.26,26.0,71,920.5,6.1
IMP_IMP_01,2023-06-01 16:00:00+00:00,0.0,0.0,0.256,0.26,25.2,77,920.7,4.6
IMP_IMP_01,2023-06-01 17:00:00+00:00,0.0,0.0,0.256,0.26,24.6,80,920.6,4.9
IMP_IMP_01,2023-06-01 18:00:00+00:00,0.0,0.0,0.257,0.26,24.0,84,920.1,5.2
IMP_IMP_01,2023-06-01 19:00:00+00:00,0.0,0.0,0.257,0.26,23.4,88,919.5,4.4
IMP_IMP_01,2023-06-01 20:00:00+00:00,0.0,0.0,0.257,0.26,23.1,89,918.9,2.9
IMP_IMP_01,2023-06-01 21:00:00+00:00,0.0,0.0,0.257,0.26,22.9,90,918.9,1.5
IMP_IMP_01,2023-06-01 22:00:00+00:00,0.0,0.0,0.257,0.26,22.7,91,919.2,1.8
IMP_IMP_01,2023-06-01 23:00:00+00:00,0.0,0.0,0.257,0.26,22.4,93,919.7,2.4
IMP_IMP_01,2023-06-02 00:00:00+00:00,0.0,0.0,0.25,0.257,24.4,85,920.5,3.6
IMP_IMP_01,2023-06-02 01:00:00+00:00,0.0,0.0,0.25,0.257,27.1,69,921.8,3.5
IMP_IMP_01,2023-06-02 02:00:00+00:00,0.0,0.0,0.25,0.257,29.3,54,922.6,9.9
IMP_IMP_01,2023-06-02 03:00:00+00:00,0.1,0.1,0.25,0.257,29.8,49,922.9,15.2
