station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
JRB_IRL_04,2023-06-01 00:00:00+00:00,0.0,0.0,0.31,0.327,27.3,82,1002.0,3.3
JRB_IRL_04,2023-06-01 01:00:00+00:00,0.0,0.0,0.31,0.326,28.2,80,1002.6,2.9
JRB_IRL_04,2023-06-01 02:00:00+00:00,0.0,0.0,0.309,0.326,29.7,74,1003.1,3.1
JRB_IRL_04,2023-06-01 03:00:00+00:00,0.0,0.0,0.308,0.325,30.9,70,1003.0,2.9
JRB_IRL_04,2023-06-01 04:00:00+00:00,0.0,0.0,0.307,0.324,31.6,69,1002.5,1.5
JRB_IRL_04,2023-06-01 05:00:00+00:00,0.0,0.0,0.305,0.323,32.9,66,1001.8,6.2
JRB_IRL_04,2023-06-01 06:00:00+00:00,0.1,0.1,0.304,0.322,33.5,65,1000.8,8.3
JRB_IRL_04,2023-06-01 07:00:00+00:00,0.5,0.5,0.306,0.322,32.6,68,999.7,12.4
JRB_IRL_04,2023-06-01 08:00:00+00:00,0.4,0.4,0.309,0.321,31.8,72,998.7,9.4
JRB_IRL_04,2023-06-01 09:00:00+00:00,0.0,0.0,0.308,0.32,32.7,68,997.9,5.8
JRB_IRL_04,2023-06-01 10:00:00+00:00,0.0,0.0,0.307,0.32,32.8,66,997.3,4.4
JRB_IRL_04,2023-06-01 11:00:00+00:00,0.0,0.0,0.306,0.319,32.2,69,997.3,5.5
JRB_IRL_04,2023-06-01 12:00:00+00:00,0.0,0.0,0.316,0.319,30.0,82,998.4,8.8
JRB_IRL_04,2023-06-01 13:00:00+00:00,0.0,0.0,0.315,0.319,28.6,86,998.9,8.5
JRB_IRL_04,2023-06-01 14:00:00+00:00,0.0,0.0,0.315,0.319,28.0,89,999.6,8.8
JRB_IRL_04,2023-06-01 15:00:00+00:00,0.0,0.0,0.315,0.319,27.6,90,1000.5,7.0
JRB_IRL_04,2023-06-01 16:00:00+00:00,0.0,0.0,0.315,0.319,27.3,91,1000.8,5.4
JRB_IRL_04,2023-06-01 17:00:00+00:00,0.0,0.0,0.315,0.319,27.0,92,1001.1,5.7
JRB_IRL_04,2023-06-01 18:00:00+00:00,0.0,0.0,0.315,0.319,26.7,93,1000.6,5.8
JRB_IRL_04,2023-06-01 19:00:00+00:00,0.0,0.0,0.315,0.319,26.3,93,1000.2,5.4
JRB_IRL_04,2023-06-01 20:00:00+00:00,0.0,0.0,0.315,0.319,26.0,93,999.7,5.4
JRB_IRL_04,2023-06-01 21:00:00+00:00,0.0,0.0,0.315,0.318,25.4,95,999.5,3.3
JRB_IRL_04,2023-06-01 22:00:00+00:00,1.4,1.4,0.325,0.318,24.5,96,1000.6,2.5
JRB_IRL_04,2023-06-01 23:00:00+00:00,0.8,0.8,0.334,0.318,24.4,100,1001.3,6.0
JRB_IRL_04,2023-06-02 00:00:00+00:00,3.2,3.2,0.351,0.32,25.6,97,1002.2,11.9
JRB_IRL_04,2023-06-02 01:00:00+00:00,0.3,0.3,0.352,0.32,25.9,97,1003.0,4.0
JRB_IRL_04,2023-06-02 02:00:00+00:00,0.1,0.1,0.352,0.32,27.1,91,1003.8,1.8
JRB_IRL_04,2023-06-02 03:00:00+00:00,0.2,0.2,0.352,0.32,28.8,81,1003.7,4.1
JRB_IRL_04,2023-06-02 04:00:00+00:00,0.1,0.1,0.351,0.32,30.3,74,1003.8,2.5
JRB_IRL_04,2023-06-02 05:00:00+00:00,0.0,0.0,0.349,0.32,31.3,70,1003.1,5.4
JRB_IRL_04,2023-06-02 06:00:00+00:00,0.0,0.0,0.346,0.319,32.0,69,1002.3,7.6
JRB_IRL_04,2023-06-02 07:00:00+00:00,0.0,0.0,0.344,0.318,32.4,67,1000.9,7.6
JRB_IRL_04,2023-06-02 08:00:00+00:00,0.0,0.0,0.342,0.318,32.1,66,999.9,6.0
JRB_IRL_04,2023-06-02 09:00:00+00:00,0.0,0.0,0.339,0.317,32.4,65,999.0,4.7
JRB_IRL_04,2023-06-02 10:00:00+00:00,0.0,0.0,0.337,0.317,32.4,65,998.4,4.3
JRB_IRL_04,2023-06-02 11:00:00+00:00,0.0,0.0,0.336,0.316,31.8,70,997.8,3.3
JRB_IRL_04,2023-06-02 12:00:00+00:00,0.0,0.0,0.355,0.321,31.0,78,998.8,1.6
JRB_IRL_04,2023-06-02 13:00:00+00:00,0.0,0.0,0.354,0.321,28.7,85,999.6,3.1
JRB_IRL_04,2023-06-02 14:00:00+00:00,0.0,0.0,0.353,0.321,28.0,86,1000.7,2.6
JRB_IRL_04,2023-06-02 15:00:00+00:00,0.0,0.0,0.352,0.321,27.8,86,1001.3,6.6
JRB_IRL_04,2023-06-02 16:00:00+00:00,0.1,0.1,0.352,0.321,27.2,88,1002.0,0.4
JRB_IRL_04,2023-06-02 17:00:00+00:00,0.1,0.1,0.352,0.322,26.7,88,1002.3,8.0
JRB_IRL_04,2023-06-02 18:00:00+00:00,0.0,0.0,0.351,0.322,26.4,87,1001.8,9.7
JRB_IRL_04,2023-06-02 19:00:00+00:00,0.0,0.0,0.35,0.322,26.1,86,1001.3,7.6
JRB_IRL_04,2023-06-02 20:00:00+00:00,0.0,0.0,0.349,0.322,25.7,87,1001.0,7.6
JRB_IRL_04,2023-06-02 21:00:00+00:00,0.0,0.0,0.349,0.322,24.9,91,1001.0,3.2
JRB_IRL_04,2023-06-02 22:00:00+00:00,0.3,0.3,0.35,0.322,24.6,92,1001.0,5.1
JRB_IRL_04,2023-06-02 23:00:00+00:00,0.0,0.0,0.349,0.323,24.2,95,1001.7,4.7
JRB_IRL_04,2023-06-03 00:00:00+00:00,0.1,0.1,0.351,0.322,24.2,99,1003.1,2.3
JRB_IRL_04,2023-06-03 01:00:00+00:00,0.0,0.0,0.35,0.322,25.4,93,1003.8,5.4
JRB_IRL_04,2023-06-03 02:00:00+00:00,0.0,0.0,0.349,0.322,26.9,87,1004.8,6.5
JRB_IRL_04,2023-06-03 03:00:00+00:00,0.0,0.0,0.348,0.322,28.7,76,1005.1,2.4
JRB_IRL_04,2023-06-03 04:00:00+00:00,0.1,0.1,0.346,0.321,30.3,71,1005.1,4.3
JRB_IRL_04,2023-06-03 05:00:00+00:00,0.0,0.0,0.344,0.321,31.3,69,1004.4,4.0
JRB_IRL_04,2023-06-03 06:00:00+00:00,0.1,0.1,0.342,0.32,31.7,67,1003.3,4.5
JRB_IRL_04,2023-06-03 07:00:00+00:00,0.1,0.1,0.341,0.32,32.3,64,1002.3,6.9
JRB_IRL_04,2023-06-03 08:00:00+00:00,0.1,0.1,0.339,0.319,32.6,64,1001.1,7.8
JRB_IRL_04,2023-06-03 09:00:00+00:00,0.0,0.0,0.337,0.318,32.9,64,999.9,6.0
JRB_IRL_04,2023-06-03 10:00:00+00:00,0.0,0.0,0.335,0.318,32.6,66,999.2,4.5
JRB_IRL_04,2023-06-03 11:00:00+00:00,0.0,0.0,0.334,0.317,32.0,70,999.5,2.5
JRB_IRL_04,2023-06-03 12:00:00+00:00,0.0,0.0,0.33,0.316,29.5,91,999.9,3.3
JRB_IRL_04,2023-06-03 13:00:00+00:00,0.0,0.0,0.33,0.316,28.4,91,1000.2,5.6
JRB_IRL_04,2023-06-03 14:00:00+00:00,0.0,0.0,0.329,0.316,27.2,91,1001.0,6.0
JRB_IRL_04,2023-06-03 15:00:00+00:00,0.0,0.0,0.329,0.316,26.4,91,1001.8,5.0
JRB_IRL_04,2023-06-03 16:00:00+00:00,0.0,0.0,0.329,0.316,26.0,91,1002.9,4.0
JRB_IRL_04,2023-06-03 17:00:00+00:00,0.0,0.0,0.328,0.316,25.7,90,1002.9,5.1
JRB_IRL_04,2023-06-03 18:00:00+00:00,8.3,8.3,0.428,0.318,24.3,97,1003.5,8.9
JRB_IRL_04,2023-06-03 19:00:00+00:00,3.0,3.0,0.439,0.324,23.6,100,1003.4,2.4
JRB_IRL_04,2023-06-03 20:00:00+00:00,4.0,4.0,0.416,0.347,23.3,96,1002.9,5.4
JRB_IRL_04,2023-06-03 21:00:00+00:00,0.0,0.0,0.409,0.349,23.6,96,1003.0,7.2
JRB_IRL_04,2023-06-03 22:00:00+00:00,0.0,0.0,0.404,0.35,23.4,98,1003.0,3.1
JRB_IRL_04,2023-06-03 23:00:00+00:00,0.0,0.0,0.4,0.352,23.3,97,1003.5,3.0
JRB_IRL_04,2023-06-04 00:00:00+00:00,0.0,0.0,0.385,0.324,24.8,98,1003.3,2.9
JRB_IRL_04,2023-06-04 01:00:00+00:00,0.0,0.0,0.382,0.325,26.4,93,1004.2,1.0
JRB_IRL_04,2023-06-04 02:00:00+00:00,0.0,0.0,0.38,0.325,28.0,85,1004.5,1.9
JRB_IRL_04,2023-06-04 03:00:00+00:00,0.0,0.0,0.377,0.326,29.6,78,1005.0,1.8
