station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
TMN_IMP_05,2023-06-01 00:00:00+00:00,0.0,0.0,0.253,0.248,24.3,79,919.9,5.6
TMN_IMP_05,2023-06-01 01:00:00+00:00,0.0,0.0,0.253,0.248,26.4,69,920.7,9.4
TMN_IMP_05,2023-06-01 02:00:00+00:00,0.0,0.0,0.253,0.248,28.0,61,921.3,10.7
TMN_IMP_05,2023-06-01 03:00:00+00:00,0.0,0.0,0.252,0.248,29.9,50,921.5,12.0
TMN_IMP_05,2023-06-01 04:00:00+00:00,0.0,0.0,0.252,0.248,31.8,41,921.1,12.7
TMN_IMP_05,2023-06-01 05:00:00+00:00,0.0,0.0,0.252,0.248,32.5,40,920.6,14.4
TMN_IMP_05,2023-06-01 06:00:00+00:00,0.0,0.0,0.251,0.248,32.4,41,919.9,14.8
TMN_IMP_05,2023-06-01 07:00:00+00:00,0.0,0.0,0.251,0.248,33.2,40,918.7,14.5
TMN_IMP_05,2023-06-01 08:00:00+00:00,0.0,0.0,0.25,0.248,33.8,38,917.7,16.2
TMN_IMP_05,2023-06-01 09:00:00+00:00,0.0,0.0,0.25,0.248,32.9,41,917.2,17.1
TMN_IMP_05,2023-06-01 10:00:00+00:00,0.0,0.0,0.25,0.248,31.5,44,916.6,16.0
TMN_IMP_05,2023-06-01 11:00:00+00:00,0.0,0.0,0.25,0.248,29.9,51,916.6,15.6
TMN_IMP_05,2023-06-01 12:00:00+00:00,0.0,0.0,0.251,0.249,27.8,59,917.2,14.5
TMN_IMP_05,2023-06-01 13:00:00+00:00,0.0,0.0,0.251,0.249,26.8,66,917.8,9.7
TMN_IMP_05,2023-06-01 14:00:00+00:00,0.0,0.0,0.251,0.249,26.2,69,918.5,9.0
TMN_IMP_05,2023-06-01 15:00:00+00:00,0.0,0.0,0.251,0.249,25.6,72,919.0,6.5
TMN_IMP_05,2023-06-01 16:00:00+00:00,0.0,0.0,0.251,0.249,25.2,75,919.2,5.2
TMN_IMP_05,2023-06-01 17:00:00+00:00,0.0,0.0,0.251,0.249,24.8,77,919.1,5.1
TMN_IMP_05,2023-06-01 18:00:00+00:00,0.0,0.0,0.251,0.249,24.2,80,918.6,6.6
TMN_IMP_05,2023-06-01 19:00:00+00:00,0.0,0.0,0.251,0.249,23.7,84,918.0,6.5
TMN_IMP_05,2023-06-01 20:00:00+00:00,0.0,0.0,0.251,0.249,23.2,87,917.5,5.5
TMN_IMP_05,2023-06-01 21:00:00+00:00,0.0,0.0,0.251,0.249,22.8,89,917.3,2.6
TMN_IMP_05,2023-06-01 22:00:00+00:00,0.0,0.0,0.251,0.249,22.7,90,917.5,4.7
TMN_IMP_05,2023-06-01 23:00:00+00:00,0.0,0.0,0.251,0.249,22.2,93,917.8,5.5
TMN_IMP_05,2023-06-02 00:00:00+00:00,0.0,0.0,0.243,0.244,24.0,84,918.8,5.8
TMN_IMP_05,2023-06-02 01:00:00+00:00,0.0,0.0,0.243,0.244,26.2,72,920.0,9.9
TMN_IMP_05,2023-06-02 02:00:00+00:00,0.0,0.0,0.243,0.244,28.4,58,920.9,13.3
TMN_IMP_05,2023-06-02 03:00:00+00:00,0.0,0.0,0.243,0.244,29.7,50,921.2,18.3
TMN_IMP_05,2023-06-02 04:00:00+00:00,0.0,0.0,0.243,0.244,30.1,46,921.5,18.6
TMN_IMP_05,2023-06-02 05:00:00+00:00,0.1,0.1,0.244,0.244,30.8,45,921.2,17.8
TMN_IMP_05,2023-06-02 06:00:00+00:00,0.1,0.1,0.245,0.244,31.7,42,920.4,21.0
TMN_IMP_05,2023-06-02 07:00:00+00:00,0.2,0.2,0.246,0.244,31.7,43,919.5,18.7
TMN_IMP_05,2023-06-02 08:00:00+00:00,0.0,0.0,0.246,0.244,31.5,44,918.7,18.8
TMN_IMP_05,2023-06-02 09:00:00+00:00,0.0,0.0,0.246,0.244,31.9,39,918.3,17.6
TMN_IMP_05,2023-06-02 10:00:00+00:00,0.0,0.0,0.246,0.244,31.3,38,917.7,15.8
TMN_IMP_05,2023-06-02 11:00:00+00:00,0.0,0.0,0.246,0.244,30.5,39,917.3,14.8
TMN_IMP_05,2023-06-02 12:00:00+00:00,0.0,0.0,0.246,0.247,28.3,48,918.0,10.9
TMN_IMP_05,2023-06-02 13:00:00+00:00,0.0,0.0,0.246,0.247,26.6,56,918.6,6.5
TMN_IMP_05,2023-06-02 14:00:00+00:00,0.0,0.0,0.246,0.247,25.5,63,919.2,4.1
TMN_IMP_05,2023-06-02 15:00:00+00:00,0.0,0.0,0.246,0.247,25.3,64,919.8,2.5
TMN_IMP_05,2023-06-02 16:00:00+00:00,0.0,0.0,0.246,0.247,24.3,69,919.8,4.0
TMN_IMP_05,2023-06-02 17:00:00+00:00,0.0,0.0,0.246,0.247,23.9,71,919.8,3.6
TMN_IMP_05,2023-06-02 18:00:00+00:00,0.0,0.0,0.246,0.247,23.3,76,919.3,4.0
TMN_IMP_05,2023-06-02 19:00:00+00:00,0.0,0.0,0.246,0.247,22.6,82,919.2,9.9
TMN_IMP_05,2023-06-02 20:00:00+00:00,0.0,0.0,0.246,0.247,22.2,84,918.7,3.0
TMN_IMP_05,2023-06-02 21:00:00+00:00,0.0,0.0,0.246,0.247,21.9,87,918.4,2.5
TMN_IMP_05,2023-06-02 22:00:00+00:00,0.0,0.0,0.246,0.247,21.5,90,918.3,1.8
TMN_IMP_05,2023-06-02 23:00:00+00:00,0.0,0.0,0.246,0.247,21.2,92,918.6,1.1
TMN_IMP_05,2023-06-03 00:00:00+00:00,0.0,0.0,0.242,0.243,22.9,86,919.7,2.8
TMN_IMP_05,2023-06-03 01:00:00+00:00,0.0,0.0,0.242,0.243,25.0,75,920.7,2.9
TMN_IMP_05,2023-06-03 02:00:00+00:00,0.0,0.0,0.242,0.243,27.4,62,921.5,9.1
TMN_IMP_05,2023-06-03 03:00:00+00:00,0.1,0.1,0.243,0.243,28.8,55,922.2,13.4
TMN_IMP_05,2023-06-03 04:00:00+00:00,0.1,0.1,0.244,0.243,30.0,49,922.4,15.7
TMN_IMP_05,2023-06-03 05:00:00+00:00,0.1,0.1,0.245,0.243,30.4,48,922.3,17.3
TMN_IMP_05,2023-06-03 06:00:00+00:00,0.0,0.0,0.245,0.243,31.5,42,921.6,16.5
TMN_IMP_05,2023-06-03 07:00:00+00:00,0.0,0.0,0.244,0.243,32.4,39,920.6,17.9
TMN_IMP_05,2023-06-03 08:00:00+00:00,0.0,0.0,0.244,0.243,32.4,38,919.7,17.5
TMN_IMP_05,2023-06-03 09:00:00+00:00,0.0,0.0,0.244,0.243,32.7,36,918.8,17.0
TMN_IMP_05,2023-06-03 10:00:00+00:00,0.0,0.0,0.244,0.243,31.6,39,918.3,15.8
TMN_IMP_05,2023-06-03 11:00:00+00:00,0.0,0.0,0.244,0.243,30.1,45,918.5,15.5
TMN_IMP_05,2023-06-03 12:00:00+00:00,0.0,0.0,0.241,0.243,28.6,52,919.0,14.5
TMN_IMP_05,2023-06-03 13:00:00+00:00,0.0,0.0,0.241,0.243,27.0,61,919.3,11.2
TMN_IMP_05,2023-06-03 14:00:00+00:00,0.0,0.0,0.241,0.243,26.0,67,919.9,7.9
TMN_IMP_05,2023-06-03 15:00:00+00:00,0.0,0.0,0.241,0.243,25.3,72,920.4,4.2
TMN_IMP_05,2023-06-03 16:00:00+00:00,0.0,0.0,0.241,0.243,24.4,76,921.3,4.3
TMN_IMP_05,2023-06-03 17:00:00+00:00,0.0,0.0,0.241,0.243,23.9,78,921.2,3.1
TMN_IMP_05,2023-06-03 18:00:00+00:00,0.0,0.0,0.241,0.243,23.5,81,920.6,3.1
TMN_IMP_05,2023-06-03 19:00:00+00:00,0.0,0.0,0.241,0.243,23.0,83,919.8,4.4
TMN_IMP_05,2023-06-03 20:00:00+00:00,0.0,0.0,0.241,0.243,22.4,86,919.4,3.0
