station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,latitude,longitude,role
IMP_IMP_01,2023-06-01 00:00:00+00:00,0.0,0.0,0.261,0.259,23.6,80,921.3,1.5,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 01:00:00+00:00,0.0,0.0,0.261,0.259,26.9,64,922.4,3.1,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 02:00:00+00:00,0.0,0.0,0.26,0.259,28.9,55,923.1,6.4,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 03:00:00+00:00,0.0,0.0,0.26,0.259,31.0,46,923.2,7.7,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 04:00:00+00:00,0.0,0.0,0.259,0.259,32.8,37,922.8,9.6,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 05:00:00+00:00,0.1,0.1,0.259,0.259,33.8,34,922.2,12.5,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 06:00:00+00:00,0.2,0.2,0.26,0.259,33.1,39,921.5,16.3,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 07:00:00+00:00,0.0,0.0,0.26,0.259,33.3,39,920.4,14.6,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 08:00:00+00:00,0.0,0.0,0.26,0.259,33.3,40,919.5,13.9,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 09:00:00+00:00,0.0,0.0,0.259,0.259,32.8,41,918.9,15.0,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 10:00:00+00:00,0.0,0.0,0.259,0.259,32.1,45,918.1,16.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 11:00:00+00:00,0.0,0.0,0.259,0.259,30.5,51,918.1,16.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 12:00:00+00:00,0.0,0.0,0.257,0.26,28.7,58,918.7,15.5,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 13:00:00+00:00,0.0,0.0,0.257,0.26,27.4,64,919.2,9.5,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 14:00:00+00:00,0.0,0.0,0.257,0.26,26.7,67,919.8,6.9,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 15:00:00+00:00,0.0,0.0,0.257,0.26,26.0,71,920.5,6.1,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 16:00:00+00:00,0.0,0.0,0.256,0.26,25.2,77,920.7,4.6,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 17:00:00+00:00,0.0,0.0,0.256,0.26,24.6,80,920.6,4.9,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 18:00:00+00:00,0.0,0.0,0.257,0.26,24.0,84,920.1,5.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 19:00:00+00:00,0.0,0.0,0.257,0.26,23.4,88,919.5,4.4,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 20:00:00+00:00,0.0,0.0,0.257,0.26,23.1,89,918.9,2.9,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 21:00:00+00:00,0.0,0.0,0.257,0.26,22.9,90,918.9,1.5,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 22:00:00+00:00,0.0,0.0,0.257,0.26,22.7,91,919.2,1.8,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-01 23:00:00+00:00,0.0,0.0,0.257,0.26,22.4,93,919.7,2.4,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 00:00:00+00:00,0.0,0.0,0.25,0.257,24.4,85,920.5,3.6,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 01:00:00+00:00,0.0,0.0,0.25,0.257,27.1,69,921.8,3.5,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 02:00:00+00:00,0.0,0.0,0.25,0.257,29.3,54,922.6,9.9,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 03:00:00+00:00,0.1,0.1,0.25,0.257,29.8,49,922.9,15.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 04:00:00+00:00,0.1,0.1,0.251,0.257,30.3,48,923.2,17.0,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 05:00:00+00:00,0.0,0.0,0.251,0.257,31.2,46,922.8,16.3,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 06:00:00+00:00,0.0,0.0,0.251,0.257,31.8,44,922.1,18.4,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 07:00:00+00:00,0.0,0.0,0.251,0.257,32.2,41,921.2,18.7,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 08:00:00+00:00,0.0,0.0,0.25,0.257,32.2,42,920.5,16.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 09:00:00+00:00,0.0,0.0,0.25,0.257,32.0,41,919.9,16.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 10:00:00+00:00,0.0,0.0,0.25,0.257,31.0,42,919.3,16.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 11:00:00+00:00,0.0,0.0,0.25,0.257,29.9,44,919.0,14.1,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 12:00:00+00:00,0.0,0.0,0.253,0.259,28.8,49,919.7,10.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 13:00:00+00:00,0.0,0.0,0.253,0.259,27.0,59,920.1,8.4,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 14:00:00+00:00,0.0,0.0,0.253,0.259,26.0,65,920.9,6.1,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 15:00:00+00:00,0.0,0.0,0.253,0.259,25.0,70,921.3,4.3,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 16:00:00+00:00,0.0,0.0,0.253,0.259,24.3,75,921.5,4.3,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 17:00:00+00:00,0.0,0.0,0.253,0.259,23.7,77,921.5,3.7,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 18:00:00+00:00,0.0,0.0,0.253,0.259,23.4,79,921.0,4.0,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 19:00:00+00:00,0.3,0.3,0.255,0.259,22.6,82,920.9,7.9,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 20:00:00+00:00,0.0,0.0,0.255,0.259,22.2,87,920.3,4.0,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 21:00:00+00:00,0.0,0.0,0.255,0.259,21.6,91,920.1,1.1,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 22:00:00+00:00,0.0,0.0,0.255,0.259,21.4,92,920.0,3.1,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-02 23:00:00+00:00,0.0,0.0,0.255,0.259,21.0,93,920.4,1.9,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-03 00:00:00+00:00,0.0,0.0,0.248,0.256,23.9,80,921.7,0.8,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-03 01:00:00+00:00,0.0,0.0,0.248,0.256,26.2,70,922.6,1.9,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-03 02:00:00+00:00,0.0,0.0,0.248,0.256,28.5,60,923.3,8.2,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-03 03:00:00+00:00,0.0,0.0,0.248,0.256,29.7,52,923.9,12.6,786.0,6.0,50.0,1450.0,24.817,93.9368,train
IMP_IMP_01,2023-06-03 04:00:00+00:00,0.1,0.1,0.248,0.256,31.1,45,924.2,15.3,786.0,6.0,50.0,1450.0,24.817,93.9368,train
