station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
DWK_UMN_03,2023-05-01 00:00:00+00:00,0.0,0.0,0.344,0.386,21.9,97,999.6,3.8
DWK_UMN_03,2023-05-01 01:00:00+00:00,0.0,0.0,0.344,0.385,24.4,92,1000.5,1.1
DWK_UMN_03,2023-05-01 02:00:00+00:00,0.0,0.0,0.343,0.385,26.4,76,1001.7,2.5
DWK_UMN_03,2023-05-01 03:00:00+00:00,0.0,0.0,0.343,0.385,27.8,72,1002.3,3.7
DWK_UMN_03,2023-05-01 04:00:00+00:00,0.0,0.0,0.341,0.384,28.5,69,1002.1,5.5
DWK_UMN_03,2023-05-01 05:00:00+00:00,0.0,0.0,0.339,0.383,29.8,60,1001.3,6.0
DWK_UMN_03,2023-05-01 06:00:00+00:00,0.0,0.0,0.337,0.382,31.1,52,1000.4,7.7
DWK_UMN_03,2023-05-01 07:00:00+00:00,0.0,0.0,0.335,0.381,31.2,54,999.3,8.7
DWK_UMN_03,2023-05-01 08:00:00+00:00,0.0,0.0,0.333,0.38,31.3,53,998.1,10.6
DWK_UMN_03,2023-05-01 09:00:00+00:00,0.0,0.0,0.331,0.379,31.0,57,997.7,13.0
DWK_UMN_03,2023-05-01 10:00:00+00:00,0.0,0.0,0.33,0.379,30.2,60,997.7,12.9
DWK_UMN_03,2023-05-01 11:00:00+00:00,0.0,0.0,0.329,0.378,29.0,65,998.6,10.4
DWK_UMN_03,2023-05-01 12:00:00+00:00,0.0,0.0,0.33,0.377,27.5,71,999.4,6.3
DWK_UMN_03,2023-05-01 13:00:00+00:00,0.0,0.0,0.33,0.377,27.0,69,1000.5,7.4
DWK_UMN_03,2023-05-01 14:00:00+00:00,0.0,0.0,0.329,0.377,26.8,69,1001.6,9.4
DWK_UMN_03,2023-05-01 15:00:00+00:00,0.0,0.0,0.329,0.377,26.2,70,1002.3,8.3
DWK_UMN_03,2023-05-01 16:00:00+00:00,0.1,0.1,0.331,0.377,25.0,79,1002.4,4.2
DWK_UMN_03,2023-05-01 17:00:00+00:00,0.0,0.0,0.331,0.377,24.4,83,1002.0,3.8
DWK_UMN_03,2023-05-01 18:00:00+00:00,0.0,0.0,0.331,0.377,23.9,87,1001.8,3.2
DWK_UMN_03,2023-05-01 19:00:00+00:00,0.0,0.0,0.331,0.377,23.8,88,1001.3,3.3
DWK_UMN_03,2023-05-01 20:00:00+00:00,0.0,0.0,0.331,0.377,23.6,88,1000.7,3.7
DWK_UMN_03,2023-05-01 21:00:00+00:00,0.0,0.0,0.331,0.377,23.2,90,1000.5,4.1
DWK_UMN_03,2023-05-01 22:00:00+00:00,0.0,0.0,0.331,0.377,22.9,89,1000.6,4.9
DWK_UMN_03,2023-05-01 23:00:00+00:00,0.0,0.0,0.331,0.377,22.9,89,1001.3,4.6
DWK_UMN_03,2023-05-02 00:00:00+00:00,0.0,0.0,0.33,0.377,23.4,90,1001.8,5.3
DWK_UMN_03,2023-05-02 01:00:00+00:00,0.0,0.0,0.33,0.377,25.4,79,1002.8,4.5
DWK_UMN_03,2023-05-02 02:00:00+00:00,0.0,0.0,0.329,0.376,27.0,72,1003.3,4.0
DWK_UMN_03,2023-05-02 03:00:00+00:00,0.0,0.0,0.328,0.376,28.0,70,1003.7,5.9
DWK_UMN_03,2023-05-02 04:00:00+00:00,0.0,0.0,0.327,0.375,29.0,65,1003.6,3.8
DWK_UMN_03,2023-05-02 05:00:00+00:00,0.0,0.0,0.325,0.374,29.7,61,1002.9,3.8
DWK_UMN_03,2023-05-02 06:00:00+00:00,0.0,0.0,0.323,0.373,30.7,55,1002.2,7.1
DWK_UMN_03,2023-05-02 07:00:00+00:00,0.1,0.1,0.322,0.372,30.7,55,1001.0,11.1
DWK_UMN_03,2023-05-02 08:00:00+00:00,0.1,0.1,0.321,0.371,30.0,56,1000.1,14.8
DWK_UMN_03,2023-05-02 09:00:00+00:00,0.0,0.0,0.32,0.371,29.7,58,999.1,11.3
DWK_UMN_03,2023-05-02 10:00:00+00:00,0.0,0.0,0.319,0.37,29.5,59,998.7,12.4
DWK_UMN_03,2023-05-02 11:00:00+00:00,0.0,0.0,0.318,0.37,28.6,66,998.8,5.8
DWK_UMN_03,2023-05-02 12:00:00+00:00,0.0,0.0,0.309,0.362,26.9,65,999.3,6.3
DWK_UMN_03,2023-05-02 13:00:00+00:00,0.0,0.0,0.309,0.362,26.3,64,999.9,6.3
DWK_UMN_03,2023-05-02 14:00:00+00:00,0.0,0.0,0.309,0.362,25.3,70,1000.5,4.0
DWK_UMN_03,2023-05-02 15:00:00+00:00,0.0,0.0,0.309,0.362,23.8,80,1001.3,2.3
DWK_UMN_03,2023-05-02 16:00:00+00:00,0.0,0.0,0.309,0.362,23.2,78,1002.2,2.1
DWK_UMN_03,2023-05-02 17:00:00+00:00,0.0,0.0,0.309,0.362,22.6,81,1002.5,3.4
DWK_UMN_03,2023-05-02 18:00:00+00:00,0.0,0.0,0.309,0.362,21.8,84,1002.3,5.0
DWK_UMN_03,2023-05-02 19:00:00+00:00,0.0,0.0,0.309,0.362,21.5,85,1001.7,3.9
DWK_UMN_03,2023-05-02 20:00:00+00:00,0.0,0.0,0.309,0.362,21.4,84,1001.5,3.4
DWK_UMN_03,2023-05-02 21:00:00+00:00,0.0,0.0,0.309,0.362,21.8,80,1001.4,4.3
DWK_UMN_03,2023-05-02 22:00:00+00:00,0.0,0.0,0.309,0.362,21.9,78,1001.4,4.8
DWK_UMN_03,2023-05-02 23:00:00+00:00,0.6,0.6,0.313,0.362,21.7,82,1003.3,8.5
DWK_UMN_03,2023-05-03 00:00:00+00:00,0.1,0.1,0.321,0.363,23.0,83,1002.7,3.7
DWK_UMN_03,2023-05-03 01:00:00+00:00,3.3,3.3,0.366,0.363,23.5,86,1004.1,3.6
DWK_UMN_03,2023-05-03 02:00:00+00:00,6.4,6.4,0.453,0.363,22.3,93,1005.9,9.2
DWK_UMN_03,2023-05-03 03:00:00+00:00,1.1,1.1,0.463,0.364,22.8,91,1005.9,9.3
DWK_UMN_03,2023-05-03 04:00:00+00:00,0.0,0.0,0.46,0.364,26.4,75,1005.3,0.7
DWK_UMN_03,2023-05-03 05:00:00+00:00,0.2,0.2,0.457,0.365,28.2,70,1004.3,6.2
DWK_UMN_03,2023-05-03 06:00:00+00:00,0.1,0.1,0.453,0.365,29.5,64,1003.3,6.8
DWK_UMN_03,2023-05-03 07:00:00+00:00,0.0,0.0,0.448,0.365,29.3,64,1002.2,10.4
DWK_UMN_03,2023-05-03 08:00:00+00:00,0.0,0.0,0.444,0.365,29.6,62,1001.0,4.7
DWK_UMN_03,2023-05-03 09:00:00+00:00,0.0,0.0,0.44,0.364,29.0,63,1000.6,7.6
DWK_UMN_03,2023-05-03 10:00:00+00:00,0.0,0.0,0.438,0.365,28.6,67,1000.0,5.8
DWK_UMN_03,2023-05-03 11:00:00+00:00,0.1,0.1,0.437,0.365,27.8,75,999.5,3.3
DWK_UMN_03,2023-05-03 12:00:00+00:00,0.0,0.0,0.311,0.357,26.7,71,1000.3,5.8
DWK_UMN_03,2023-05-03 13:00:00+00:00,0.0,0.0,0.311,0.357,26.1,70,1000.5,5.9
DWK_UMN_03,2023-05-03 14:00:00+00:00,0.0,0.0,0.311,0.357,25.1,79,1001.9,1.8
DWK_UMN_03,2023-05-03 15:00:00+00:00,0.0,0.0,0.311,0.357,24.9,79,1002.6,2.3
DWK_UMN_03,2023-05-03 16:00:00+00:00,0.0,0.0,0.311,0.357,24.5,82,1002.7,2.4
DWK_UMN_03,2023-05-03 17:00:00+00:00,0.0,0.0,0.311,0.357,24.4,81,1003.0,1.9
DWK_UMN_03,2023-05-03 18:00:00+00:00,0.3,0.3,0.313,0.357,24.0,83,1002.4,2.3
DWK_UMN_03,2023-05-03 19:00:00+00:00,0.5,0.5,0.318,0.357,23.0,86,1002.0,3.9
DWK_UMN_03,2023-05-03 20:00:00+00:00,2.0,2.0,0.344,0.357,22.7,89,1001.3,4.6
DWK_UMN_03,2023-05-03 21:00:00+00:00,0.9,0.9,0.356,0.357,22.3,92,1001.0,7.6
DWK_UMN_03,2023-05-03 22:00:00+00:00,0.4,0.4,0.361,0.357,22.3,91,1000.6,2.7
DWK_UMN_03,2023-05-03 23:00:00+00:00,3.0,3.0,0.403,0.357,21.3,98,1001.8,6.0
DWK_UMN_03,2023-05-04 00:00:00+00:00,2.1,2.1,0.477,0.358,23.0,91,1002.6,6.0
DWK_UMN_03,2023-05-04 01:00:00+00:00,0.1,0.1,0.473,0.359,24.1,91,1003.2,4.5
DWK_UMN_03,2023-05-04 02:00:00+00:00,2.2,2.2,0.496,0.361,24.6,86,1004.4,6.7
DWK_UMN_03,2023-05-04 03:00:00+00:00,4.7,4.7,0.51,0.377,22.4,97,1005.2,8.6
DWK_UMN_03,2023-05-04 04:00:00+00:00,2.6,2.6,0.511,0.388,23.5,94,1005.1,6.7
DWK_UMN_03,2023-05-04 05:00:00+00:00,0.6,0.6,0.5,0.394,24.5,88,1004.0,1.5
DWK_UMN_03,2023-05-04 06:00:00+00:00,0.0,0.0,0.49,0.396,27.6,76,1002.9,4.9
DWK_UMN_03,2023-05-04 07:00:00+00:00,0.0,0.0,0.482,0.397,27.6,75,1001.6,7.0
DWK_UMN_03,2023-05-04 08:00:00+00:00,0.0,0.0,0.476,0.397,28.1,73,1000.4,3.0
DWK_UMN_03,2023-05-04 09:00:00+00:00,0.0,0.0,0.471,0.398,28.5,73,999.1,4.7
DWK_UMN_03,2023-05-04 10:00:00+00:00,0.0,0.0,0.468,0.398,28.4,74,998.8,2.9
DWK_UMN_03,2023-05-04 11:00:00+00:00,4.1,4.1,0.507,0.401,23.8,93,999.3,8.7
DWK_UMN_03,2023-05-04 12:00:00+00:00,0.3,0.3,0.496,0.374,24.3,91,999.9,2.9
DWK_UMN_03,2023-05-04 13:00:00+00:00,0.0,0.0,0.488,0.376,23.2,96,1000.4,4.7
DWK_UMN_03,2023-05-04 14:00:00+00:00,0.0,0.0,0.483,0.378,22.7,95,1000.9,4.3
DWK_UMN_03,2023-05-04 15:00:00+00:00,0.3,0.3,0.481,0.38,22.7,93,1001.3,4.1
DWK_UMN_03,2023-05-04 16:00:00+00:00,6.1,6.1,0.518,0.394,21.9,96,1002.2,7.2
DWK_UMN_03,2023-05-04 17:00:00+00:00,1.5,1.5,0.504,0.406,21.8,95,1001.6,5.8
DWK_UMN_03,2023-05-04 18:00:00+00:00,0.0,0.0,0.495,0.409,21.4,98,1001.4,4.9
DWK_UMN_03,2023-05-04 19:00:00+00:00,0.0,0.0,0.49,0.411,21.9,94,1000.4,3.9
DWK_UMN_03,2023-05-04 20:00:00+00:00,0.3,0.3,0.489,0.412,22.1,94,999.9,5.2
DWK_UMN_03,2023-05-04 21:00:00+00:00,2.2,2.2,0.513,0.415,22.2,90,999.4,0.8
DWK_UMN_03,2023-05-04 22:00:00+00:00,6.2,6.2,0.509,0.44,21.0,98,999.5,2.5
DWK_UMN_03,2023-05-04 23:00:00+00:00,0.1,0.1,0.501,0.444,21.2,98,999.9,0.7
DWK_UMN_03,2023-05-05 00:00:00+00:00,0.3,0.3,0.504,0.51,22.5,91,1000.3,4.6
DWK_UMN_03,2023-05-05 01:00:00+00:00,0.1,0.1,0.502,0.508,23.5,89,1000.7,1.8
DWK_UMN_03,2023-05-05 02:00:00+00:00,0.4,0.4,0.504,0.507,24.5,84,1001.4,4.7
DWK_UMN_03,2023-05-05 03:00:00+00:00,0.1,0.1,0.503,0.505,25.6,80,1001.6,3.5
DWK_UMN_03,2023-05-05 04:00:00+00:00,0.1,0.1,0.5,0.504,26.4,79,1001.4,6.0
DWK_UMN_03,2023-05-05 05:00:00+00:00,0.0,0.0,0.497,0.502,27.4,76,1000.8,7.4
DWK_UMN_03,2023-05-05 06:00:00+00:00,0.0,0.0,0.494,0.5,27.9,74,999.4,6.8
DWK_UMN_03,2023-05-05 07:00:00+00:00,0.0,0.0,0.49,0.498,28.7,72,998.0,7.3
DWK_UMN_03,2023-05-05 08:00:00+00:00,0.0,0.0,0.487,0.496,29.0,71,996.4,9.9
DWK_UMN_03,2023-05-05 09:00:00+00:00,0.0,0.0,0.484,0.495,29.2,70,995.9,11.2
DWK_UMN_03,2023-05-05 10:00:00+00:00,0.0,0.0,0.482,0.493,28.8,72,995.5,10.8
DWK_UMN_03,2023-05-05 11:00:00+00:00,0.4,0.4,0.484,0.492,28.1,77,995.4,6.5
DWK_UMN_03,2023-05-05 12:00:00+00:00,0.0,0.0,0.478,0.489,26.9,85,996.0,5.6
DWK_UMN_03,2023-05-05 13:00:00+00:00,0.0,0.0,0.478,0.488,25.5,85,996.3,5.5
