station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
JWI_UMI_05,2023-05-01 00:00:00+00:00,0.0,0.0,0.476,0.425,16.2,83,861.2,6.8
JWI_UMI_05,2023-05-01 01:00:00+00:00,0.0,0.0,0.474,0.426,18.3,79,862.9,9.0
JWI_UMI_05,2023-05-01 02:00:00+00:00,0.0,0.0,0.472,0.426,19.7,74,864.6,10.2
JWI_UMI_05,2023-05-01 03:00:00+00:00,0.0,0.0,0.47,0.426,21.4,65,865.5,11.2
JWI_UMI_05,2023-05-01 04:00:00+00:00,0.0,0.0,0.466,0.426,22.4,58,865.6,15.3
JWI_UMI_05,2023-05-01 05:00:00+00:00,0.0,0.0,0.464,0.426,22.0,59,865.0,16.3
JWI_UMI_05,2023-05-01 06:00:00+00:00,0.4,0.4,0.464,0.426,22.4,58,864.5,19.6
JWI_UMI_05,2023-05-01 07:00:00+00:00,0.4,0.4,0.464,0.425,22.6,60,863.9,20.5
JWI_UMI_05,2023-05-01 08:00:00+00:00,0.1,0.1,0.462,0.425,21.9,64,862.7,17.0
JWI_UMI_05,2023-05-01 09:00:00+00:00,0.1,0.1,0.459,0.425,23.2,57,862.5,17.3
JWI_UMI_05,2023-05-01 10:00:00+00:00,0.3,0.3,0.46,0.424,21.3,67,862.1,12.2
JWI_UMI_05,2023-05-01 11:00:00+00:00,0.5,0.5,0.462,0.424,20.8,66,862.3,14.0
JWI_UMI_05,2023-05-01 12:00:00+00:00,0.0,0.0,0.47,0.424,17.6,86,862.6,9.5
JWI_UMI_05,2023-05-01 13:00:00+00:00,0.0,0.0,0.468,0.424,17.8,89,863.1,10.7
JWI_UMI_05,2023-05-01 14:00:00+00:00,0.0,0.0,0.467,0.425,17.1,96,863.8,11.2
JWI_UMI_05,2023-05-01 15:00:00+00:00,0.0,0.0,0.466,0.425,17.0,94,864.1,10.7
JWI_UMI_05,2023-05-01 16:00:00+00:00,0.2,0.2,0.467,0.426,17.0,93,864.3,6.6
JWI_UMI_05,2023-05-01 17:00:00+00:00,0.1,0.1,0.466,0.426,16.5,92,863.7,4.9
JWI_UMI_05,2023-05-01 18:00:00+00:00,0.1,0.1,0.465,0.426,16.6,87,863.3,4.7
JWI_UMI_05,2023-05-01 19:00:00+00:00,0.0,0.0,0.465,0.427,16.4,87,862.7,4.3
JWI_UMI_05,2023-05-01 20:00:00+00:00,0.0,0.0,0.464,0.427,16.5,85,862.0,7.6
JWI_UMI_05,2023-05-01 21:00:00+00:00,0.0,0.0,0.463,0.427,16.0,90,861.5,9.4
JWI_UMI_05,2023-05-01 22:00:00+00:00,0.0,0.0,0.462,0.427,15.7,96,861.5,8.9
JWI_UMI_05,2023-05-01 23:00:00+00:00,0.0,0.0,0.461,0.428,15.7,96,862.0,11.8
JWI_UMI_05,2023-05-02 00:00:00+00:00,0.0,0.0,0.456,0.428,15.8,98,862.6,13.5
JWI_UMI_05,2023-05-02 01:00:00+00:00,0.0,0.0,0.456,0.428,17.1,89,864.0,13.7
JWI_UMI_05,2023-05-02 02:00:00+00:00,0.0,0.0,0.454,0.428,18.7,77,865.1,15.5
JWI_UMI_05,2023-05-02 03:00:00+00:00,0.0,0.0,0.452,0.427,20.0,69,866.0,17.1
JWI_UMI_05,2023-05-02 04:00:00+00:00,0.0,0.0,0.45,0.427,20.9,68,866.3,17.9
JWI_UMI_05,2023-05-02 05:00:00+00:00,0.1,0.1,0.448,0.426,21.0,69,865.9,19.2
JWI_UMI_05,2023-05-02 06:00:00+00:00,0.0,0.0,0.446,0.426,21.8,64,865.6,18.1
