station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
NNG_UMI_06,2023-05-01 00:00:00+00:00,0.0,0.0,0.413,0.312,18.1,62,863.9,3.4
NNG_UMI_06,2023-05-01 01:00:00+00:00,0.0,0.0,0.413,0.312,18.3,71,865.0,5.4
NNG_UMI_06,2023-05-01 02:00:00+00:00,0.0,0.0,0.412,0.312,19.3,74,866.2,7.0
NNG_UMI_06,2023-05-01 03:00:00+00:00,0.0,0.0,0.41,0.312,20.8,67,867.2,13.5
NNG_UMI_06,2023-05-01 04:00:00+00:00,0.0,0.0,0.408,0.312,20.3,67,867.1,14.6
NNG_UMI_06,2023-05-01 05:00:00+00:00,0.2,0.2,0.407,0.312,21.3,61,866.9,17.1
NNG_UMI_06,2023-05-01 06:00:00+00:00,0.5,0.5,0.407,0.312,21.4,65,866.5,18.6
NNG_UMI_06,2023-05-01 07:00:00+00:00,0.3,0.3,0.407,0.312,21.0,67,865.6,19.6
NNG_UMI_06,2023-05-01 08:00:00+00:00,0.2,0.2,0.407,0.312,20.7,69,864.7,17.2
NNG_UMI_06,2023-05-01 09:00:00+00:00,0.1,0.1,0.405,0.312,20.7,74,864.4,15.9
NNG_UMI_06,2023-05-01 10:00:00+00:00,0.0,0.0,0.403,0.312,21.3,64,864.1,19.2
NNG_UMI_06,2023-05-01 11:00:00+00:00,0.1,0.1,0.402,0.312,19.4,68,864.2,20.3
NNG_UMI_06,2023-05-01 12:00:00+00:00,0.7,0.7,0.396,0.312,18.3,79,864.6,11.9
NNG_UMI_06,2023-05-01 13:00:00+00:00,0.1,0.1,0.396,0.312,17.2,88,865.1,7.2
NNG_UMI_06,2023-05-01 14:00:00+00:00,0.1,0.1,0.397,0.312,17.1,91,865.8,1.9
NNG_UMI_06,2023-05-01 15:00:00+00:00,0.2,0.2,0.398,0.312,17.0,91,866.0,1.5
NNG_UMI_06,2023-05-01 16:00:00+00:00,0.0,0.0,0.397,0.313,16.6,90,865.9,4.9
NNG_UMI_06,2023-05-01 17:00:00+00:00,0.0,0.0,0.397,0.313,16.8,79,865.6,5.1
NNG_UMI_06,2023-05-01 18:00:00+00:00,0.0,0.0,0.396,0.313,17.2,68,865.3,6.2
