station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
TUR_SMS_04,2023-05-01 00:00:00+00:00,0.0,0.0,0.401,0.312,21.9,92,967.3,4.2
TUR_SMS_04,2023-05-01 01:00:00+00:00,0.0,0.0,0.4,0.312,24.1,83,968.4,1.5
TUR_SMS_04,2023-05-01 02:00:00+00:00,0.0,0.0,0.4,0.312,25.7,71,969.5,3.4
TUR_SMS_04,2023-05-01 03:00:00+00:00,0.0,0.0,0.398,0.312,26.7,66,970.2,4.7
TUR_SMS_04,2023-05-01 04:00:00+00:00,0.0,0.0,0.396,0.312,27.6,61,970.3,5.3
TUR_SMS_04,2023-05-01 05:00:00+00:00,0.0,0.0,0.394,0.312,28.8,56,970.0,7.0
TUR_SMS_04,2023-05-01 06:00:00+00:00,0.1,0.1,0.392,0.312,29.7,53,969.3,8.9
TUR_SMS_04,2023-05-01 07:00:00+00:00,0.0,0.0,0.389,0.312,30.1,53,968.5,10.8
TUR_SMS_04,2023-05-01 08:00:00+00:00,0.0,0.0,0.387,0.312,30.0,50,967.6,13.0
TUR_SMS_04,2023-05-01 09:00:00+00:00,0.0,0.0,0.386,0.312,28.2,56,966.9,11.0
TUR_SMS_04,2023-05-01 10:00:00+00:00,0.0,0.0,0.384,0.312,27.2,60,967.1,11.5
TUR_SMS_04,2023-05-01 11:00:00+00:00,6.3,6.3,0.464,0.312,22.9,82,969.0,14.1
TUR_SMS_04,2023-05-01 12:00:00+00:00,2.0,2.0,0.384,0.31,24.4,78,968.6,4.1
TUR_SMS_04,2023-05-01 13:00:00+00:00,0.2,0.2,0.385,0.31,23.8,84,969.0,1.3
TUR_SMS_04,2023-05-01 14:00:00+00:00,0.0,0.0,0.385,0.311,23.3,88,970.1,2.3
TUR_SMS_04,2023-05-01 15:00:00+00:00,0.0,0.0,0.385,0.311,23.0,88,970.3,2.5
TUR_SMS_04,2023-05-01 16:00:00+00:00,0.0,0.0,0.385,0.311,22.5,88,970.3,2.5
TUR_SMS_04,2023-05-01 17:00:00+00:00,0.0,0.0,0.384,0.311,22.3,86,970.0,2.1
TUR_SMS_04,2023-05-01 18:00:00+00:00,0.0,0.0,0.384,0.311,22.3,85,969.6,4.0
TUR_SMS_04,2023-05-01 19:00:00+00:00,0.0,0.0,0.384,0.311,23.7,75,969.3,2.2
TUR_SMS_04,2023-05-01 20:00:00+00:00,0.0,0.0,0.384,0.311,21.8,86,968.2,3.1
TUR_SMS_04,2023-05-01 21:00:00+00:00,0.0,0.0,0.384,0.311,21.6,86,967.6,3.3
TUR_SMS_04,2023-05-01 22:00:00+00:00,0.0,0.0,0.383,0.311,23.8,74,967.9,3.1
TUR_SMS_04,2023-05-01 23:00:00+00:00,0.0,0.0,0.383,0.311,22.9,79,968.5,3.2
TUR_SMS_04,2023-05-02 00:00:00+00:00,0.0,0.0,0.381,0.311,21.8,90,968.7,2.8
TUR_SMS_04,2023-05-02 01:00:00+00:00,0.0,0.0,0.38,0.311,24.0,79,969.9,0.8
TUR_SMS_04,2023-05-02 02:00:00+00:00,0.0,0.0,0.38,0.311,25.4,72,970.9,3.2
TUR_SMS_04,2023-05-02 03:00:00+00:00,0.0,0.0,0.379,0.311,26.6,66,971.3,6.0
TUR_SMS_04,2023-05-02 04:00:00+00:00,0.4,0.4,0.38,0.311,27.8,59,971.5,10.5
TUR_SMS_04,2023-05-02 05:00:00+00:00,1.8,1.8,0.398,0.311,28.6,55,971.1,11.3
TUR_SMS_04,2023-05-02 06:00:00+00:00,0.2,0.2,0.398,0.311,29.1,53,970.7,11.8
TUR_SMS_04,2023-05-02 07:00:00+00:00,0.8,0.8,0.402,0.311,29.3,53,969.6,11.6
TUR_SMS_04,2023-05-02 08:00:00+00:00,0.5,0.5,0.404,0.311,29.7,50,968.4,11.9
TUR_SMS_04,2023-05-02 09:00:00+00:00,0.3,0.3,0.405,0.311,28.9,53,967.4,13.3
TUR_SMS_04,2023-05-02 10:00:00+00:00,0.3,0.3,0.405,0.311,27.7,56,967.2,12.5
TUR_SMS_04,2023-05-02 11:00:00+00:00,0.4,0.4,0.407,0.311,26.8,62,967.6,7.2
TUR_SMS_04,2023-05-02 12:00:00+00:00,0.6,0.6,0.375,0.31,23.2,76,968.4,13.7
TUR_SMS_04,2023-05-02 13:00:00+00:00,0.2,0.2,0.377,0.31,22.4,81,968.3,3.1
TUR_SMS_04,2023-05-02 14:00:00+00:00,0.0,0.0,0.377,0.31,22.7,79,968.8,2.8
TUR_SMS_04,2023-05-02 15:00:00+00:00,0.0,0.0,0.376,0.31,22.8,75,969.3,3.7
TUR_SMS_04,2023-05-02 16:00:00+00:00,0.0,0.0,0.376,0.31,22.0,75,970.0,1.1
TUR_SMS_04,2023-05-02 17:00:00+00:00,0.0,0.0,0.376,0.31,22.0,74,970.2,1.6
TUR_SMS_04,2023-05-02 18:00:00+00:00,0.0,0.0,0.376,0.31,21.9,74,970.1,2.6
TUR_SMS_04,2023-05-02 19:00:00+00:00,0.0,0.0,0.376,0.31,21.8,75,969.5,3.7
TUR_SMS_04,2023-05-02 20:00:00+00:00,0.0,0.0,0.376,0.311,21.8,75,969.1,4.0
TUR_SMS_04,2023-05-02 21:00:00+00:00,1.0,1.0,0.386,0.311,21.3,82,968.9,10.9
TUR_SMS_04,2023-05-02 22:00:00+00:00,0.0,0.0,0.386,0.311,20.8,85,968.7,4.2
TUR_SMS_04,2023-05-02 23:00:00+00:00,0.0,0.0,0.385,0.311,21.0,83,969.1,1.8
TUR_SMS_04,2023-05-03 00:00:00+00:00,0.0,0.0,0.374,0.311,21.6,83,970.2,8.8
TUR_SMS_04,2023-05-03 01:00:00+00:00,0.0,0.0,0.373,0.311,24.3,75,971.2,6.6
TUR_SMS_04,2023-05-03 02:00:00+00:00,0.0,0.0,0.373,0.311,26.2,63,971.9,3.4
TUR_SMS_04,2023-05-03 03:00:00+00:00,0.0,0.0,0.372,0.311,27.1,62,972.6,5.4
TUR_SMS_04,2023-05-03 04:00:00+00:00,0.9,0.9,0.377,0.311,27.1,62,972.6,9.9
TUR_SMS_04,2023-05-03 05:00:00+00:00,0.2,0.2,0.378,0.311,26.3,71,971.7,7.4
TUR_SMS_04,2023-05-03 06:00:00+00:00,0.1,0.1,0.377,0.31,28.7,56,971.3,7.3
TUR_SMS_04,2023-05-03 07:00:00+00:00,0.2,0.2,0.377,0.31,27.4,62,970.5,7.2
TUR_SMS_04,2023-05-03 08:00:00+00:00,0.4,0.4,0.378,0.31,28.2,60,969.1,9.2
TUR_SMS_04,2023-05-03 09:00:00+00:00,0.2,0.2,0.379,0.31,27.5,62,968.4,14.1
TUR_SMS_04,2023-05-03 10:00:00+00:00,1.6,1.6,0.393,0.31,22.3,93,968.5,8.2
TUR_SMS_04,2023-05-03 11:00:00+00:00,1.4,1.4,0.41,0.31,23.4,89,967.2,7.6
TUR_SMS_04,2023-05-03 12:00:00+00:00,0.0,0.0,0.363,0.309,24.8,74,968.0,11.4
TUR_SMS_04,2023-05-03 13:00:00+00:00,0.0,0.0,0.362,0.309,25.2,72,968.0,7.9
TUR_SMS_04,2023-05-03 14:00:00+00:00,3.2,3.2,0.401,0.309,23.3,81,970.2,5.1
TUR_SMS_04,2023-05-03 15:00:00+00:00,0.1,0.1,0.402,0.309,23.1,87,970.2,6.6
TUR_SMS_04,2023-05-03 16:00:00+00:00,0.0,0.0,0.401,0.31,23.4,84,970.3,9.7
TUR_SMS_04,2023-05-03 17:00:00+00:00,0.0,0.0,0.401,0.31,23.4,85,970.4,8.1
TUR_SMS_04,2023-05-03 18:00:00+00:00,0.0,0.0,0.401,0.31,23.4,86,969.6,7.6
