station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,latitude,longitude,role
SHL_UMI_01,2023-05-01 00:00:00+00:00,0.0,0.0,0.457,0.371,15.5,83,855.2,7.2,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 01:00:00+00:00,0.0,0.0,0.455,0.371,17.7,76,856.9,8.2,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 02:00:00+00:00,0.0,0.0,0.453,0.372,20.0,65,859.1,5.4,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 03:00:00+00:00,0.0,0.0,0.451,0.372,21.3,61,860.0,6.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 04:00:00+00:00,0.0,0.0,0.448,0.372,21.9,59,860.0,9.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 05:00:00+00:00,0.1,0.1,0.445,0.372,20.7,65,859.5,10.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 06:00:00+00:00,0.0,0.0,0.442,0.371,22.7,63,859.3,10.7,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 07:00:00+00:00,1.6,1.6,0.454,0.371,21.1,68,858.3,13.6,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 08:00:00+00:00,0.1,0.1,0.451,0.371,23.2,58,857.7,10.8,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 09:00:00+00:00,0.0,0.0,0.448,0.371,22.8,55,857.2,9.0,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 10:00:00+00:00,0.1,0.1,0.446,0.371,21.3,56,856.6,10.1,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 11:00:00+00:00,0.0,0.0,0.444,0.372,21.1,58,856.9,9.6,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 12:00:00+00:00,0.1,0.1,0.428,0.37,18.3,78,857.2,2.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 13:00:00+00:00,0.0,0.0,0.428,0.37,17.2,80,857.8,3.1,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 14:00:00+00:00,0.0,0.0,0.427,0.37,16.7,84,858.1,6.6,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 15:00:00+00:00,0.1,0.1,0.427,0.37,16.7,86,858.6,7.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 16:00:00+00:00,0.2,0.2,0.427,0.37,16.9,82,858.9,7.3,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 17:00:00+00:00,0.0,0.0,0.427,0.37,16.8,77,858.5,6.4,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 18:00:00+00:00,0.0,0.0,0.427,0.371,16.8,71,858.0,7.2,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 19:00:00+00:00,0.0,0.0,0.426,0.371,16.5,69,857.2,7.2,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 20:00:00+00:00,0.0,0.0,0.425,0.371,15.8,71,856.3,6.4,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 21:00:00+00:00,0.0,0.0,0.425,0.371,15.1,75,855.7,5.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 22:00:00+00:00,0.0,0.0,0.424,0.371,14.8,77,855.4,7.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-01 23:00:00+00:00,0.0,0.0,0.424,0.371,14.9,78,855.9,10.0,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 00:00:00+00:00,0.0,0.0,0.421,0.372,15.5,86,856.7,12.4,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 01:00:00+00:00,0.0,0.0,0.42,0.372,17.4,78,858.5,11.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 02:00:00+00:00,0.0,0.0,0.419,0.371,19.1,71,859.7,12.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 03:00:00+00:00,0.0,0.0,0.417,0.371,20.4,64,860.4,12.7,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 04:00:00+00:00,0.0,0.0,0.415,0.371,21.7,56,860.9,12.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 05:00:00+00:00,0.6,0.6,0.418,0.37,21.4,61,860.4,13.2,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 06:00:00+00:00,1.1,1.1,0.427,0.37,22.0,63,860.3,12.7,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 07:00:00+00:00,0.0,0.0,0.425,0.37,21.5,59,859.4,16.6,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 08:00:00+00:00,0.1,0.1,0.423,0.369,22.3,58,858.3,17.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 09:00:00+00:00,0.1,0.1,0.421,0.369,22.1,54,857.3,17.8,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 10:00:00+00:00,0.0,0.0,0.419,0.369,21.5,57,857.0,14.8,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 11:00:00+00:00,0.5,0.5,0.422,0.369,20.4,58,857.0,9.8,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 12:00:00+00:00,0.0,0.0,0.406,0.368,18.3,69,857.1,3.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 13:00:00+00:00,0.0,0.0,0.406,0.368,17.2,74,857.0,5.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 14:00:00+00:00,0.0,0.0,0.405,0.368,16.8,78,857.3,10.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 15:00:00+00:00,0.0,0.0,0.405,0.368,16.7,78,857.9,11.2,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 16:00:00+00:00,0.0,0.0,0.405,0.368,16.2,78,858.3,9.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 17:00:00+00:00,0.0,0.0,0.404,0.368,15.9,78,858.4,11.0,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 18:00:00+00:00,0.0,0.0,0.404,0.368,15.6,80,858.0,12.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 19:00:00+00:00,0.0,0.0,0.404,0.368,15.6,79,857.5,13.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 20:00:00+00:00,0.0,0.0,0.404,0.368,15.5,82,857.2,13.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 21:00:00+00:00,0.0,0.0,0.403,0.368,15.3,85,857.0,13.7,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 22:00:00+00:00,0.0,0.0,0.403,0.368,15.3,86,857.0,13.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-02 23:00:00+00:00,0.0,0.0,0.403,0.368,15.2,85,857.2,13.6,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 00:00:00+00:00,0.0,0.0,0.404,0.368,15.2,90,858.0,12.7,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 01:00:00+00:00,0.2,0.2,0.405,0.368,17.4,82,859.5,14.7,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 02:00:00+00:00,0.1,0.1,0.405,0.368,19.4,76,860.9,10.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 03:00:00+00:00,5.6,5.6,0.478,0.368,19.9,71,862.1,11.8,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 04:00:00+00:00,3.2,3.2,0.5,0.374,19.6,75,861.5,5.8,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 05:00:00+00:00,0.2,0.2,0.491,0.377,21.8,64,861.7,6.6,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 06:00:00+00:00,0.5,0.5,0.488,0.379,20.0,72,860.7,4.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 07:00:00+00:00,0.3,0.3,0.483,0.38,21.0,70,860.1,3.3,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 08:00:00+00:00,0.0,0.0,0.477,0.381,22.7,60,859.3,11.5,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 09:00:00+00:00,0.1,0.1,0.473,0.382,20.3,67,858.4,13.6,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 10:00:00+00:00,0.0,0.0,0.47,0.382,20.0,72,857.8,12.1,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 11:00:00+00:00,0.0,0.0,0.467,0.383,19.7,74,857.5,9.4,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 12:00:00+00:00,0.1,0.1,0.422,0.365,18.0,85,857.6,8.4,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 13:00:00+00:00,0.0,0.0,0.422,0.366,17.7,86,857.9,6.9,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 14:00:00+00:00,0.0,0.0,0.421,0.366,17.2,89,858.5,9.2,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
SHL_UMI_01,2023-05-03 15:00:00+00:00,0.0,0.0,0.421,0.366,17.0,89,859.0,13.1,1496.0,18.0,250.0,520.0,25.5788,91.8933,train
