station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
AZL_TLW_01,2023-06-01 00:00:00+00:00,0.0,0.0,0.246,0.264,20.1,97,890.6,4.2
AZL_TLW_01,2023-06-01 01:00:00+00:00,0.0,0.0,0.246,0.263,21.5,95,892.0,3.7
AZL_TLW_01,2023-06-01 02:00:00+00:00,0.0,0.0,0.246,0.263,23.0,84,893.0,5.4
AZL_TLW_01,2023-06-01 03:00:00+00:00,0.1,0.1,0.246,0.263,24.4,75,893.1,4.5
AZL_TLW_01,2023-06-01 04:00:00+00:00,0.1,0.1,0.246,0.262,26.5,62,893.1,3.6
AZL_TLW_01,2023-06-01 05:00:00+00:00,0.0,0.0,0.244,0.262,27.9,53,892.8,5.1
AZL_TLW_01,2023-06-01 06:00:00+00:00,0.0,0.0,0.243,0.261,29.6,46,892.2,5.8
AZL_TLW_01,2023-06-01 07:00:00+00:00,0.0,0.0,0.241,0.26,30.6,42,891.1,7.1
AZL_TLW_01,2023-06-01 08:00:00+00:00,0.0,0.0,0.239,0.26,30.7,41,890.1,8.9
AZL_TLW_01,2023-06-01 09:00:00+00:00,0.0,0.0,0.237,0.259,30.3,42,889.6,8.4
AZL_TLW_01,2023-06-01 10:00:00+00:00,0.1,0.1,0.237,0.259,28.7,46,889.0,8.9
AZL_TLW_01,2023-06-01 11:00:00+00:00,0.0,0.0,0.237,0.258,27.1,54,889.0,7.1
AZL_TLW_01,2023-06-01 12:00:00+00:00,0.0,0.0,0.235,0.257,26.7,56,889.5,4.3
AZL_TLW_01,2023-06-01 13:00:00+00:00,0.0,0.0,0.235,0.257,24.6,67,889.5,3.6
AZL_TLW_01,2023-06-01 14:00:00+00:00,0.0,0.0,0.235,0.257,23.9,69,889.9,3.4
AZL_TLW_01,2023-06-01 15:00:00+00:00,0.0,0.0,0.235,0.257,23.1,71,890.7,3.9
AZL_TLW_01,2023-06-01 16:00:00+00:00,0.0,0.0,0.235,0.257,22.2,80,890.7,1.5
AZL_TLW_01,2023-06-01 17:00:00+00:00,0.0,0.0,0.236,0.257,21.8,79,890.6,3.3
AZL_TLW_01,2023-06-01 18:00:00+00:00,0.0,0.0,0.236,0.256,21.1,83,890.1,3.3
AZL_TLW_01,2023-06-01 19:00:00+00:00,0.0,0.0,0.236,0.256,20.9,85,889.3,5.5
AZL_TLW_01,2023-06-01 20:00:00+00:00,0.0,0.0,0.236,0.256,20.2,89,888.8,4.9
AZL_TLW_01,2023-06-01 21:00:00+00:00,0.0,0.0,0.236,0.256,19.7,92,888.3,5.9
AZL_TLW_01,2023-06-01 22:00:00+00:00,0.0,0.0,0.236,0.256,19.3,95,888.7,5.2
AZL_TLW_01,2023-06-01 23:00:00+00:00,0.0,0.0,0.236,0.256,19.2,96,889.3,4.8
AZL_TLW_01,2023-06-02 00:00:00+00:00,0.0,0.0,0.235,0.255,20.5,93,890.5,5.9
AZL_TLW_01,2023-06-02 01:00:00+00:00,0.0,0.0,0.235,0.255,22.7,84,891.8,7.1
AZL_TLW_01,2023-06-02 02:00:00+00:00,0.1,0.1,0.235,0.254,24.4,74,892.7,5.0
AZL_TLW_01,2023-06-02 03:00:00+00:00,0.1,0.1,0.234,0.254,25.8,65,893.3,4.6
AZL_TLW_01,2023-06-02 04:00:00+00:00,0.0,0.0,0.233,0.253,27.7,55,893.7,5.4
AZL_TLW_01,2023-06-02 05:00:00+00:00,0.0,0.0,0.232,0.253,28.7,49,893.6,7.2
AZL_TLW_01,2023-06-02 06:00:00+00:00,0.0,0.0,0.23,0.252,29.7,45,893.0,8.7
AZL_TLW_01,2023-06-02 07:00:00+00:00,0.0,0.0,0.229,0.252,29.8,43,891.9,9.0
AZL_TLW_01,2023-06-02 08:00:00+00:00,0.0,0.0,0.227,0.251,30.0,41,890.9,8.1
AZL_TLW_01,2023-06-02 09:00:00+00:00,0.0,0.0,0.226,0.25,29.7,41,890.4,8.9
AZL_TLW_01,2023-06-02 10:00:00+00:00,0.4,0.4,0.227,0.25,28.2,46,889.7,7.7
AZL_TLW_01,2023-06-02 11:00:00+00:00,0.2,0.2,0.228,0.25,27.1,52,889.4,3.9
AZL_TLW_01,2023-06-02 12:00:00+00:00,0.0,0.0,0.226,0.251,26.3,56,890.2,3.7
AZL_TLW_01,2023-06-02 13:00:00+00:00,0.0,0.0,0.226,0.251,24.2,70,890.0,2.9
AZL_TLW_01,2023-06-02 14:00:00+00:00,0.0,0.0,0.226,0.251,23.6,67,890.8,6.3
AZL_TLW_01,2023-06-02 15:00:00+00:00,0.0,0.0,0.226,0.251,22.6,72,891.0,4.6
AZL_TLW_01,2023-06-02 16:00:00+00:00,0.0,0.0,0.226,0.251,21.8,77,891.3,4.3
AZL_TLW_01,2023-06-02 17:00:00+00:00,0.0,0.0,0.226,0.251,21.2,81,891.1,3.3
AZL_TLW_01,2023-06-02 18:00:00+00:00,0.0,0.0,0.226,0.251,20.5,87,890.6,2.3
AZL_TLW_01,2023-06-02 19:00:00+00:00,0.0,0.0,0.227,0.251,20.2,86,889.9,5.0
AZL_TLW_01,2023-06-02 20:00:00+00:00,0.0,0.0,0.227,0.251,19.8,89,889.4,3.9
AZL_TLW_01,2023-06-02 21:00:00+00:00,0.0,0.0,0.227,0.251,19.3,91,889.3,4.2
AZL_TLW_01,2023-06-02 22:00:00+00:00,0.0,0.0,0.227,0.251,18.6,94,889.2,5.6
AZL_TLW_01,2023-06-02 23:00:00+00:00,0.0,0.0,0.227,0.251,18.0,96,889.4,5.2
AZL_TLW_01,2023-06-03 00:00:00+00:00,0.0,0.0,0.227,0.25,19.2,93,890.5,6.5
AZL_TLW_01,2023-06-03 01:00:00+00:00,0.0,0.0,0.227,0.25,22.2,84,892.1,8.1
AZL_TLW_01,2023-06-03 02:00:00+00:00,0.2,0.2,0.228,0.25,23.9,75,893.4,4.2
AZL_TLW_01,2023-06-03 03:00:00+00:00,0.0,0.0,0.228,0.249,25.0,69,894.4,6.5
AZL_TLW_01,2023-06-03 04:00:00+00:00,0.0,0.0,0.227,0.249,24.7,67,894.3,6.0
AZL_TLW_01,2023-06-03 05:00:00+00:00,0.0,0.0,0.226,0.249,27.7,54,894.6,4.3
AZL_TLW_01,2023-06-03 06:00:00+00:00,0.0,0.0,0.224,0.248,29.0,48,894.0,5.9
AZL_TLW_01,2023-06-03 07:00:00+00:00,0.0,0.0,0.222,0.247,30.2,41,893.3,7.7
AZL_TLW_01,2023-06-03 08:00:00+00:00,0.0,0.0,0.221,0.247,30.6,36,892.1,8.8
AZL_TLW_01,2023-06-03 09:00:00+00:00,0.0,0.0,0.219,0.246,30.2,36,891.0,9.9
AZL_TLW_01,2023-06-03 10:00:00+00:00,0.0,0.0,0.218,0.246,29.4,38,890.3,9.8
AZL_TLW_01,2023-06-03 11:00:00+00:00,0.0,0.0,0.217,0.245,28.1,44,890.5,7.9
AZL_TLW_01,2023-06-03 12:00:00+00:00,0.0,0.0,0.216,0.246,27.0,51,890.7,6.1
AZL_TLW_01,2023-06-03 13:00:00+00:00,0.0,0.0,0.216,0.245,24.3,70,890.3,3.8
AZL_TLW_01,2023-06-03 14:00:00+00:00,0.0,0.0,0.216,0.245,23.1,77,890.8,3.4
AZL_TLW_01,2023-06-03 15:00:00+00:00,0.0,0.0,0.217,0.245,22.7,70,891.8,4.0
AZL_TLW_01,2023-06-03 16:00:00+00:00,0.0,0.0,0.217,0.245,21.8,76,892.4,3.6
AZL_TLW_01,2023-06-03 17:00:00+00:00,0.0,0.0,0.217,0.245,21.2,80,892.3,4.8
AZL_TLW_01,2023-06-03 18:00:00+00:00,0.0,0.0,0.217,0.245,20.6,84,891.6,4.3
AZL_TLW_01,2023-06-03 19:00:00+00:00,0.0,0.0,0.217,0.245,20.2,87,891.0,4.0
AZL_TLW_01,2023-06-03 20:00:00+00:00,0.0,0.0,0.217,0.245,19.8,89,890.5,4.0
AZL_TLW_01,2023-06-03 21:00:00+00:00,0.0,0.0,0.218,0.245,19.1,93,890.5,4.2
AZL_TLW_01,2023-06-03 22:00:00+00:00,0.0,0.0,0.218,0.245,18.8,95,890.3,3.9
AZL_TLW_01,2023-06-03 23:00:00+00:00,0.0,0.0,0.218,0.245,18.3,96,890.3,3.5
AZL_TLW_01,2023-06-04 00:00:00+00:00,0.0,0.0,0.216,0.245,19.7,93,891.2,3.3
AZL_TLW_01,2023-06-04 01:00:00+00:00,0.0,0.0,0.216,0.244,22.1,83,892.7,3.1
AZL_TLW_01,2023-06-04 02:00:00+00:00,0.0,0.0,0.216,0.244,24.4,72,893.6,2.6
AZL_TLW_01,2023-06-04 03:00:00+00:00,0.0,0.0,0.215,0.244,26.7,58,894.6,5.2
AZL_TLW_01,2023-06-04 04:00:00+00:00,0.1,0.1,0.215,0.243,27.0,56,894.5,6.9
AZL_TLW_01,2023-06-04 05:00:00+00:00,0.0,0.0,0.213,0.243,28.5,49,894.3,6.1
AZL_TLW_01,2023-06-04 06:00:00+00:00,0.0,0.0,0.212,0.242,29.7,44,893.7,5.9
AZL_TLW_01,2023-06-04 07:00:00+00:00,0.0,0.0,0.21,0.241,30.5,43,892.7,6.4
AZL_TLW_01,2023-06-04 08:00:00+00:00,0.0,0.0,0.209,0.241,30.7,42,891.5,8.5
AZL_TLW_01,2023-06-04 09:00:00+00:00,0.0,0.0,0.208,0.24,30.3,41,890.4,8.6
AZL_TLW_01,2023-06-04 10:00:00+00:00,0.0,0.0,0.207,0.24,29.8,39,889.8,5.7
AZL_TLW_01,2023-06-04 11:00:00+00:00,0.0,0.0,0.206,0.239,29.2,43,889.6,3.2
AZL_TLW_01,2023-06-04 12:00:00+00:00,0.0,0.0,0.211,0.24,24.8,64,889.9,6.1
AZL_TLW_01,2023-06-04 13:00:00+00:00,0.0,0.0,0.211,0.24,22.6,78,889.5,3.3
AZL_TLW_01,2023-06-04 14:00:00+00:00,0.0,0.0,0.211,0.24,21.9,82,889.7,1.6
AZL_TLW_01,2023-06-04 15:00:00+00:00,0.0,0.0,0.211,0.239,21.7,88,890.1,1.8
AZL_TLW_01,2023-06-04 16:00:00+00:00,0.0,0.0,0.211,0.239,21.6,84,890.8,2.1
AZL_TLW_01,2023-06-04 17:00:00+00:00,0.0,0.0,0.211,0.239,21.0,88,890.7,2.9
AZL_TLW_01,2023-06-04 18:00:00+00:00,0.0,0.0,0.211,0.239,20.7,87,890.4,2.9
AZL_TLW_01,2023-06-04 19:00:00+00:00,0.0,0.0,0.211,0.239,20.1,89,889.7,2.5
AZL_TLW_01,2023-06-04 20:00:00+00:00,0.0,0.0,0.212,0.239,19.8,88,889.3,2.4
AZL_TLW_01,2023-06-04 21:00:00+00:00,0.0,0.0,0.212,0.239,19.8,85,889.2,4.0
AZL_TLW_01,2023-06-04 22:00:00+00:00,0.0,0.0,0.212,0.239,19.3,90,889.1,2.1
AZL_TLW_01,2023-06-04 23:00:00+00:00,0.0,0.0,0.212,0.239,19.0,91,889.0,1.6
AZL_TLW_01,2023-06-05 00:00:00+00:00,0.0,0.0,0.211,0.238,19.4,87,889.5,3.1
AZL_TLW_01,2023-06-05 01:00:00+00:00,0.0,0.0,0.211,0.238,22.8,72,891.3,1.3
AZL_TLW_01,2023-06-05 02:00:00+00:00,0.0,0.0,0.21,0.237,25.2,66,892.1,2.6
AZL_TLW_01,2023-06-05 03:00:00+00:00,0.0,0.0,0.209,0.237,27.1,58,892.3,4.0
AZL_TLW_01,2023-06-05 04:00:00+00:00,0.0,0.0,0.208,0.237,28.8,47,892.5,4.0
AZL_TLW_01,2023-06-05 05:00:00+00:00,0.0,0.0,0.207,0.236,30.1,41,892.5,4.3
AZL_TLW_01,2023-06-05 06:00:00+00:00,0.0,0.0,0.205,0.235,30.7,39,892.1,5.9
AZL_TLW_01,2023-06-05 07:00:00+00:00,0.0,0.0,0.204,0.235,31.2,37,891.1,6.7
AZL_TLW_01,2023-06-05 08:00:00+00:00,0.0,0.0,0.203,0.234,31.8,35,889.9,6.9
AZL_TLW_01,2023-06-05 09:00:00+00:00,0.0,0.0,0.201,0.234,31.8,35,889.1,6.1
AZL_TLW_01,2023-06-05 10:00:00+00:00,0.0,0.0,0.2,0.233,31.3,36,888.6,6.2
AZL_TLW_01,2023-06-05 11:00:00+00:00,0.0,0.0,0.2,0.233,30.1,41,888.5,4.7
AZL_TLW_01,2023-06-05 12:00:00+00:00,0.0,0.0,0.209,0.239,25.8,64,888.7,4.0
AZL_TLW_01,2023-06-05 13:00:00+00:00,0.0,0.0,0.209,0.239,24.1,73,888.8,3.1
AZL_TLW_01,2023-06-05 14:00:00+00:00,0.0,0.0,0.209,0.239,23.3,72,889.7,7.4
AZL_TLW_01,2023-06-05 15:00:00+00:00,0.0,0.0,0.209,0.239,22.9,73,890.0,3.2
AZL_TLW_01,2023-06-05 16:00:00+00:00,0.0,0.0,0.209,0.239,23.0,66,890.7,2.2
AZL_TLW_01,2023-06-05 17:00:00+00:00,0.0,0.0,0.209,0.239,21.6,80,890.4,1.6
AZL_TLW_01,2023-06-05 18:00:00+00:00,0.0,0.0,0.209,0.239,21.0,80,889.8,2.5
AZL_TLW_01,2023-06-05 19:00:00+00:00,0.0,0.0,0.209,0.239,20.5,83,889.2,3.4
AZL_TLW_01,2023-06-05 20:00:00+00:00,0.0,0.0,0.209,0.239,20.5,84,888.7,3.7
AZL_TLW_01,2023-06-05 21:00:00+00:00,0.0,0.0,0.209,0.239,20.5,87,888.4,2.2
AZL_TLW_01,2023-06-05 22:00:00+00:00,0.0,0.0,0.209,0.239,20.7,84,888.4,2.3
AZL_TLW_01,2023-06-05 23:00:00+00:00,0.0,0.0,0.209,0.239,20.7,83,888.6,2.1
AZL_TLW_01,2023-06-06 00:00:00+00:00,0.0,0.0,0.21,0.238,21.0,80,889.2,3.6
AZL_TLW_01,2023-06-06 01:00:00+00:00,0.3,0.3,0.213,0.238,20.8,86,889.5,3.1
AZL_TLW_01,2023-06-06 02:00:00+00:00,0.5,0.5,0.217,0.238,21.4,87,890.2,3.3
AZL_TLW_01,2023-06-06 03:00:00+00:00,0.6,0.6,0.222,0.238,21.2,91,890.6,3.1
AZL_TLW_01,2023-06-06 04:00:00+00:00,0.2,0.2,0.223,0.238,22.4,90,891.2,1.5
AZL_TLW_01,2023-06-06 05:00:00+00:00,0.0,0.0,0.223,0.238,23.4,84,890.6,1.1
AZL_TLW_01,2023-06-06 06:00:00+00:00,0.0,0.0,0.222,0.237,27.0,54,890.6,4.7
AZL_TLW_01,2023-06-06 07:00:00+00:00,0.0,0.0,0.22,0.237,30.1,41,889.9,6.9
AZL_TLW_01,2023-06-06 08:00:00+00:00,0.0,0.0,0.218,0.236,31.1,37,889.2,8.2
AZL_TLW_01,2023-06-06 09:00:00+00:00,0.0,0.0,0.217,0.236,31.0,37,888.1,7.9
AZL_TLW_01,2023-06-06 10:00:00+00:00,0.0,0.0,0.216,0.235,30.5,38,887.9,6.4
AZL_TLW_01,2023-06-06 11:00:00+00:00,0.0,0.0,0.215,0.235,29.9,44,887.8,2.9
AZL_TLW_01,2023-06-06 12:00:00+00:00,0.0,0.0,0.227,0.241,26.2,56,887.6,6.8
AZL_TLW_01,2023-06-06 13:00:00+00:00,0.0,0.0,0.227,0.241,23.7,75,887.4,3.0
