station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
CHM_BRK_05,2023-06-01 00:00:00+00:00,0.0,0.0,0.359,0.316,18.9,100,862.3,4.0
CHM_BRK_05,2023-06-01 01:00:00+00:00,0.1,0.1,0.358,0.317,19.6,95,863.3,4.7
CHM_BRK_05,2023-06-01 02:00:00+00:00,0.2,0.2,0.358,0.317,20.8,91,864.2,5.4
CHM_BRK_05,2023-06-01 03:00:00+00:00,0.2,0.2,0.358,0.317,21.9,83,864.5,5.2
CHM_BRK_05,2023-06-01 04:00:00+00:00,0.1,0.1,0.356,0.317,23.9,72,864.6,5.9
CHM_BRK_05,2023-06-01 05:00:00+00:00,0.0,0.0,0.353,0.317,25.2,63,864.3,6.6
CHM_BRK_05,2023-06-01 06:00:00+00:00,0.0,0.0,0.35,0.317,27.1,53,864.1,6.6
CHM_BRK_05,2023-06-01 07:00:00+00:00,0.0,0.0,0.347,0.316,28.1,49,862.9,9.4
CHM_BRK_05,2023-06-01 08:00:00+00:00,0.0,0.0,0.344,0.315,27.8,47,861.9,11.3
CHM_BRK_05,2023-06-01 09:00:00+00:00,0.0,0.0,0.341,0.315,27.4,50,861.5,11.2
CHM_BRK_05,2023-06-01 10:00:00+00:00,0.0,0.0,0.339,0.315,25.8,56,860.8,10.2
CHM_BRK_05,2023-06-01 11:00:00+00:00,0.1,0.1,0.339,0.314,24.4,66,860.8,6.9
CHM_BRK_05,2023-06-01 12:00:00+00:00,0.0,0.0,0.344,0.318,21.9,83,861.0,5.3
CHM_BRK_05,2023-06-01 13:00:00+00:00,0.0,0.0,0.343,0.318,20.3,90,860.8,3.0
CHM_BRK_05,2023-06-01 14:00:00+00:00,0.0,0.0,0.342,0.319,20.1,89,861.2,3.2
CHM_BRK_05,2023-06-01 15:00:00+00:00,0.0,0.0,0.342,0.319,20.3,86,862.1,4.3
CHM_BRK_05,2023-06-01 16:00:00+00:00,0.0,0.0,0.341,0.319,20.1,87,862.3,4.6
CHM_BRK_05,2023-06-01 17:00:00+00:00,0.0,0.0,0.34,0.319,19.6,90,862.2,4.3
CHM_BRK_05,2023-06-01 18:00:00+00:00,0.0,0.0,0.34,0.319,19.2,92,861.7,4.3
CHM_BRK_05,2023-06-01 19:00:00+00:00,0.0,0.0,0.339,0.319,18.2,96,860.9,2.9
