station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
KLH_TUR_02,2023-06-01 00:00:00+00:00,0.0,0.0,0.231,0.264,24.3,83,932.0,8.0
KLH_TUR_02,2023-06-01 01:00:00+00:00,0.0,0.0,0.231,0.263,26.0,76,933.1,6.9
KLH_TUR_02,2023-06-01 02:00:00+00:00,0.0,0.0,0.231,0.263,27.6,68,933.9,8.4
KLH_TUR_02,2023-06-01 03:00:00+00:00,0.0,0.0,0.23,0.263,28.8,61,933.9,7.5
KLH_TUR_02,2023-06-01 04:00:00+00:00,0.0,0.0,0.229,0.262,30.1,54,933.8,6.6
KLH_TUR_02,2023-06-01 05:00:00+00:00,0.0,0.0,0.228,0.261,31.4,47,933.3,7.8
KLH_TUR_02,2023-06-01 06:00:00+00:00,0.0,0.0,0.227,0.261,31.8,46,932.5,9.1
KLH_TUR_02,2023-06-01 07:00:00+00:00,0.0,0.0,0.225,0.26,32.2,44,931.4,9.0
KLH_TUR_02,2023-06-01 08:00:00+00:00,0.4,0.4,0.228,0.26,29.9,55,930.3,11.5
KLH_TUR_02,2023-06-01 09:00:00+00:00,0.0,0.0,0.227,0.259,29.4,61,929.7,6.4
KLH_TUR_02,2023-06-01 10:00:00+00:00,0.0,0.0,0.227,0.259,29.6,60,929.2,4.7
KLH_TUR_02,2023-06-01 11:00:00+00:00,0.0,0.0,0.226,0.258,29.1,63,929.2,4.7
KLH_TUR_02,2023-06-01 12:00:00+00:00,0.0,0.0,0.209,0.25,28.0,68,929.8,4.8
KLH_TUR_02,2023-06-01 13:00:00+00:00,0.0,0.0,0.209,0.25,27.5,69,930.4,1.1
KLH_TUR_02,2023-06-01 14:00:00+00:00,0.0,0.0,0.209,0.25,25.9,85,930.5,1.1
KLH_TUR_02,2023-06-01 15:00:00+00:00,0.0,0.0,0.209,0.25,26.1,76,931.4,0.7
KLH_TUR_02,2023-06-01 16:00:00+00:00,0.0,0.0,0.209,0.25,24.7,85,931.5,1.0
KLH_TUR_02,2023-06-01 17:00:00+00:00,0.0,0.0,0.209,0.25,24.5,82,931.5,3.6
KLH_TUR_02,2023-06-01 18:00:00+00:00,0.0,0.0,0.21,0.25,24.1,81,930.7,6.1
KLH_TUR_02,2023-06-01 19:00:00+00:00,0.0,0.0,0.21,0.25,23.6,78,930.1,5.2
