station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
LWG_CHH_03,2023-06-01 00:00:00+00:00,0.0,0.0,0.335,0.283,21.3,99,913.5,2.9
LWG_CHH_03,2023-06-01 01:00:00+00:00,0.0,0.0,0.333,0.283,22.7,95,914.8,2.3
LWG_CHH_03,2023-06-01 02:00:00+00:00,0.0,0.0,0.332,0.283,24.1,85,915.5,2.6
LWG_CHH_03,2023-06-01 03:00:00+00:00,0.0,0.0,0.331,0.283,25.7,74,915.7,3.1
LWG_CHH_03,2023-06-01 04:00:00+00:00,0.1,0.1,0.329,0.283,27.5,64,915.3,3.2
LWG_CHH_03,2023-06-01 05:00:00+00:00,0.0,0.0,0.326,0.283,29.1,60,914.9,4.9
LWG_CHH_03,2023-06-01 06:00:00+00:00,0.0,0.0,0.324,0.283,30.2,55,914.2,7.6
LWG_CHH_03,2023-06-01 07:00:00+00:00,0.0,0.0,0.321,0.282,30.5,53,913.0,9.7
LWG_CHH_03,2023-06-01 08:00:00+00:00,0.0,0.0,0.318,0.282,30.6,51,912.1,10.1
LWG_CHH_03,2023-06-01 09:00:00+00:00,0.0,0.0,0.316,0.282,30.5,51,911.6,9.7
LWG_CHH_03,2023-06-01 10:00:00+00:00,0.2,0.2,0.315,0.281,29.2,55,911.1,8.7
LWG_CHH_03,2023-06-01 11:00:00+00:00,0.3,0.3,0.316,0.281,27.0,67,911.4,5.0
LWG_CHH_03,2023-06-01 12:00:00+00:00,0.0,0.0,0.316,0.285,26.3,67,911.7,9.1
LWG_CHH_03,2023-06-01 13:00:00+00:00,0.0,0.0,0.315,0.285,24.1,80,912.1,5.6
LWG_CHH_03,2023-06-01 14:00:00+00:00,0.0,0.0,0.315,0.285,23.1,88,912.6,3.7
LWG_CHH_03,2023-06-01 15:00:00+00:00,0.0,0.0,0.314,0.285,22.8,90,913.3,3.6
LWG_CHH_03,2023-06-01 16:00:00+00:00,0.0,0.0,0.314,0.285,22.7,91,913.5,3.3
LWG_CHH_03,2023-06-01 17:00:00+00:00,0.0,0.0,0.313,0.285,22.3,93,913.5,3.4
LWG_CHH_03,2023-06-01 18:00:00+00:00,0.0,0.0,0.313,0.285,21.9,96,912.9,3.4
LWG_CHH_03,2023-06-01 19:00:00+00:00,0.0,0.0,0.312,0.285,21.5,98,912.2,1.6
LWG_CHH_03,2023-06-01 20:00:00+00:00,0.0,0.0,0.312,0.285,21.1,100,911.6,1.6
LWG_CHH_03,2023-06-01 21:00:00+00:00,0.0,0.0,0.312,0.285,20.9,100,911.2,3.6
LWG_CHH_03,2023-06-01 22:00:00+00:00,0.0,0.0,0.311,0.285,20.8,99,911.5,3.6
LWG_CHH_03,2023-06-01 23:00:00+00:00,0.0,0.0,0.311,0.286,20.4,100,912.0,2.7
LWG_CHH_03,2023-06-02 00:00:00+00:00,0.0,0.0,0.314,0.285,21.9,95,913.3,2.9
LWG_CHH_03,2023-06-02 01:00:00+00:00,0.0,0.0,0.313,0.285,23.9,86,914.5,4.1
LWG_CHH_03,2023-06-02 02:00:00+00:00,0.0,0.0,0.312,0.285,25.3,76,915.2,4.1
LWG_CHH_03,2023-06-02 03:00:00+00:00,0.0,0.0,0.311,0.284,26.6,67,915.7,5.4
LWG_CHH_03,2023-06-02 04:00:00+00:00,0.0,0.0,0.309,0.284,28.0,60,916.1,7.6
LWG_CHH_03,2023-06-02 05:00:00+00:00,0.0,0.0,0.307,0.284,29.3,53,915.7,8.0
LWG_CHH_03,2023-06-02 06:00:00+00:00,0.0,0.0,0.304,0.283,30.0,49,914.9,10.9
LWG_CHH_03,2023-06-02 07:00:00+00:00,0.0,0.0,0.302,0.283,30.5,46,913.9,11.5
LWG_CHH_03,2023-06-02 08:00:00+00:00,0.1,0.1,0.3,0.282,30.6,45,912.8,11.7
LWG_CHH_03,2023-06-02 09:00:00+00:00,0.1,0.1,0.299,0.282,30.1,45,912.2,10.8
LWG_CHH_03,2023-06-02 10:00:00+00:00,0.0,0.0,0.298,0.281,29.3,49,911.7,9.9
LWG_CHH_03,2023-06-02 11:00:00+00:00,0.0,0.0,0.297,0.281,28.2,56,911.6,7.8
LWG_CHH_03,2023-06-02 12:00:00+00:00,0.0,0.0,0.3,0.283,25.3,73,912.7,7.6
LWG_CHH_03,2023-06-02 13:00:00+00:00,0.0,0.0,0.299,0.283,23.8,82,912.7,4.0
LWG_CHH_03,2023-06-02 14:00:00+00:00,0.0,0.0,0.299,0.283,23.3,85,913.5,3.1
LWG_CHH_03,2023-06-02 15:00:00+00:00,0.0,0.0,0.299,0.283,23.0,87,913.7,3.4
LWG_CHH_03,2023-06-02 16:00:00+00:00,0.0,0.0,0.299,0.283,22.6,89,914.0,3.5
LWG_CHH_03,2023-06-02 17:00:00+00:00,0.0,0.0,0.298,0.283,22.2,92,914.0,3.7
LWG_CHH_03,2023-06-02 18:00:00+00:00,0.0,0.0,0.298,0.283,21.7,97,913.4,1.5
LWG_CHH_03,2023-06-02 19:00:00+00:00,0.0,0.0,0.298,0.283,21.0,100,912.8,2.3
LWG_CHH_03,2023-06-02 20:00:00+00:00,0.0,0.0,0.298,0.283,20.7,100,912.2,2.5
LWG_CHH_03,2023-06-02 21:00:00+00:00,0.0,0.0,0.298,0.283,20.4,100,912.2,2.6
LWG_CHH_03,2023-06-02 22:00:00+00:00,0.0,0.0,0.298,0.283,20.3,100,912.2,0.4
LWG_CHH_03,2023-06-02 23:00:00+00:00,0.0,0.0,0.297,0.283,20.5,99,912.5,3.3
LWG_CHH_03,2023-06-03 00:00:00+00:00,0.0,0.0,0.295,0.282,21.6,97,913.8,2.9
LWG_CHH_03,2023-06-03 01:00:00+00:00,0.0,0.0,0.295,0.282,23.8,85,915.1,5.0
LWG_CHH_03,2023-06-03 02:00:00+00:00,0.0,0.0,0.294,0.281,25.2,76,915.7,5.9
LWG_CHH_03,2023-06-03 03:00:00+00:00,0.2,0.2,0.294,0.281,26.4,70,916.3,6.2
LWG_CHH_03,2023-06-03 04:00:00+00:00,0.2,0.2,0.294,0.281,27.6,62,916.6,6.1
LWG_CHH_03,2023-06-03 05:00:00+00:00,0.3,0.3,0.295,0.28,28.3,58,916.6,9.3
LWG_CHH_03,2023-06-03 06:00:00+00:00,0.4,0.4,0.296,0.28,29.0,57,916.0,8.5
LWG_CHH_03,2023-06-03 07:00:00+00:00,0.2,0.2,0.295,0.279,29.7,52,915.2,9.1
LWG_CHH_03,2023-06-03 08:00:00+00:00,0.0,0.0,0.293,0.279,30.1,49,913.9,8.2
LWG_CHH_03,2023-06-03 09:00:00+00:00,0.0,0.0,0.292,0.279,30.1,48,913.0,7.5
LWG_CHH_03,2023-06-03 10:00:00+00:00,0.1,0.1,0.291,0.278,28.6,54,912.4,8.1
LWG_CHH_03,2023-06-03 11:00:00+00:00,0.0,0.0,0.29,0.278,27.1,65,912.8,8.7
LWG_CHH_03,2023-06-03 12:00:00+00:00,0.0,0.0,0.288,0.28,26.1,68,913.3,2.9
LWG_CHH_03,2023-06-03 13:00:00+00:00,0.1,0.1,0.289,0.28,23.1,86,913.3,5.4
LWG_CHH_03,2023-06-03 14:00:00+00:00,0.0,0.0,0.289,0.28,22.3,89,913.9,5.2
LWG_CHH_03,2023-06-03 15:00:00+00:00,0.0,0.0,0.289,0.28,21.9,90,914.4,3.8
LWG_CHH_03,2023-06-03 16:00:00+00:00,0.0,0.0,0.289,0.28,21.3,93,915.1,3.4
LWG_CHH_03,2023-06-03 17:00:00+00:00,0.0,0.0,0.289,0.28,21.2,93,914.9,2.5
LWG_CHH_03,2023-06-03 18:00:00+00:00,0.2,0.2,0.29,0.28,20.7,100,914.3,2.2
LWG_CHH_03,2023-06-03 19:00:00+00:00,0.0,0.0,0.29,0.28,20.7,99,913.4,4.4
LWG_CHH_03,2023-06-03 20:00:00+00:00,0.0,0.0,0.29,0.28,20.7,98,913.1,2.6
LWG_CHH_03,2023-06-03 21:00:00+00:00,0.0,0.0,0.29,0.28,20.3,100,913.1,1.3
LWG_CHH_03,2023-06-03 22:00:00+00:00,0.0,0.0,0.29,0.28,20.1,100,913.2,2.7
LWG_CHH_03,2023-06-03 23:00:00+00:00,0.0,0.0,0.29,0.28,20.1,99,913.2,3.1
LWG_CHH_03,2023-06-04 00:00:00+00:00,0.0,0.0,0.287,0.279,21.3,95,913.8,3.5
LWG_CHH_03,2023-06-04 01:00:00+00:00,0.0,0.0,0.287,0.279,23.6,85,915.1,1.8
LWG_CHH_03,2023-06-04 02:00:00+00:00,0.0,0.0,0.286,0.279,25.5,76,915.9,0.0
LWG_CHH_03,2023-06-04 03:00:00+00:00,0.1,0.1,0.286,0.278,27.4,65,916.6,3.4
LWG_CHH_03,2023-06-04 04:00:00+00:00,0.1,0.1,0.285,0.278,28.7,57,916.6,6.4
LWG_CHH_03,2023-06-04 05:00:00+00:00,0.1,0.1,0.284,0.277,29.7,52,916.4,8.4
LWG_CHH_03,2023-06-04 06:00:00+00:00,0.0,0.0,0.282,0.277,30.6,47,915.7,8.2
LWG_CHH_03,2023-06-04 07:00:00+00:00,0.0,0.0,0.28,0.276,31.3,43,914.5,9.7
LWG_CHH_03,2023-06-04 08:00:00+00:00,0.0,0.0,0.278,0.276,31.0,44,913.4,9.9
