station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
SMR_TLW_04,2023-06-01 00:00:00+00:00,0.0,0.0,0.304,0.257,19.7,98,894.8,4.0
SMR_TLW_04,2023-06-01 01:00:00+00:00,0.0,0.0,0.303,0.257,21.7,92,896.1,2.2
SMR_TLW_04,2023-06-01 02:00:00+00:00,0.0,0.0,0.302,0.257,23.4,86,897.2,0.8
SMR_TLW_04,2023-06-01 03:00:00+00:00,0.0,0.0,0.301,0.257,24.8,75,897.3,2.6
SMR_TLW_04,2023-06-01 04:00:00+00:00,0.0,0.0,0.299,0.257,26.4,68,897.0,3.6
SMR_TLW_04,2023-06-01 05:00:00+00:00,0.0,0.0,0.297,0.257,28.0,61,896.7,5.2
SMR_TLW_04,2023-06-01 06:00:00+00:00,0.0,0.0,0.294,0.256,28.8,57,896.0,7.2
SMR_TLW_04,2023-06-01 07:00:00+00:00,0.0,0.0,0.291,0.256,29.1,56,894.9,8.4
SMR_TLW_04,2023-06-01 08:00:00+00:00,0.0,0.0,0.288,0.255,29.9,52,894.2,9.8
SMR_TLW_04,2023-06-01 09:00:00+00:00,0.9,0.9,0.293,0.255,27.1,62,893.6,8.8
SMR_TLW_04,2023-06-01 10:00:00+00:00,1.7,1.7,0.307,0.255,23.2,88,893.0,6.5
SMR_TLW_04,2023-06-01 11:00:00+00:00,0.0,0.0,0.307,0.255,23.2,89,893.0,2.2
SMR_TLW_04,2023-06-01 12:00:00+00:00,0.0,0.0,0.283,0.254,24.4,71,893.5,3.9
SMR_TLW_04,2023-06-01 13:00:00+00:00,0.0,0.0,0.282,0.254,22.7,81,893.8,2.7
SMR_TLW_04,2023-06-01 14:00:00+00:00,0.0,0.0,0.282,0.254,22.2,83,894.4,3.0
SMR_TLW_04,2023-06-01 15:00:00+00:00,0.0,0.0,0.282,0.254,21.6,88,894.9,2.2
SMR_TLW_04,2023-06-01 16:00:00+00:00,0.0,0.0,0.282,0.254,21.4,88,895.1,1.9
SMR_TLW_04,2023-06-01 17:00:00+00:00,0.0,0.0,0.282,0.254,20.9,90,895.0,2.6
SMR_TLW_04,2023-06-01 18:00:00+00:00,0.0,0.0,0.281,0.255,20.2,93,894.2,2.8
SMR_TLW_04,2023-06-01 19:00:00+00:00,0.0,0.0,0.281,0.255,19.6,96,893.4,3.3
SMR_TLW_04,2023-06-01 20:00:00+00:00,0.0,0.0,0.281,0.255,18.9,98,892.7,3.6
SMR_TLW_04,2023-06-01 21:00:00+00:00,0.0,0.0,0.281,0.255,18.5,98,892.4,2.9
SMR_TLW_04,2023-06-01 22:00:00+00:00,0.0,0.0,0.281,0.255,18.2,98,892.6,4.0
SMR_TLW_04,2023-06-01 23:00:00+00:00,0.0,0.0,0.28,0.255,17.9,98,893.0,4.3
SMR_TLW_04,2023-06-02 00:00:00+00:00,0.0,0.0,0.279,0.255,19.7,97,894.5,4.3
SMR_TLW_04,2023-06-02 01:00:00+00:00,0.0,0.0,0.278,0.255,22.3,87,895.9,1.8
SMR_TLW_04,2023-06-02 02:00:00+00:00,0.0,0.0,0.277,0.254,24.5,73,896.9,1.9
SMR_TLW_04,2023-06-02 03:00:00+00:00,0.0,0.0,0.276,0.254,25.9,65,897.6,5.0
SMR_TLW_04,2023-06-02 04:00:00+00:00,0.0,0.0,0.274,0.253,27.1,60,897.9,7.0
SMR_TLW_04,2023-06-02 05:00:00+00:00,0.1,0.1,0.272,0.253,27.9,55,897.6,7.2
SMR_TLW_04,2023-06-02 06:00:00+00:00,0.2,0.2,0.271,0.252,28.3,54,896.8,7.2
SMR_TLW_04,2023-06-02 07:00:00+00:00,0.1,0.1,0.27,0.252,28.6,52,895.7,9.4
SMR_TLW_04,2023-06-02 08:00:00+00:00,0.0,0.0,0.268,0.251,28.9,50,894.8,8.3
SMR_TLW_04,2023-06-02 09:00:00+00:00,0.0,0.0,0.266,0.251,29.1,47,894.2,6.9
SMR_TLW_04,2023-06-02 10:00:00+00:00,0.0,0.0,0.264,0.25,28.8,47,893.7,8.3
SMR_TLW_04,2023-06-02 11:00:00+00:00,0.0,0.0,0.263,0.25,27.3,53,893.7,7.1
