station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
DMP_DOY_02,2023-06-01 00:00:00+00:00,0.0,0.0,0.371,0.417,26.3,85,987.7,12.3
DMP_DOY_02,2023-06-01 01:00:00+00:00,0.0,0.0,0.371,0.417,27.3,81,987.7,1.8
DMP_DOY_02,2023-06-01 02:00:00+00:00,0.0,0.0,0.37,0.416,29.0,76,988.4,5.4
DMP_DOY_02,2023-06-01 03:00:00+00:00,0.0,0.0,0.368,0.416,30.8,69,988.1,2.9
DMP_DOY_02,2023-06-01 04:00:00+00:00,0.0,0.0,0.366,0.415,32.7,59,987.5,3.4
DMP_DOY_02,2023-06-01 05:00:00+00:00,0.0,0.0,0.363,0.413,34.0,54,986.5,2.8
DMP_DOY_02,2023-06-01 06:00:00+00:00,0.0,0.0,0.36,0.412,35.2,51,985.6,5.2
DMP_DOY_02,2023-06-01 07:00:00+00:00,0.1,0.1,0.357,0.41,32.5,58,985.1,15.3
DMP_DOY_02,2023-06-01 08:00:00+00:00,0.0,0.0,0.356,0.41,32.4,61,984.2,12.2
DMP_DOY_02,2023-06-01 09:00:00+00:00,0.0,0.0,0.354,0.409,33.0,60,983.7,7.1
DMP_DOY_02,2023-06-01 10:00:00+00:00,0.4,0.4,0.356,0.408,32.8,60,983.1,5.9
DMP_DOY_02,2023-06-01 11:00:00+00:00,0.0,0.0,0.355,0.407,32.9,61,982.7,2.5
DMP_DOY_02,2023-06-01 12:00:00+00:00,0.0,0.0,0.352,0.401,31.2,72,983.7,2.4
DMP_DOY_02,2023-06-01 13:00:00+00:00,0.0,0.0,0.352,0.401,29.9,77,984.1,2.3
DMP_DOY_02,2023-06-01 14:00:00+00:00,0.0,0.0,0.353,0.401,28.4,88,984.7,4.0
DMP_DOY_02,2023-06-01 15:00:00+00:00,0.0,0.0,0.353,0.401,27.9,88,985.8,7.2
DMP_DOY_02,2023-06-01 16:00:00+00:00,0.0,0.0,0.353,0.401,27.8,81,985.9,8.6
DMP_DOY_02,2023-06-01 17:00:00+00:00,0.0,0.0,0.353,0.4,27.5,79,985.9,7.5
DMP_DOY_02,2023-06-01 18:00:00+00:00,0.0,0.0,0.353,0.4,26.8,85,985.3,7.2
DMP_DOY_02,2023-06-01 19:00:00+00:00,0.0,0.0,0.353,0.4,27.1,80,984.6,6.6
DMP_DOY_02,2023-06-01 20:00:00+00:00,0.0,0.0,0.353,0.4,26.3,84,984.2,6.3
DMP_DOY_02,2023-06-01 21:00:00+00:00,0.0,0.0,0.353,0.4,25.6,87,984.1,5.4
DMP_DOY_02,2023-06-01 22:00:00+00:00,0.0,0.0,0.353,0.4,25.4,86,984.3,5.8
DMP_DOY_02,2023-06-01 23:00:00+00:00,0.0,0.0,0.353,0.4,25.3,84,984.9,6.3
DMP_DOY_02,2023-06-02 00:00:00+00:00,0.0,0.0,0.351,0.397,26.9,84,985.8,6.7
DMP_DOY_02,2023-06-02 01:00:00+00:00,0.0,0.0,0.35,0.397,28.6,78,986.6,7.3
DMP_DOY_02,2023-06-02 02:00:00+00:00,0.0,0.0,0.349,0.396,30.6,68,987.5,7.9
DMP_DOY_02,2023-06-02 03:00:00+00:00,0.0,0.0,0.347,0.395,32.4,63,987.5,8.3
DMP_DOY_02,2023-06-02 04:00:00+00:00,0.0,0.0,0.345,0.394,33.8,53,987.4,10.5
DMP_DOY_02,2023-06-02 05:00:00+00:00,0.0,0.0,0.342,0.393,34.6,47,986.8,11.2
DMP_DOY_02,2023-06-02 06:00:00+00:00,0.1,0.1,0.339,0.392,35.4,43,986.1,11.7
DMP_DOY_02,2023-06-02 07:00:00+00:00,0.1,0.1,0.337,0.391,35.4,42,984.9,12.3
DMP_DOY_02,2023-06-02 08:00:00+00:00,0.2,0.2,0.336,0.389,35.2,43,983.9,11.6
DMP_DOY_02,2023-06-02 09:00:00+00:00,0.1,0.1,0.335,0.388,35.7,42,983.1,8.2
DMP_DOY_02,2023-06-02 10:00:00+00:00,0.1,0.1,0.334,0.388,35.2,45,982.4,7.4
DMP_DOY_02,2023-06-02 11:00:00+00:00,0.0,0.0,0.332,0.387,33.8,55,982.2,5.9
DMP_DOY_02,2023-06-02 12:00:00+00:00,0.0,0.0,0.326,0.386,31.2,65,983.5,6.4
DMP_DOY_02,2023-06-02 13:00:00+00:00,0.0,0.0,0.326,0.386,29.1,71,984.2,7.4
DMP_DOY_02,2023-06-02 14:00:00+00:00,0.0,0.0,0.326,0.385,30.6,59,985.5,1.0
DMP_DOY_02,2023-06-02 15:00:00+00:00,0.0,0.0,0.326,0.385,28.3,75,986.4,5.2
DMP_DOY_02,2023-06-02 16:00:00+00:00,0.0,0.0,0.326,0.385,27.4,77,986.9,3.2
DMP_DOY_02,2023-06-02 17:00:00+00:00,0.0,0.0,0.326,0.385,26.9,73,987.2,7.9
DMP_DOY_02,2023-06-02 18:00:00+00:00,0.0,0.0,0.326,0.385,26.7,72,987.2,7.2
DMP_DOY_02,2023-06-02 19:00:00+00:00,0.0,0.0,0.326,0.385,26.1,79,986.8,4.4
DMP_DOY_02,2023-06-02 20:00:00+00:00,0.0,0.0,0.326,0.385,25.9,82,986.4,10.6
DMP_DOY_02,2023-06-02 21:00:00+00:00,0.0,0.0,0.326,0.385,25.6,86,986.1,5.8
DMP_DOY_02,2023-06-02 22:00:00+00:00,0.0,0.0,0.327,0.385,25.0,89,986.1,5.0
DMP_DOY_02,2023-06-02 23:00:00+00:00,0.0,0.0,0.327,0.385,24.1,93,986.6,6.5
DMP_DOY_02,2023-06-03 00:00:00+00:00,0.0,0.0,0.325,0.383,25.6,90,987.4,6.2
DMP_DOY_02,2023-06-03 01:00:00+00:00,0.0,0.0,0.325,0.383,27.0,84,988.0,4.7
DMP_DOY_02,2023-06-03 02:00:00+00:00,0.0,0.0,0.324,0.382,29.1,75,988.5,5.8
DMP_DOY_02,2023-06-03 03:00:00+00:00,0.0,0.0,0.322,0.382,30.9,68,989.1,7.4
DMP_DOY_02,2023-06-03 04:00:00+00:00,0.0,0.0,0.32,0.38,32.3,64,989.0,6.8
DMP_DOY_02,2023-06-03 05:00:00+00:00,0.0,0.0,0.317,0.379,33.5,60,988.6,2.5
DMP_DOY_02,2023-06-03 06:00:00+00:00,0.0,0.0,0.315,0.378,34.8,49,987.8,4.7
DMP_DOY_02,2023-06-03 07:00:00+00:00,0.0,0.0,0.312,0.377,35.5,40,986.7,5.2
DMP_DOY_02,2023-06-03 08:00:00+00:00,0.0,0.0,0.31,0.376,35.9,39,985.4,6.9
DMP_DOY_02,2023-06-03 09:00:00+00:00,0.0,0.0,0.307,0.375,35.8,39,984.3,7.9
DMP_DOY_02,2023-06-03 10:00:00+00:00,0.0,0.0,0.306,0.374,35.1,42,983.7,8.2
