station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
MOK_DOY_03,2023-06-01 00:00:00+00:00,0.0,0.0,0.45,0.438,20.0,89,870.9,5.3
MOK_DOY_03,2023-06-01 01:00:00+00:00,0.0,0.0,0.449,0.437,23.1,75,872.5,4.1
MOK_DOY_03,2023-06-01 02:00:00+00:00,0.0,0.0,0.449,0.437,23.9,68,873.3,6.0
MOK_DOY_03,2023-06-01 03:00:00+00:00,0.0,0.0,0.447,0.437,24.2,68,873.5,7.9
MOK_DOY_03,2023-06-01 04:00:00+00:00,0.0,0.0,0.445,0.436,25.0,68,873.4,7.8
MOK_DOY_03,2023-06-01 05:00:00+00:00,0.0,0.0,0.443,0.435,26.0,67,873.1,5.8
MOK_DOY_03,2023-06-01 06:00:00+00:00,0.7,0.7,0.446,0.435,24.6,69,872.2,9.8
MOK_DOY_03,2023-06-01 07:00:00+00:00,0.3,0.3,0.447,0.434,23.3,75,871.1,5.8
MOK_DOY_03,2023-06-01 08:00:00+00:00,0.3,0.3,0.448,0.434,25.2,69,870.5,4.7
MOK_DOY_03,2023-06-01 09:00:00+00:00,0.5,0.5,0.45,0.434,24.0,75,870.0,6.9
MOK_DOY_03,2023-06-01 10:00:00+00:00,0.0,0.0,0.449,0.433,24.5,73,869.5,5.9
MOK_DOY_03,2023-06-01 11:00:00+00:00,0.0,0.0,0.448,0.433,24.4,74,869.2,5.4
MOK_DOY_03,2023-06-01 12:00:00+00:00,0.0,0.0,0.448,0.432,22.2,86,869.3,4.7
MOK_DOY_03,2023-06-01 13:00:00+00:00,0.0,0.0,0.448,0.432,21.6,85,869.2,4.4
MOK_DOY_03,2023-06-01 14:00:00+00:00,0.0,0.0,0.447,0.432,21.3,82,869.8,5.5
MOK_DOY_03,2023-06-01 15:00:00+00:00,0.0,0.0,0.447,0.432,20.6,83,870.2,5.5
MOK_DOY_03,2023-06-01 16:00:00+00:00,0.0,0.0,0.447,0.432,20.2,83,870.0,6.0
