station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
WKH_TIZ_04,2023-06-01 00:00:00+00:00,0.0,0.0,0.396,0.399,19.9,88,856.5,5.1
WKH_TIZ_04,2023-06-01 01:00:00+00:00,0.0,0.0,0.395,0.399,22.0,76,857.7,2.9
WKH_TIZ_04,2023-06-01 02:00:00+00:00,0.0,0.0,0.394,0.398,23.2,67,858.6,5.8
WKH_TIZ_04,2023-06-01 03:00:00+00:00,0.0,0.0,0.393,0.398,24.2,62,858.9,6.8
WKH_TIZ_04,2023-06-01 04:00:00+00:00,0.0,0.0,0.391,0.397,25.4,58,858.8,6.5
WKH_TIZ_04,2023-06-01 05:00:00+00:00,0.0,0.0,0.389,0.396,25.9,58,858.5,7.5
WKH_TIZ_04,2023-06-01 06:00:00+00:00,0.0,0.0,0.387,0.395,26.3,57,857.9,7.8
WKH_TIZ_04,2023-06-01 07:00:00+00:00,0.1,0.1,0.385,0.394,26.3,56,856.8,8.5
WKH_TIZ_04,2023-06-01 08:00:00+00:00,0.6,0.6,0.388,0.393,24.2,62,855.8,9.3
WKH_TIZ_04,2023-06-01 09:00:00+00:00,0.6,0.6,0.391,0.393,22.7,70,855.1,3.8
WKH_TIZ_04,2023-06-01 10:00:00+00:00,0.0,0.0,0.391,0.392,23.3,69,854.6,3.1
WKH_TIZ_04,2023-06-01 11:00:00+00:00,0.0,0.0,0.39,0.392,23.3,68,854.4,2.5
WKH_TIZ_04,2023-06-01 12:00:00+00:00,0.0,0.0,0.394,0.393,21.9,79,854.6,2.4
WKH_TIZ_04,2023-06-01 13:00:00+00:00,0.0,0.0,0.394,0.393,20.8,89,854.4,2.1
WKH_TIZ_04,2023-06-01 14:00:00+00:00,0.0,0.0,0.394,0.393,20.1,92,854.8,3.2
WKH_TIZ_04,2023-06-01 15:00:00+00:00,0.0,0.0,0.394,0.392,19.6,96,855.4,2.5
WKH_TIZ_04,2023-06-01 16:00:00+00:00,0.0,0.0,0.394,0.392,19.4,97,855.4,3.8
WKH_TIZ_04,2023-06-01 17:00:00+00:00,0.0,0.0,0.394,0.392,19.1,97,855.2,4.8
WKH_TIZ_04,2023-06-01 18:00:00+00:00,5.2,5.2,0.46,0.393,18.1,97,854.9,4.4
WKH_TIZ_04,2023-06-01 19:00:00+00:00,0.0,0.0,0.458,0.393,18.3,96,854.0,5.3
WKH_TIZ_04,2023-06-01 20:00:00+00:00,0.0,0.0,0.457,0.393,18.5,95,853.7,4.2
WKH_TIZ_04,2023-06-01 21:00:00+00:00,0.0,0.0,0.456,0.394,18.6,92,853.5,4.6
WKH_TIZ_04,2023-06-01 22:00:00+00:00,0.0,0.0,0.455,0.394,18.0,94,853.4,3.8
WKH_TIZ_04,2023-06-01 23:00:00+00:00,0.0,0.0,0.453,0.395,17.6,94,853.4,3.7
WKH_TIZ_04,2023-06-02 00:00:00+00:00,0.0,0.0,0.386,0.391,19.8,89,855.2,4.8
WKH_TIZ_04,2023-06-02 01:00:00+00:00,0.0,0.0,0.385,0.391,22.3,76,857.0,1.8
WKH_TIZ_04,2023-06-02 02:00:00+00:00,0.0,0.0,0.385,0.391,24.1,61,858.1,5.1
WKH_TIZ_04,2023-06-02 03:00:00+00:00,0.0,0.0,0.383,0.39,25.0,53,858.7,11.9
WKH_TIZ_04,2023-06-02 04:00:00+00:00,0.0,0.0,0.381,0.39,24.9,53,858.8,11.3
WKH_TIZ_04,2023-06-02 05:00:00+00:00,0.0,0.0,0.38,0.389,25.6,49,858.8,10.4
WKH_TIZ_04,2023-06-02 06:00:00+00:00,0.4,0.4,0.381,0.388,26.1,47,858.2,11.2
WKH_TIZ_04,2023-06-02 07:00:00+00:00,0.1,0.1,0.38,0.387,26.8,44,857.4,11.3
WKH_TIZ_04,2023-06-02 08:00:00+00:00,0.0,0.0,0.378,0.386,26.9,44,856.6,10.8
WKH_TIZ_04,2023-06-02 09:00:00+00:00,0.0,0.0,0.376,0.386,26.5,46,856.0,7.9
WKH_TIZ_04,2023-06-02 10:00:00+00:00,0.0,0.0,0.374,0.385,26.3,46,855.4,7.3
WKH_TIZ_04,2023-06-02 11:00:00+00:00,0.0,0.0,0.373,0.385,25.6,49,855.1,6.6
WKH_TIZ_04,2023-06-02 12:00:00+00:00,0.0,0.0,0.373,0.384,23.6,57,855.4,4.8
WKH_TIZ_04,2023-06-02 13:00:00+00:00,0.0,0.0,0.373,0.383,22.0,73,855.3,2.2
WKH_TIZ_04,2023-06-02 14:00:00+00:00,0.0,0.0,0.373,0.383,21.4,70,855.9,0.7
WKH_TIZ_04,2023-06-02 15:00:00+00:00,0.0,0.0,0.373,0.383,20.7,73,856.1,1.1
WKH_TIZ_04,2023-06-02 16:00:00+00:00,0.0,0.0,0.373,0.383,20.1,77,856.3,0.7
WKH_TIZ_04,2023-06-02 17:00:00+00:00,0.0,0.0,0.373,0.383,19.7,76,856.1,1.5
WKH_TIZ_04,2023-06-02 18:00:00+00:00,0.0,0.0,0.373,0.383,19.2,76,855.9,3.5
WKH_TIZ_04,2023-06-02 19:00:00+00:00,0.0,0.0,0.373,0.383,18.5,83,855.6,2.8
WKH_TIZ_04,2023-06-02 20:00:00+00:00,0.0,0.0,0.373,0.383,18.2,88,855.2,0.8
WKH_TIZ_04,2023-06-02 21:00:00+00:00,0.0,0.0,0.373,0.383,17.5,89,854.7,2.6
WKH_TIZ_04,2023-06-02 22:00:00+00:00,0.0,0.0,0.373,0.383,17.3,90,854.5,4.9
WKH_TIZ_04,2023-06-02 23:00:00+00:00,0.0,0.0,0.373,0.383,17.0,90,854.5,4.8
WKH_TIZ_04,2023-06-03 00:00:00+00:00,0.0,0.0,0.367,0.382,19.1,85,856.2,5.0
WKH_TIZ_04,2023-06-03 01:00:00+00:00,0.0,0.0,0.366,0.382,22.0,70,857.8,2.3
WKH_TIZ_04,2023-06-03 02:00:00+00:00,0.1,0.1,0.366,0.381,23.7,60,858.7,3.2
WKH_TIZ_04,2023-06-03 03:00:00+00:00,0.1,0.1,0.365,0.381,24.7,53,859.6,7.2
WKH_TIZ_04,2023-06-03 04:00:00+00:00,0.2,0.2,0.365,0.38,24.3,58,859.8,9.6
WKH_TIZ_04,2023-06-03 05:00:00+00:00,0.1,0.1,0.364,0.379,24.6,60,859.8,7.7
WKH_TIZ_04,2023-06-03 06:00:00+00:00,0.1,0.1,0.363,0.378,25.7,54,859.6,8.1
WKH_TIZ_04,2023-06-03 07:00:00+00:00,0.0,0.0,0.362,0.377,26.1,51,858.7,8.2
WKH_TIZ_04,2023-06-03 08:00:00+00:00,0.2,0.2,0.361,0.377,26.0,49,857.9,8.7
