station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,latitude,longitude,role
KHM_DHN_01,2023-06-01 00:00:00+00:00,0.0,0.0,0.453,0.462,18.4,84,853.8,2.9,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 01:00:00+00:00,0.0,0.0,0.453,0.462,21.6,82,855.5,2.3,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 02:00:00+00:00,0.0,0.0,0.452,0.461,22.9,73,856.6,2.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 03:00:00+00:00,0.0,0.0,0.45,0.461,23.8,69,856.9,4.0,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 04:00:00+00:00,0.4,0.4,0.451,0.46,25.1,65,856.9,6.5,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 05:00:00+00:00,0.3,0.3,0.452,0.459,24.9,69,856.4,5.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 06:00:00+00:00,0.1,0.1,0.45,0.458,26.1,64,855.9,6.4,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 07:00:00+00:00,0.1,0.1,0.449,0.457,26.3,62,854.9,8.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 08:00:00+00:00,0.4,0.4,0.449,0.457,24.9,65,854.0,10.1,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 09:00:00+00:00,0.1,0.1,0.449,0.456,24.2,73,853.5,8.6,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 10:00:00+00:00,0.0,0.0,0.448,0.456,24.0,76,852.9,5.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 11:00:00+00:00,0.0,0.0,0.447,0.455,23.4,79,852.5,4.8,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 12:00:00+00:00,0.0,0.0,0.446,0.456,21.8,93,852.7,2.1,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 13:00:00+00:00,0.0,0.0,0.446,0.456,20.2,94,852.5,2.5,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 14:00:00+00:00,0.0,0.0,0.447,0.456,19.3,96,852.5,2.5,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 15:00:00+00:00,0.7,0.7,0.452,0.456,19.0,92,853.5,1.8,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 16:00:00+00:00,0.1,0.1,0.453,0.455,18.9,93,853.4,3.4,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 17:00:00+00:00,0.0,0.0,0.453,0.455,18.9,92,853.3,4.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 18:00:00+00:00,0.0,0.0,0.453,0.455,18.6,91,852.8,2.3,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 19:00:00+00:00,0.0,0.0,0.453,0.455,18.8,91,852.4,5.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 20:00:00+00:00,0.0,0.0,0.453,0.455,18.7,90,851.8,5.6,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 21:00:00+00:00,0.0,0.0,0.453,0.455,18.4,86,851.5,4.6,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 22:00:00+00:00,0.0,0.0,0.453,0.455,17.8,87,851.3,4.9,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-01 23:00:00+00:00,0.0,0.0,0.453,0.455,17.0,89,851.3,6.7,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 00:00:00+00:00,0.0,0.0,0.447,0.453,19.5,78,853.3,5.8,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 01:00:00+00:00,0.0,0.0,0.447,0.453,22.3,76,855.1,2.3,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 02:00:00+00:00,0.0,0.0,0.445,0.452,23.9,63,856.2,3.9,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 03:00:00+00:00,0.0,0.0,0.443,0.452,25.1,54,856.6,8.4,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 04:00:00+00:00,0.0,0.0,0.441,0.451,25.7,53,856.9,9.7,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 05:00:00+00:00,0.1,0.1,0.439,0.45,26.0,53,856.7,8.7,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 06:00:00+00:00,0.2,0.2,0.438,0.449,26.3,51,856.2,8.9,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 07:00:00+00:00,0.6,0.6,0.44,0.448,26.1,54,855.1,8.7,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 08:00:00+00:00,0.5,0.5,0.442,0.447,25.4,61,854.4,5.9,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 09:00:00+00:00,0.0,0.0,0.44,0.447,26.1,57,854.0,4.8,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 10:00:00+00:00,0.0,0.0,0.438,0.446,25.8,58,853.3,6.8,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 11:00:00+00:00,0.0,0.0,0.437,0.446,24.8,65,852.9,6.1,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 12:00:00+00:00,0.1,0.1,0.431,0.447,22.2,83,853.2,3.7,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 13:00:00+00:00,0.0,0.0,0.431,0.447,20.2,89,852.9,3.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 14:00:00+00:00,0.0,0.0,0.432,0.447,19.6,92,853.5,3.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 15:00:00+00:00,0.0,0.0,0.432,0.447,18.9,91,853.7,1.6,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 16:00:00+00:00,0.0,0.0,0.432,0.447,18.4,89,853.9,2.6,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 17:00:00+00:00,0.0,0.0,0.432,0.447,18.2,86,853.9,4.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 18:00:00+00:00,0.0,0.0,0.432,0.447,17.7,84,853.3,4.1,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 19:00:00+00:00,0.0,0.0,0.432,0.447,17.3,82,852.7,2.9,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 20:00:00+00:00,0.0,0.0,0.432,0.447,16.8,82,852.3,3.5,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 21:00:00+00:00,0.0,0.0,0.432,0.447,16.4,85,852.1,5.8,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 22:00:00+00:00,0.0,0.0,0.432,0.447,16.1,87,851.6,5.8,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-02 23:00:00+00:00,0.0,0.0,0.432,0.447,16.2,88,852.0,4.9,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 00:00:00+00:00,0.0,0.0,0.431,0.447,18.2,86,853.7,5.3,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 01:00:00+00:00,0.0,0.0,0.431,0.447,22.1,73,855.9,1.9,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 02:00:00+00:00,0.0,0.0,0.43,0.447,23.3,67,856.7,5.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 03:00:00+00:00,0.0,0.0,0.428,0.446,24.5,58,857.6,8.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 04:00:00+00:00,0.1,0.1,0.427,0.445,25.4,54,857.9,9.0,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 05:00:00+00:00,0.2,0.2,0.426,0.444,25.7,52,857.8,10.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 06:00:00+00:00,0.5,0.5,0.428,0.443,25.8,53,857.5,9.5,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 07:00:00+00:00,0.3,0.3,0.428,0.443,24.6,61,856.5,6.2,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 08:00:00+00:00,0.1,0.1,0.427,0.442,25.5,57,855.8,7.6,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 09:00:00+00:00,0.2,0.2,0.427,0.441,25.4,58,855.0,7.1,1444.0,28.0,300.0,420.0,25.67,94.11,train
KHM_DHN_01,2023-06-03 10:00:00+00:00,0.1,0.1,0.426,0.441,24.9,60,854.4,7.5,1444.0,28.0,300.0,420.0,25.67,94.11,train
