station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
CHG_GLF_04,2023-06-01 00:00:00+00:00,0.0,0.0,0.38,0.376,12.4,92,761.0,4.5
CHG_GLF_04,2023-06-01 01:00:00+00:00,0.0,0.0,0.38,0.376,15.5,72,763.6,1.0
CHG_GLF_04,2023-06-01 02:00:00+00:00,0.0,0.0,0.379,0.375,15.8,83,764.4,3.1
CHG_GLF_04,2023-06-01 03:00:00+00:00,0.0,0.0,0.379,0.375,17.1,76,765.4,2.9
CHG_GLF_04,2023-06-01 04:00:00+00:00,0.0,0.0,0.377,0.375,18.9,69,766.1,4.4
CHG_GLF_04,2023-06-01 05:00:00+00:00,0.1,0.1,0.375,0.374,19.6,63,766.1,4.9
CHG_GLF_04,2023-06-01 06:00:00+00:00,0.1,0.1,0.374,0.374,20.2,58,766.0,4.2
CHG_GLF_04,2023-06-01 07:00:00+00:00,0.1,0.1,0.372,0.373,19.6,62,765.2,4.8
CHG_GLF_04,2023-06-01 08:00:00+00:00,0.2,0.2,0.371,0.372,18.9,66,764.1,3.7
CHG_GLF_04,2023-06-01 09:00:00+00:00,0.4,0.4,0.372,0.372,17.7,70,762.9,3.4
CHG_GLF_04,2023-06-01 10:00:00+00:00,0.1,0.1,0.371,0.372,17.3,74,761.9,3.2
CHG_GLF_04,2023-06-01 11:00:00+00:00,0.0,0.0,0.37,0.372,17.1,74,761.4,3.7
CHG_GLF_04,2023-06-01 12:00:00+00:00,0.0,0.0,0.38,0.373,15.0,85,761.3,2.7
CHG_GLF_04,2023-06-01 13:00:00+00:00,0.9,0.9,0.388,0.373,14.1,97,761.4,3.1
CHG_GLF_04,2023-06-01 14:00:00+00:00,0.4,0.4,0.39,0.373,13.5,98,761.7,1.8
CHG_GLF_04,2023-06-01 15:00:00+00:00,0.0,0.0,0.389,0.374,14.2,89,762.5,2.8
CHG_GLF_04,2023-06-01 16:00:00+00:00,0.0,0.0,0.388,0.374,14.6,85,762.7,1.5
CHG_GLF_04,2023-06-01 17:00:00+00:00,0.1,0.1,0.387,0.374,14.8,81,762.8,2.0
CHG_GLF_04,2023-06-01 18:00:00+00:00,0.5,0.5,0.391,0.374,14.2,84,762.3,1.6
CHG_GLF_04,2023-06-01 19:00:00+00:00,0.2,0.2,0.391,0.374,14.3,81,761.6,2.3
