station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
GNG_TST_01,2023-06-01 00:00:00+00:00,0.0,0.0,0.388,0.378,18.2,75,850.0,3.3
GNG_TST_01,2023-06-01 01:00:00+00:00,0.1,0.1,0.389,0.378,18.6,87,850.4,2.9
GNG_TST_01,2023-06-01 02:00:00+00:00,0.0,0.0,0.388,0.378,20.4,83,851.7,2.4
GNG_TST_01,2023-06-01 03:00:00+00:00,0.0,0.0,0.386,0.378,22.3,72,852.4,2.4
GNG_TST_01,2023-06-01 04:00:00+00:00,0.0,0.0,0.384,0.377,24.7,60,852.7,3.2
GNG_TST_01,2023-06-01 05:00:00+00:00,0.1,0.1,0.382,0.377,25.5,57,852.4,4.7
GNG_TST_01,2023-06-01 06:00:00+00:00,0.5,0.5,0.383,0.376,26.0,59,852.1,6.2
GNG_TST_01,2023-06-01 07:00:00+00:00,1.6,1.6,0.393,0.376,24.8,66,851.3,1.8
GNG_TST_01,2023-06-01 08:00:00+00:00,0.9,0.9,0.397,0.376,24.6,65,850.1,7.1
GNG_TST_01,2023-06-01 09:00:00+00:00,1.2,1.2,0.403,0.377,23.6,73,849.4,0.7
GNG_TST_01,2023-06-01 10:00:00+00:00,0.5,0.5,0.403,0.377,22.8,70,848.4,3.4
GNG_TST_01,2023-06-01 11:00:00+00:00,0.0,0.0,0.4,0.378,22.2,79,848.0,0.8
GNG_TST_01,2023-06-01 12:00:00+00:00,0.0,0.0,0.438,0.398,18.5,85,848.6,5.2
GNG_TST_01,2023-06-01 13:00:00+00:00,0.5,0.5,0.429,0.403,17.3,92,848.5,5.4
GNG_TST_01,2023-06-01 14:00:00+00:00,4.6,4.6,0.433,0.416,16.5,100,849.1,5.1
GNG_TST_01,2023-06-01 15:00:00+00:00,3.4,3.4,0.437,0.425,16.0,99,848.9,3.8
GNG_TST_01,2023-06-01 16:00:00+00:00,1.0,1.0,0.428,0.428,15.3,99,848.1,4.2
GNG_TST_01,2023-06-01 17:00:00+00:00,0.0,0.0,0.425,0.427,15.5,86,848.0,4.0
GNG_TST_01,2023-06-01 18:00:00+00:00,0.0,0.0,0.422,0.426,15.5,84,847.6,5.5
GNG_TST_01,2023-06-01 19:00:00+00:00,0.0,0.0,0.42,0.425,13.7,96,846.0,6.2
GNG_TST_01,2023-06-01 20:00:00+00:00,0.0,0.0,0.418,0.424,14.7,84,846.4,5.5
GNG_TST_01,2023-06-01 21:00:00+00:00,0.0,0.0,0.416,0.423,14.7,83,846.3,5.4
GNG_TST_01,2023-06-01 22:00:00+00:00,0.0,0.0,0.414,0.423,13.4,98,845.7,7.9
GNG_TST_01,2023-06-01 23:00:00+00:00,0.1,0.1,0.414,0.422,12.7,99,845.8,9.0
GNG_TST_01,2023-06-02 00:00:00+00:00,0.1,0.1,0.407,0.407,14.3,98,847.4,6.8
GNG_TST_01,2023-06-02 01:00:00+00:00,0.1,0.1,0.406,0.407,18.0,88,849.9,5.2
GNG_TST_01,2023-06-02 02:00:00+00:00,0.0,0.0,0.405,0.406,19.7,86,851.3,3.9
GNG_TST_01,2023-06-02 03:00:00+00:00,0.2,0.2,0.404,0.406,21.4,67,852.1,3.5
GNG_TST_01,2023-06-02 04:00:00+00:00,0.1,0.1,0.403,0.405,23.6,56,852.6,1.1
GNG_TST_01,2023-06-02 05:00:00+00:00,0.3,0.3,0.402,0.404,25.0,52,852.5,5.2
GNG_TST_01,2023-06-02 06:00:00+00:00,0.5,0.5,0.402,0.403,25.2,55,852.3,4.7
GNG_TST_01,2023-06-02 07:00:00+00:00,0.2,0.2,0.4,0.403,25.6,55,851.8,6.0
GNG_TST_01,2023-06-02 08:00:00+00:00,1.4,1.4,0.408,0.402,23.9,64,850.7,4.1
GNG_TST_01,2023-06-02 09:00:00+00:00,0.3,0.3,0.408,0.402,24.4,62,849.8,1.8
GNG_TST_01,2023-06-02 10:00:00+00:00,0.9,0.9,0.411,0.402,23.3,66,849.1,1.5
GNG_TST_01,2023-06-02 11:00:00+00:00,0.1,0.1,0.409,0.402,22.3,78,848.2,1.8
GNG_TST_01,2023-06-02 12:00:00+00:00,0.0,0.0,0.41,0.404,20.6,86,848.5,3.3
GNG_TST_01,2023-06-02 13:00:00+00:00,0.4,0.4,0.41,0.404,17.7,87,847.6,3.9
GNG_TST_01,2023-06-02 14:00:00+00:00,0.1,0.1,0.409,0.404,20.3,70,849.6,2.4
GNG_TST_01,2023-06-02 15:00:00+00:00,0.1,0.1,0.408,0.404,15.9,88,848.5,3.9
GNG_TST_01,2023-06-02 16:00:00+00:00,0.6,0.6,0.412,0.404,15.6,89,849.2,5.0
GNG_TST_01,2023-06-02 17:00:00+00:00,1.1,1.1,0.421,0.405,14.0,99,848.9,6.9
GNG_TST_01,2023-06-02 18:00:00+00:00,0.0,0.0,0.418,0.406,13.6,99,848.2,7.2
