station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
JRT_TST_05,2023-06-01 00:00:00+00:00,0.0,0.0,0.332,0.329,24.3,89,959.0,2.3
JRT_TST_05,2023-06-01 01:00:00+00:00,0.0,0.0,0.332,0.329,24.5,94,959.9,0.4
JRT_TST_05,2023-06-01 02:00:00+00:00,0.0,0.0,0.332,0.329,26.0,88,960.4,1.3
JRT_TST_05,2023-06-01 03:00:00+00:00,0.0,0.0,0.33,0.328,27.5,81,960.4,1.5
JRT_TST_05,2023-06-01 04:00:00+00:00,0.0,0.0,0.328,0.328,29.2,74,960.1,3.1
JRT_TST_05,2023-06-01 05:00:00+00:00,0.1,0.1,0.324,0.327,30.5,70,959.3,3.6
JRT_TST_05,2023-06-01 06:00:00+00:00,0.0,0.0,0.32,0.327,32.1,66,958.3,6.2
JRT_TST_05,2023-06-01 07:00:00+00:00,0.1,0.1,0.317,0.326,31.8,64,957.6,7.0
JRT_TST_05,2023-06-01 08:00:00+00:00,0.0,0.0,0.314,0.325,30.7,70,956.9,5.8
JRT_TST_05,2023-06-01 09:00:00+00:00,0.0,0.0,0.31,0.324,30.8,74,955.9,4.8
JRT_TST_05,2023-06-01 10:00:00+00:00,0.3,0.3,0.311,0.324,28.7,81,955.4,5.2
JRT_TST_05,2023-06-01 11:00:00+00:00,0.0,0.0,0.31,0.324,27.8,87,955.4,3.4
JRT_TST_05,2023-06-01 12:00:00+00:00,0.0,0.0,0.306,0.322,26.3,89,957.1,5.8
JRT_TST_05,2023-06-01 13:00:00+00:00,0.0,0.0,0.306,0.322,24.8,96,957.5,2.7
JRT_TST_05,2023-06-01 14:00:00+00:00,0.0,0.0,0.306,0.322,24.5,96,958.3,3.6
JRT_TST_05,2023-06-01 15:00:00+00:00,0.0,0.0,0.306,0.322,24.5,95,958.9,2.6
JRT_TST_05,2023-06-01 16:00:00+00:00,0.0,0.0,0.306,0.322,24.7,88,959.0,3.4
JRT_TST_05,2023-06-01 17:00:00+00:00,0.0,0.0,0.307,0.321,24.5,83,958.9,1.6
JRT_TST_05,2023-06-01 18:00:00+00:00,0.0,0.0,0.307,0.321,22.8,89,958.1,3.4
JRT_TST_05,2023-06-01 19:00:00+00:00,0.0,0.0,0.307,0.321,22.2,92,957.5,1.9
JRT_TST_05,2023-06-01 20:00:00+00:00,0.1,0.1,0.308,0.321,22.3,88,956.9,5.1
JRT_TST_05,2023-06-01 21:00:00+00:00,0.0,0.0,0.308,0.321,24.4,77,956.9,3.6
JRT_TST_05,2023-06-01 22:00:00+00:00,0.0,0.0,0.309,0.321,24.2,75,956.7,3.1
JRT_TST_05,2023-06-01 23:00:00+00:00,0.0,0.0,0.309,0.321,24.3,71,957.1,2.5
JRT_TST_05,2023-06-02 00:00:00+00:00,0.0,0.0,0.317,0.32,23.6,78,958.3,3.5
JRT_TST_05,2023-06-02 01:00:00+00:00,0.0,0.0,0.317,0.32,24.8,78,959.2,3.1
JRT_TST_05,2023-06-02 02:00:00+00:00,0.1,0.1,0.317,0.32,26.5,77,960.0,1.5
JRT_TST_05,2023-06-02 03:00:00+00:00,0.0,0.0,0.315,0.32,27.6,72,960.1,1.5
JRT_TST_05,2023-06-02 04:00:00+00:00,0.0,0.0,0.313,0.319,28.7,67,960.3,2.0
JRT_TST_05,2023-06-02 05:00:00+00:00,0.0,0.0,0.309,0.319,30.3,63,959.6,3.7
JRT_TST_05,2023-06-02 06:00:00+00:00,0.0,0.0,0.305,0.318,31.3,62,959.1,2.7
JRT_TST_05,2023-06-02 07:00:00+00:00,0.0,0.0,0.301,0.317,31.9,57,957.9,7.0
JRT_TST_05,2023-06-02 08:00:00+00:00,0.0,0.0,0.297,0.316,31.4,56,957.2,4.7
JRT_TST_05,2023-06-02 09:00:00+00:00,0.0,0.0,0.294,0.315,31.4,57,956.1,4.8
JRT_TST_05,2023-06-02 10:00:00+00:00,0.0,0.0,0.291,0.315,30.3,65,955.8,5.4
JRT_TST_05,2023-06-02 11:00:00+00:00,0.0,0.0,0.29,0.314,29.6,70,955.4,3.8
JRT_TST_05,2023-06-02 12:00:00+00:00,0.0,0.0,0.286,0.312,28.5,76,956.5,2.5
JRT_TST_05,2023-06-02 13:00:00+00:00,0.0,0.0,0.286,0.312,27.7,80,957.1,1.4
JRT_TST_05,2023-06-02 14:00:00+00:00,0.0,0.0,0.286,0.312,27.2,81,957.9,1.3
JRT_TST_05,2023-06-02 15:00:00+00:00,0.0,0.0,0.287,0.312,26.4,83,958.7,3.1
JRT_TST_05,2023-06-02 16:00:00+00:00,0.0,0.0,0.287,0.312,26.0,82,959.4,2.9
JRT_TST_05,2023-06-02 17:00:00+00:00,0.0,0.0,0.287,0.311,25.5,83,959.7,2.0
JRT_TST_05,2023-06-02 18:00:00+00:00,1.1,1.1,0.299,0.311,24.6,84,959.7,1.1
JRT_TST_05,2023-06-02 19:00:00+00:00,0.1,0.1,0.3,0.311,23.9,85,959.3,1.9
JRT_TST_05,2023-06-02 20:00:00+00:00,0.0,0.0,0.3,0.311,21.9,89,958.7,2.9
JRT_TST_05,2023-06-02 21:00:00+00:00,0.0,0.0,0.3,0.311,23.3,83,958.6,1.5
JRT_TST_05,2023-06-02 22:00:00+00:00,0.0,0.0,0.3,0.311,23.1,82,958.7,2.4
JRT_TST_05,2023-06-02 23:00:00+00:00,0.0,0.0,0.301,0.311,22.9,80,959.1,1.6
JRT_TST_05,2023-06-03 00:00:00+00:00,0.0,0.0,0.293,0.314,22.3,87,960.3,1.0
JRT_TST_05,2023-06-03 01:00:00+00:00,0.0,0.0,0.293,0.314,23.5,87,961.1,0.8
JRT_TST_05,2023-06-03 02:00:00+00:00,0.0,0.0,0.292,0.313,24.9,83,962.0,3.1
JRT_TST_05,2023-06-03 03:00:00+00:00,0.0,0.0,0.291,0.313,26.1,78,962.3,3.7
JRT_TST_05,2023-06-03 04:00:00+00:00,0.0,0.0,0.288,0.312,27.0,76,962.3,3.9
JRT_TST_05,2023-06-03 05:00:00+00:00,0.0,0.0,0.285,0.312,28.4,69,961.6,4.2
JRT_TST_05,2023-06-03 06:00:00+00:00,0.0,0.0,0.281,0.311,29.6,66,960.8,5.1
JRT_TST_05,2023-06-03 07:00:00+00:00,0.0,0.0,0.277,0.31,30.8,65,959.9,3.8
JRT_TST_05,2023-06-03 08:00:00+00:00,0.1,0.1,0.274,0.309,31.1,65,958.8,3.8
JRT_TST_05,2023-06-03 09:00:00+00:00,0.0,0.0,0.271,0.308,31.4,61,957.8,4.8
JRT_TST_05,2023-06-03 10:00:00+00:00,0.1,0.1,0.27,0.308,30.0,65,957.3,6.3
JRT_TST_05,2023-06-03 11:00:00+00:00,0.1,0.1,0.269,0.307,28.9,70,957.2,4.8
JRT_TST_05,2023-06-03 12:00:00+00:00,0.0,0.0,0.275,0.307,26.4,82,958.8,4.2
JRT_TST_05,2023-06-03 13:00:00+00:00,0.0,0.0,0.275,0.307,25.5,82,958.9,3.6
JRT_TST_05,2023-06-03 14:00:00+00:00,0.0,0.0,0.275,0.307,25.3,81,959.5,2.2
JRT_TST_05,2023-06-03 15:00:00+00:00,0.0,0.0,0.276,0.307,23.8,87,960.1,5.0
JRT_TST_05,2023-06-03 16:00:00+00:00,0.0,0.0,0.276,0.307,25.3,80,961.0,1.8
JRT_TST_05,2023-06-03 17:00:00+00:00,0.0,0.0,0.277,0.307,24.5,81,961.1,4.0
JRT_TST_05,2023-06-03 18:00:00+00:00,0.2,0.2,0.279,0.306,24.8,78,960.5,2.6
JRT_TST_05,2023-06-03 19:00:00+00:00,0.4,0.4,0.282,0.306,23.0,82,959.7,4.4
JRT_TST_05,2023-06-03 20:00:00+00:00,0.2,0.2,0.285,0.306,23.6,78,959.2,3.3
JRT_TST_05,2023-06-03 21:00:00+00:00,0.1,0.1,0.285,0.306,24.7,69,959.4,2.5
JRT_TST_05,2023-06-03 22:00:00+00:00,0.0,0.0,0.286,0.306,24.1,73,959.5,1.6
JRT_TST_05,2023-06-03 23:00:00+00:00,0.1,0.1,0.287,0.306,24.1,71,959.9,3.3
JRT_TST_05,2023-06-04 00:00:00+00:00,0.1,0.1,0.278,0.305,23.8,81,961.0,1.6
JRT_TST_05,2023-06-04 01:00:00+00:00,0.6,0.6,0.284,0.305,24.0,86,961.7,4.4
JRT_TST_05,2023-06-04 02:00:00+00:00,0.0,0.0,0.284,0.305,25.7,81,962.2,0.4
JRT_TST_05,2023-06-04 03:00:00+00:00,0.0,0.0,0.282,0.304,27.5,73,962.4,2.8
JRT_TST_05,2023-06-04 04:00:00+00:00,0.0,0.0,0.28,0.304,28.6,70,962.3,3.1
JRT_TST_05,2023-06-04 05:00:00+00:00,0.0,0.0,0.277,0.303,29.7,67,961.5,4.7
JRT_TST_05,2023-06-04 06:00:00+00:00,0.0,0.0,0.273,0.302,30.0,67,960.9,3.7
JRT_TST_05,2023-06-04 07:00:00+00:00,0.0,0.0,0.27,0.302,31.6,59,959.4,4.0
JRT_TST_05,2023-06-04 08:00:00+00:00,0.0,0.0,0.266,0.301,32.3,55,958.2,5.4
JRT_TST_05,2023-06-04 09:00:00+00:00,0.0,0.0,0.262,0.3,32.1,55,957.0,6.8
JRT_TST_05,2023-06-04 10:00:00+00:00,0.0,0.0,0.26,0.299,31.3,61,956.4,5.1
JRT_TST_05,2023-06-04 11:00:00+00:00,0.0,0.0,0.259,0.299,30.7,64,956.4,4.4
JRT_TST_05,2023-06-04 12:00:00+00:00,0.0,0.0,0.256,0.296,28.4,73,957.6,5.6
JRT_TST_05,2023-06-04 13:00:00+00:00,0.0,0.0,0.256,0.296,26.3,83,957.6,5.4
JRT_TST_05,2023-06-04 14:00:00+00:00,0.0,0.0,0.257,0.295,26.1,81,958.0,4.7
JRT_TST_05,2023-06-04 15:00:00+00:00,0.0,0.0,0.257,0.295,26.9,75,958.9,3.1
JRT_TST_05,2023-06-04 16:00:00+00:00,0.0,0.0,0.257,0.295,27.0,72,959.8,2.4
JRT_TST_05,2023-06-04 17:00:00+00:00,0.1,0.1,0.259,0.295,26.7,70,960.3,0.4
JRT_TST_05,2023-06-04 18:00:00+00:00,0.2,0.2,0.26,0.295,26.2,71,960.2,2.9
JRT_TST_05,2023-06-04 19:00:00+00:00,0.0,0.0,0.261,0.295,23.0,81,959.2,3.7
JRT_TST_05,2023-06-04 20:00:00+00:00,0.0,0.0,0.261,0.295,24.6,69,959.0,3.3
JRT_TST_05,2023-06-04 21:00:00+00:00,0.0,0.0,0.262,0.295,24.9,65,959.0,2.3
JRT_TST_05,2023-06-04 22:00:00+00:00,0.0,0.0,0.262,0.295,23.2,71,958.6,4.4
JRT_TST_05,2023-06-04 23:00:00+00:00,0.0,0.0,0.263,0.295,22.5,73,958.6,5.4
JRT_TST_05,2023-06-05 00:00:00+00:00,0.0,0.0,0.256,0.293,24.1,78,959.8,2.3
JRT_TST_05,2023-06-05 01:00:00+00:00,0.2,0.2,0.257,0.293,25.0,80,960.3,2.0
JRT_TST_05,2023-06-05 02:00:00+00:00,0.0,0.0,0.257,0.293,26.4,80,960.8,3.5
JRT_TST_05,2023-06-05 03:00:00+00:00,0.0,0.0,0.256,0.292,28.1,75,960.9,1.3
JRT_TST_05,2023-06-05 04:00:00+00:00,0.0,0.0,0.253,0.292,29.5,69,960.7,3.2
JRT_TST_05,2023-06-05 05:00:00+00:00,0.0,0.0,0.25,0.291,31.0,62,960.3,3.1
JRT_TST_05,2023-06-05 06:00:00+00:00,0.0,0.0,0.247,0.29,31.9,56,959.8,3.4
JRT_TST_05,2023-06-05 07:00:00+00:00,0.0,0.0,0.244,0.29,31.9,57,959.2,6.9
JRT_TST_05,2023-06-05 08:00:00+00:00,0.0,0.0,0.241,0.289,31.5,61,958.3,3.3
JRT_TST_05,2023-06-05 09:00:00+00:00,3.6,3.6,0.282,0.288,28.7,76,957.7,2.6
JRT_TST_05,2023-06-05 10:00:00+00:00,0.0,0.0,0.281,0.288,28.7,75,957.2,2.7
