station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
MNG_RNG_03,2023-06-01 00:00:00+00:00,0.1,0.1,0.431,0.437,20.6,98,907.6,5.6
MNG_RNG_03,2023-06-01 01:00:00+00:00,0.1,0.1,0.426,0.428,22.9,92,909.0,2.7
MNG_RNG_03,2023-06-01 02:00:00+00:00,0.2,0.2,0.425,0.427,23.7,97,909.6,3.6
MNG_RNG_03,2023-06-01 03:00:00+00:00,0.2,0.2,0.423,0.425,25.5,80,910.1,2.1
MNG_RNG_03,2023-06-01 04:00:00+00:00,0.0,0.0,0.42,0.424,28.6,62,910.1,0.8
MNG_RNG_03,2023-06-01 05:00:00+00:00,0.0,0.0,0.417,0.422,30.1,58,909.3,3.6
MNG_RNG_03,2023-06-01 06:00:00+00:00,0.0,0.0,0.414,0.421,30.5,58,908.9,5.1
MNG_RNG_03,2023-06-01 07:00:00+00:00,0.1,0.1,0.412,0.419,29.7,62,908.2,4.9
MNG_RNG_03,2023-06-01 08:00:00+00:00,0.2,0.2,0.411,0.418,29.1,65,907.2,4.2
MNG_RNG_03,2023-06-01 09:00:00+00:00,0.8,0.8,0.414,0.417,27.3,77,906.6,5.3
MNG_RNG_03,2023-06-01 10:00:00+00:00,0.9,0.9,0.417,0.417,26.0,94,905.6,0.5
MNG_RNG_03,2023-06-01 11:00:00+00:00,0.8,0.8,0.419,0.417,25.7,90,905.5,1.6
MNG_RNG_03,2023-06-01 12:00:00+00:00,1.4,1.4,0.428,0.428,22.8,100,906.9,3.1
MNG_RNG_03,2023-06-01 13:00:00+00:00,9.2,9.2,0.43,0.43,21.7,100,907.6,0.5
MNG_RNG_03,2023-06-01 14:00:00+00:00,1.4,1.4,0.429,0.429,20.7,100,908.2,1.8
MNG_RNG_03,2023-06-01 15:00:00+00:00,0.1,0.1,0.426,0.427,20.4,99,908.2,5.1
MNG_RNG_03,2023-06-01 16:00:00+00:00,0.0,0.0,0.424,0.426,20.3,100,907.6,5.1
