station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
SNG_TST_02,2023-06-01 00:00:00+00:00,0.0,0.0,0.402,0.351,22.4,96,953.9,3.0
SNG_TST_02,2023-06-01 01:00:00+00:00,0.1,0.1,0.399,0.352,24.3,100,954.8,2.6
SNG_TST_02,2023-06-01 02:00:00+00:00,0.0,0.0,0.396,0.353,26.2,89,955.5,1.5
SNG_TST_02,2023-06-01 03:00:00+00:00,0.0,0.0,0.393,0.353,28.2,80,955.6,1.6
SNG_TST_02,2023-06-01 04:00:00+00:00,0.0,0.0,0.388,0.353,30.8,66,955.1,3.3
SNG_TST_02,2023-06-01 05:00:00+00:00,0.1,0.1,0.384,0.353,31.7,62,954.3,6.1
SNG_TST_02,2023-06-01 06:00:00+00:00,0.1,0.1,0.38,0.353,32.1,61,953.9,7.7
SNG_TST_02,2023-06-01 07:00:00+00:00,0.0,0.0,0.376,0.352,32.2,61,952.9,5.5
SNG_TST_02,2023-06-01 08:00:00+00:00,1.4,1.4,0.383,0.352,29.7,74,952.3,8.7
SNG_TST_02,2023-06-01 09:00:00+00:00,0.1,0.1,0.381,0.352,29.8,77,951.6,4.7
SNG_TST_02,2023-06-01 10:00:00+00:00,1.5,1.5,0.389,0.352,28.6,76,950.8,5.5
SNG_TST_02,2023-06-01 11:00:00+00:00,0.1,0.1,0.387,0.352,28.8,82,950.5,3.5
SNG_TST_02,2023-06-01 12:00:00+00:00,0.0,0.0,0.37,0.351,25.3,92,952.7,3.6
SNG_TST_02,2023-06-01 13:00:00+00:00,0.0,0.0,0.369,0.351,24.3,96,952.9,5.1
SNG_TST_02,2023-06-01 14:00:00+00:00,0.1,0.1,0.369,0.351,24.3,89,954.0,5.4
SNG_TST_02,2023-06-01 15:00:00+00:00,0.3,0.3,0.369,0.351,23.8,89,954.0,4.0
SNG_TST_02,2023-06-01 16:00:00+00:00,0.1,0.1,0.369,0.352,22.3,92,953.5,4.7
SNG_TST_02,2023-06-01 17:00:00+00:00,0.0,0.0,0.369,0.352,22.0,91,953.3,4.0
SNG_TST_02,2023-06-01 18:00:00+00:00,0.0,0.0,0.368,0.352,23.7,83,953.2,2.8
SNG_TST_02,2023-06-01 19:00:00+00:00,0.0,0.0,0.367,0.352,21.8,90,952.1,3.3
SNG_TST_02,2023-06-01 20:00:00+00:00,0.0,0.0,0.367,0.352,21.6,90,951.7,4.6
SNG_TST_02,2023-06-01 21:00:00+00:00,0.0,0.0,0.366,0.352,21.0,90,951.4,5.2
SNG_TST_02,2023-06-01 22:00:00+00:00,0.0,0.0,0.365,0.353,20.7,90,951.5,6.1
SNG_TST_02,2023-06-01 23:00:00+00:00,0.1,0.1,0.365,0.353,20.5,88,951.7,6.6
SNG_TST_02,2023-06-02 00:00:00+00:00,0.0,0.0,0.37,0.356,23.2,82,953.2,5.1
SNG_TST_02,2023-06-02 01:00:00+00:00,0.0,0.0,0.369,0.356,24.3,94,954.1,3.6
SNG_TST_02,2023-06-02 02:00:00+00:00,0.0,0.0,0.369,0.356,25.9,87,955.2,2.6
SNG_TST_02,2023-06-02 03:00:00+00:00,0.0,0.0,0.367,0.356,28.0,73,955.4,2.9
SNG_TST_02,2023-06-02 04:00:00+00:00,0.0,0.0,0.364,0.355,30.3,61,955.3,2.3
SNG_TST_02,2023-06-02 05:00:00+00:00,0.0,0.0,0.361,0.354,30.7,62,954.8,6.1
SNG_TST_02,2023-06-02 06:00:00+00:00,0.0,0.0,0.357,0.353,31.6,58,954.4,5.2
SNG_TST_02,2023-06-02 07:00:00+00:00,0.0,0.0,0.354,0.352,31.6,57,953.5,6.1
SNG_TST_02,2023-06-02 08:00:00+00:00,0.2,0.2,0.352,0.352,31.1,60,952.8,6.8
SNG_TST_02,2023-06-02 09:00:00+00:00,0.3,0.3,0.352,0.351,30.8,62,951.8,4.2
SNG_TST_02,2023-06-02 10:00:00+00:00,0.0,0.0,0.35,0.35,30.3,66,951.2,5.8
SNG_TST_02,2023-06-02 11:00:00+00:00,0.0,0.0,0.349,0.35,29.7,72,950.7,3.6
SNG_TST_02,2023-06-02 12:00:00+00:00,0.1,0.1,0.34,0.347,28.3,82,951.6,2.6
SNG_TST_02,2023-06-02 13:00:00+00:00,0.2,0.2,0.341,0.347,27.5,82,952.3,1.3
SNG_TST_02,2023-06-02 14:00:00+00:00,0.4,0.4,0.344,0.347,26.7,83,953.2,1.0
SNG_TST_02,2023-06-02 15:00:00+00:00,1.0,1.0,0.352,0.347,23.6,96,953.6,4.5
SNG_TST_02,2023-06-02 16:00:00+00:00,1.2,1.2,0.364,0.347,22.5,97,954.3,6.3
SNG_TST_02,2023-06-02 17:00:00+00:00,0.7,0.7,0.37,0.348,21.7,98,954.7,4.9
SNG_TST_02,2023-06-02 18:00:00+00:00,0.1,0.1,0.37,0.348,21.2,98,954.1,5.5
SNG_TST_02,2023-06-02 19:00:00+00:00,0.5,0.5,0.374,0.348,20.7,98,953.8,5.6
SNG_TST_02,2023-06-02 20:00:00+00:00,0.0,0.0,0.373,0.348,20.4,98,953.3,4.7
SNG_TST_02,2023-06-02 21:00:00+00:00,0.4,0.4,0.376,0.349,20.3,97,953.5,1.4
SNG_TST_02,2023-06-02 22:00:00+00:00,0.2,0.2,0.378,0.349,19.4,99,953.6,4.8
SNG_TST_02,2023-06-02 23:00:00+00:00,0.0,0.0,0.377,0.35,19.5,93,954.3,4.0
SNG_TST_02,2023-06-03 00:00:00+00:00,0.8,0.8,0.398,0.352,20.6,99,955.2,3.9
