station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,latitude,longitude,role
GNG_TST_01,2023-06-01 00:00:00+00:00,0.0,0.0,0.388,0.378,18.2,75,850.0,3.3,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 01:00:00+00:00,0.1,0.1,0.389,0.378,18.6,87,850.4,2.9,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 02:00:00+00:00,0.0,0.0,0.388,0.378,20.4,83,851.7,2.4,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 03:00:00+00:00,0.0,0.0,0.386,0.378,22.3,72,852.4,2.4,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 04:00:00+00:00,0.0,0.0,0.384,0.377,24.7,60,852.7,3.2,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 05:00:00+00:00,0.1,0.1,0.382,0.377,25.5,57,852.4,4.7,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 06:00:00+00:00,0.5,0.5,0.383,0.376,26.0,59,852.1,6.2,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 07:00:00+00:00,1.6,1.6,0.393,0.376,24.8,66,851.3,1.8,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 08:00:00+00:00,0.9,0.9,0.397,0.376,24.6,65,850.1,7.1,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 09:00:00+00:00,1.2,1.2,0.403,0.377,23.6,73,849.4,0.7,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 10:00:00+00:00,0.5,0.5,0.403,0.377,22.8,70,848.4,3.4,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 11:00:00+00:00,0.0,0.0,0.4,0.378,22.2,79,848.0,0.8,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 12:00:00+00:00,0.0,0.0,0.438,0.398,18.5,85,848.6,5.2,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 13:00:00+00:00,0.5,0.5,0.429,0.403,17.3,92,848.5,5.4,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 14:00:00+00:00,4.6,4.6,0.433,0.416,16.5,100,849.1,5.1,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
GNG_TST_01,2023-06-01 15:00:00+00:00,3.4,3.4,0.437,0.425,16.0,99,848.9,3.8,1650.0,28.0,250.0,2800.0,27.3389,88.6065,train
