station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
BLN_DEO_04,2023-06-01 00:00:00+00:00,0.0,0.0,0.302,0.367,28.2,94,1003.6,9.9
BLN_DEO_04,2023-06-01 01:00:00+00:00,0.0,0.0,0.302,0.367,29.4,87,1004.6,10.0
BLN_DEO_04,2023-06-01 02:00:00+00:00,0.0,0.0,0.302,0.367,30.8,80,1005.0,11.2
BLN_DEO_04,2023-06-01 03:00:00+00:00,0.1,0.1,0.302,0.366,32.1,72,1004.8,10.9
BLN_DEO_04,2023-06-01 04:00:00+00:00,0.0,0.0,0.3,0.365,33.5,64,1004.2,11.0
BLN_DEO_04,2023-06-01 05:00:00+00:00,0.0,0.0,0.298,0.364,34.3,59,1003.6,10.0
BLN_DEO_04,2023-06-01 06:00:00+00:00,0.0,0.0,0.295,0.362,35.2,55,1002.8,10.2
BLN_DEO_04,2023-06-01 07:00:00+00:00,0.0,0.0,0.293,0.361,35.7,53,1001.5,10.0
BLN_DEO_04,2023-06-01 08:00:00+00:00,0.0,0.0,0.29,0.36,35.8,53,1000.1,8.5
BLN_DEO_04,2023-06-01 09:00:00+00:00,0.0,0.0,0.288,0.358,36.2,51,999.1,6.6
BLN_DEO_04,2023-06-01 10:00:00+00:00,0.0,0.0,0.286,0.357,35.0,53,999.2,4.7
BLN_DEO_04,2023-06-01 11:00:00+00:00,2.1,2.1,0.309,0.357,30.2,80,1000.3,10.2
BLN_DEO_04,2023-06-01 12:00:00+00:00,0.1,0.1,0.277,0.357,31.7,67,1000.4,10.4
BLN_DEO_04,2023-06-01 13:00:00+00:00,0.0,0.0,0.277,0.357,30.6,72,1001.3,13.3
BLN_DEO_04,2023-06-01 14:00:00+00:00,0.0,0.0,0.277,0.357,29.5,77,1001.7,14.1
BLN_DEO_04,2023-06-01 15:00:00+00:00,0.0,0.0,0.277,0.356,29.1,81,1002.5,12.6
BLN_DEO_04,2023-06-01 16:00:00+00:00,0.0,0.0,0.277,0.356,28.8,85,1002.9,11.9
BLN_DEO_04,2023-06-01 17:00:00+00:00,0.0,0.0,0.277,0.356,28.5,87,1002.9,12.0
BLN_DEO_04,2023-06-01 18:00:00+00:00,0.0,0.0,0.277,0.356,28.1,90,1002.3,11.8
BLN_DEO_04,2023-06-01 19:00:00+00:00,0.0,0.0,0.277,0.356,27.8,91,1001.8,11.3
BLN_DEO_04,2023-06-01 20:00:00+00:00,0.0,0.0,0.277,0.356,27.6,92,1001.6,9.4
BLN_DEO_04,2023-06-01 21:00:00+00:00,0.0,0.0,0.277,0.356,27.4,93,1001.5,9.4
BLN_DEO_04,2023-06-01 22:00:00+00:00,0.0,0.0,0.277,0.356,27.3,93,1001.7,9.4
BLN_DEO_04,2023-06-01 23:00:00+00:00,0.0,0.0,0.277,0.356,27.3,93,1002.4,8.3
BLN_DEO_04,2023-06-02 00:00:00+00:00,0.0,0.0,0.276,0.356,28.4,92,1003.2,9.1
BLN_DEO_04,2023-06-02 01:00:00+00:00,0.0,0.0,0.276,0.355,30.1,82,1003.8,13.4
BLN_DEO_04,2023-06-02 02:00:00+00:00,0.0,0.0,0.275,0.355,31.7,72,1004.3,13.4
BLN_DEO_04,2023-06-02 03:00:00+00:00,0.0,0.0,0.274,0.354,33.2,63,1004.7,12.8
BLN_DEO_04,2023-06-02 04:00:00+00:00,0.0,0.0,0.273,0.353,34.4,58,1004.7,13.0
BLN_DEO_04,2023-06-02 05:00:00+00:00,0.0,0.0,0.272,0.352,35.1,55,1004.3,12.7
BLN_DEO_04,2023-06-02 06:00:00+00:00,0.0,0.0,0.27,0.351,35.9,53,1003.3,12.6
BLN_DEO_04,2023-06-02 07:00:00+00:00,0.0,0.0,0.268,0.349,36.6,49,1002.0,12.6
BLN_DEO_04,2023-06-02 08:00:00+00:00,0.0,0.0,0.266,0.348,36.2,49,1000.6,13.2
BLN_DEO_04,2023-06-02 09:00:00+00:00,0.0,0.0,0.264,0.347,36.3,46,999.9,11.4
BLN_DEO_04,2023-06-02 10:00:00+00:00,0.0,0.0,0.263,0.346,36.3,45,999.3,11.0
BLN_DEO_04,2023-06-02 11:00:00+00:00,0.7,0.7,0.269,0.345,30.8,66,1001.2,26.8
BLN_DEO_04,2023-06-02 12:00:00+00:00,0.4,0.4,0.262,0.344,31.9,68,1001.2,13.3
BLN_DEO_04,2023-06-02 13:00:00+00:00,0.0,0.0,0.262,0.343,30.7,73,1001.7,10.8
BLN_DEO_04,2023-06-02 14:00:00+00:00,0.0,0.0,0.262,0.343,30.0,76,1002.5,11.2
BLN_DEO_04,2023-06-02 15:00:00+00:00,0.0,0.0,0.262,0.343,29.3,80,1003.0,12.0
BLN_DEO_04,2023-06-02 16:00:00+00:00,0.0,0.0,0.262,0.343,28.8,84,1003.5,10.8
BLN_DEO_04,2023-06-02 17:00:00+00:00,0.0,0.0,0.261,0.343,28.4,87,1003.5,11.6
BLN_DEO_04,2023-06-02 18:00:00+00:00,0.0,0.0,0.261,0.343,28.1,89,1003.2,11.0
BLN_DEO_04,2023-06-02 19:00:00+00:00,0.0,0.0,0.262,0.343,27.9,90,1002.7,10.8
BLN_DEO_04,2023-06-02 20:00:00+00:00,0.0,0.0,0.262,0.343,27.8,90,1002.4,10.2
BLN_DEO_04,2023-06-02 21:00:00+00:00,0.0,0.0,0.262,0.343,27.8,90,1002.5,9.0
