station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
DMB_MNU_02,2023-06-01 00:00:00+00:00,0.0,0.0,0.27,0.313,27.6,86,1001.6,11.7
DMB_MNU_02,2023-06-01 01:00:00+00:00,0.0,0.0,0.27,0.312,29.0,84,1002.4,11.0
DMB_MNU_02,2023-06-01 02:00:00+00:00,0.0,0.0,0.269,0.312,30.6,78,1003.0,12.6
DMB_MNU_02,2023-06-01 03:00:00+00:00,0.0,0.0,0.268,0.311,31.9,72,1002.9,12.1
DMB_MNU_02,2023-06-01 04:00:00+00:00,0.0,0.0,0.266,0.31,33.0,66,1002.6,9.6
DMB_MNU_02,2023-06-01 05:00:00+00:00,0.0,0.0,0.263,0.309,33.4,62,1001.9,9.8
DMB_MNU_02,2023-06-01 06:00:00+00:00,0.2,0.2,0.263,0.308,33.1,61,1001.1,12.1
DMB_MNU_02,2023-06-01 07:00:00+00:00,0.1,0.1,0.261,0.307,33.2,64,999.9,11.4
DMB_MNU_02,2023-06-01 08:00:00+00:00,0.0,0.0,0.259,0.306,33.8,60,998.5,11.2
DMB_MNU_02,2023-06-01 09:00:00+00:00,0.0,0.0,0.257,0.305,34.1,58,997.7,7.9
DMB_MNU_02,2023-06-01 10:00:00+00:00,0.0,0.0,0.255,0.304,33.8,59,997.2,5.1
DMB_MNU_02,2023-06-01 11:00:00+00:00,0.0,0.0,0.255,0.304,33.2,64,997.5,4.5
DMB_MNU_02,2023-06-01 12:00:00+00:00,0.0,0.0,0.242,0.298,31.7,69,998.6,8.9
DMB_MNU_02,2023-06-01 13:00:00+00:00,0.0,0.0,0.242,0.298,29.2,80,999.3,4.1
DMB_MNU_02,2023-06-01 14:00:00+00:00,0.0,0.0,0.243,0.298,29.1,77,999.8,0.5
DMB_MNU_02,2023-06-01 15:00:00+00:00,0.0,0.0,0.243,0.298,27.9,88,1000.7,3.5
DMB_MNU_02,2023-06-01 16:00:00+00:00,0.0,0.0,0.243,0.298,27.9,84,1000.7,5.1
DMB_MNU_02,2023-06-01 17:00:00+00:00,0.0,0.0,0.244,0.297,27.9,83,1000.8,7.3
DMB_MNU_02,2023-06-01 18:00:00+00:00,0.0,0.0,0.244,0.297,27.9,81,1000.3,9.4
DMB_MNU_02,2023-06-01 19:00:00+00:00,0.0,0.0,0.244,0.297,27.5,79,999.9,9.0
DMB_MNU_02,2023-06-01 20:00:00+00:00,0.0,0.0,0.245,0.297,26.9,81,999.7,7.7
DMB_MNU_02,2023-06-01 21:00:00+00:00,0.0,0.0,0.245,0.297,26.5,84,999.7,7.0
DMB_MNU_02,2023-06-01 22:00:00+00:00,0.0,0.0,0.245,0.297,26.2,87,1000.2,7.9
DMB_MNU_02,2023-06-01 23:00:00+00:00,0.0,0.0,0.245,0.297,26.2,89,1000.8,12.6
DMB_MNU_02,2023-06-02 00:00:00+00:00,0.2,0.2,0.244,0.295,24.6,92,1002.4,7.8
DMB_MNU_02,2023-06-02 01:00:00+00:00,1.0,1.0,0.257,0.295,25.9,90,1002.9,4.0
DMB_MNU_02,2023-06-02 02:00:00+00:00,0.0,0.0,0.258,0.295,27.3,88,1003.4,2.6
DMB_MNU_02,2023-06-02 03:00:00+00:00,0.0,0.0,0.257,0.294,29.3,83,1003.7,1.0
DMB_MNU_02,2023-06-02 04:00:00+00:00,0.0,0.0,0.256,0.294,31.0,75,1003.5,2.8
DMB_MNU_02,2023-06-02 05:00:00+00:00,0.0,0.0,0.255,0.293,31.1,73,1003.1,8.7
DMB_MNU_02,2023-06-02 06:00:00+00:00,0.0,0.0,0.253,0.292,32.0,69,1002.3,7.0
DMB_MNU_02,2023-06-02 07:00:00+00:00,0.1,0.1,0.251,0.291,32.8,64,1000.8,4.8
DMB_MNU_02,2023-06-02 08:00:00+00:00,0.0,0.0,0.249,0.29,33.5,61,999.4,5.6
DMB_MNU_02,2023-06-02 09:00:00+00:00,0.1,0.1,0.248,0.29,33.7,59,998.7,7.3
DMB_MNU_02,2023-06-02 10:00:00+00:00,0.0,0.0,0.246,0.289,33.7,59,998.0,4.6
DMB_MNU_02,2023-06-02 11:00:00+00:00,0.0,0.0,0.245,0.289,33.4,62,997.8,3.1
DMB_MNU_02,2023-06-02 12:00:00+00:00,0.0,0.0,0.235,0.288,31.7,74,998.9,3.9
DMB_MNU_02,2023-06-02 13:00:00+00:00,0.0,0.0,0.235,0.288,29.7,79,999.6,5.3
DMB_MNU_02,2023-06-02 14:00:00+00:00,0.0,0.0,0.235,0.288,29.8,73,1000.9,8.2
DMB_MNU_02,2023-06-02 15:00:00+00:00,0.0,0.0,0.235,0.288,28.7,79,1001.3,4.2
DMB_MNU_02,2023-06-02 16:00:00+00:00,0.0,0.0,0.236,0.287,27.9,79,1001.6,5.4
DMB_MNU_02,2023-06-02 17:00:00+00:00,0.0,0.0,0.236,0.287,27.8,78,1001.6,8.8
DMB_MNU_02,2023-06-02 18:00:00+00:00,0.0,0.0,0.236,0.287,27.8,78,1001.2,8.6
DMB_MNU_02,2023-06-02 19:00:00+00:00,0.0,0.0,0.236,0.287,26.3,87,1000.9,7.0
DMB_MNU_02,2023-06-02 20:00:00+00:00,0.0,0.0,0.236,0.287,25.7,90,1000.8,5.4
DMB_MNU_02,2023-06-02 21:00:00+00:00,0.0,0.0,0.237,0.287,25.5,90,1001.1,4.7
