station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
JMP_JMP_05,2023-06-01 00:00:00+00:00,0.0,0.0,0.287,0.317,27.3,88,995.8,10.1
JMP_JMP_05,2023-06-01 01:00:00+00:00,0.0,0.0,0.287,0.317,28.9,83,996.7,9.8
JMP_JMP_05,2023-06-01 02:00:00+00:00,0.0,0.0,0.286,0.316,30.7,74,997.3,11.0
JMP_JMP_05,2023-06-01 03:00:00+00:00,0.0,0.0,0.284,0.315,32.2,66,997.0,9.4
JMP_JMP_05,2023-06-01 04:00:00+00:00,0.0,0.0,0.283,0.315,33.6,58,996.6,7.4
JMP_JMP_05,2023-06-01 05:00:00+00:00,0.0,0.0,0.281,0.314,34.3,55,996.0,7.6
JMP_JMP_05,2023-06-01 06:00:00+00:00,0.0,0.0,0.279,0.313,34.8,53,995.1,7.8
JMP_JMP_05,2023-06-01 07:00:00+00:00,0.0,0.0,0.277,0.312,34.6,55,993.7,9.3
JMP_JMP_05,2023-06-01 08:00:00+00:00,0.5,0.5,0.279,0.311,32.6,66,992.9,8.6
JMP_JMP_05,2023-06-01 09:00:00+00:00,1.3,1.3,0.288,0.31,32.5,64,992.3,5.4
JMP_JMP_05,2023-06-01 10:00:00+00:00,0.0,0.0,0.288,0.31,32.3,70,991.6,2.3
JMP_JMP_05,2023-06-01 11:00:00+00:00,0.0,0.0,0.287,0.309,32.1,78,991.8,2.6
JMP_JMP_05,2023-06-01 12:00:00+00:00,0.0,0.0,0.281,0.309,32.0,68,992.6,3.7
JMP_JMP_05,2023-06-01 13:00:00+00:00,0.0,0.0,0.281,0.309,30.6,70,993.4,8.8
JMP_JMP_05,2023-06-01 14:00:00+00:00,0.0,0.0,0.281,0.309,28.8,85,994.2,4.3
JMP_JMP_05,2023-06-01 15:00:00+00:00,0.0,0.0,0.281,0.309,28.3,83,994.7,2.9
JMP_JMP_05,2023-06-01 16:00:00+00:00,0.0,0.0,0.281,0.309,27.6,84,995.0,6.2
JMP_JMP_05,2023-06-01 17:00:00+00:00,0.0,0.0,0.282,0.308,27.5,79,995.0,8.8
JMP_JMP_05,2023-06-01 18:00:00+00:00,0.0,0.0,0.282,0.308,27.4,78,994.5,9.7
JMP_JMP_05,2023-06-01 19:00:00+00:00,0.0,0.0,0.282,0.308,27.0,80,994.0,9.0
JMP_JMP_05,2023-06-01 20:00:00+00:00,0.0,0.0,0.282,0.308,26.5,84,993.8,8.1
JMP_JMP_05,2023-06-01 21:00:00+00:00,0.0,0.0,0.282,0.308,26.1,87,993.7,8.4
JMP_JMP_05,2023-06-01 22:00:00+00:00,0.0,0.0,0.282,0.308,25.8,91,994.3,7.9
JMP_JMP_05,2023-06-01 23:00:00+00:00,0.0,0.0,0.282,0.308,25.6,93,995.0,7.6
JMP_JMP_05,2023-06-02 00:00:00+00:00,0.0,0.0,0.281,0.306,26.9,93,995.9,3.8
JMP_JMP_05,2023-06-02 01:00:00+00:00,0.0,0.0,0.281,0.306,27.7,89,996.9,1.6
JMP_JMP_05,2023-06-02 02:00:00+00:00,0.0,0.0,0.281,0.305,28.7,84,997.4,2.5
JMP_JMP_05,2023-06-02 03:00:00+00:00,0.0,0.0,0.28,0.305,30.4,75,997.5,3.5
JMP_JMP_05,2023-06-02 04:00:00+00:00,0.0,0.0,0.279,0.304,31.9,68,997.6,8.2
JMP_JMP_05,2023-06-02 05:00:00+00:00,1.6,1.6,0.291,0.304,28.4,79,997.4,5.4
JMP_JMP_05,2023-06-02 06:00:00+00:00,0.1,0.1,0.29,0.304,30.6,72,996.5,2.2
JMP_JMP_05,2023-06-02 07:00:00+00:00,0.0,0.0,0.288,0.303,33.0,63,994.9,2.2
JMP_JMP_05,2023-06-02 08:00:00+00:00,0.0,0.0,0.286,0.302,34.3,57,993.4,5.8
JMP_JMP_05,2023-06-02 09:00:00+00:00,0.0,0.0,0.284,0.301,34.2,58,992.7,6.8
JMP_JMP_05,2023-06-02 10:00:00+00:00,0.0,0.0,0.283,0.301,33.7,59,992.1,5.8
JMP_JMP_05,2023-06-02 11:00:00+00:00,0.0,0.0,0.282,0.3,32.7,68,992.1,3.8
JMP_JMP_05,2023-06-02 12:00:00+00:00,0.0,0.0,0.266,0.297,31.0,75,993.1,7.7
JMP_JMP_05,2023-06-02 13:00:00+00:00,0.0,0.0,0.266,0.297,29.7,70,994.1,10.9
JMP_JMP_05,2023-06-02 14:00:00+00:00,0.1,0.1,0.267,0.297,28.5,75,994.9,7.4
JMP_JMP_05,2023-06-02 15:00:00+00:00,0.0,0.0,0.267,0.297,28.1,78,995.4,5.8
JMP_JMP_05,2023-06-02 16:00:00+00:00,0.0,0.0,0.267,0.297,27.9,78,995.8,8.0
JMP_JMP_05,2023-06-02 17:00:00+00:00,0.0,0.0,0.267,0.297,27.7,79,995.9,9.1
JMP_JMP_05,2023-06-02 18:00:00+00:00,0.0,0.0,0.267,0.297,27.3,79,995.4,10.1
JMP_JMP_05,2023-06-02 19:00:00+00:00,0.0,0.0,0.267,0.297,26.7,82,994.9,9.7
JMP_JMP_05,2023-06-02 20:00:00+00:00,0.0,0.0,0.267,0.297,26.3,85,994.7,8.3
JMP_JMP_05,2023-06-02 21:00:00+00:00,0.0,0.0,0.268,0.297,25.8,89,995.1,4.5
JMP_JMP_05,2023-06-02 22:00:00+00:00,0.0,0.0,0.268,0.296,25.7,90,995.2,5.5
JMP_JMP_05,2023-06-02 23:00:00+00:00,0.0,0.0,0.268,0.296,25.4,93,995.6,10.0
JMP_JMP_05,2023-06-03 00:00:00+00:00,0.0,0.0,0.267,0.296,26.1,92,996.8,2.3
JMP_JMP_05,2023-06-03 01:00:00+00:00,1.8,1.8,0.281,0.296,24.5,98,998.2,6.9
JMP_JMP_05,2023-06-03 02:00:00+00:00,0.5,0.5,0.285,0.296,24.6,94,999.3,5.8
JMP_JMP_05,2023-06-03 03:00:00+00:00,0.2,0.2,0.286,0.296,25.9,86,999.3,8.0
JMP_JMP_05,2023-06-03 04:00:00+00:00,0.0,0.0,0.286,0.295,28.9,80,998.9,5.8
JMP_JMP_05,2023-06-03 05:00:00+00:00,0.0,0.0,0.284,0.295,31.6,69,998.3,1.8
JMP_JMP_05,2023-06-03 06:00:00+00:00,0.0,0.0,0.282,0.294,33.1,61,997.5,4.0
JMP_JMP_05,2023-06-03 07:00:00+00:00,0.0,0.0,0.28,0.293,33.7,58,996.4,6.2
JMP_JMP_05,2023-06-03 08:00:00+00:00,0.0,0.0,0.278,0.293,33.5,59,995.1,6.6
JMP_JMP_05,2023-06-03 09:00:00+00:00,0.0,0.0,0.277,0.292,33.5,60,993.7,5.0
JMP_JMP_05,2023-06-03 10:00:00+00:00,0.0,0.0,0.275,0.291,32.9,63,993.4,5.7
JMP_JMP_05,2023-06-03 11:00:00+00:00,0.0,0.0,0.274,0.291,32.4,67,993.7,3.9
JMP_JMP_05,2023-06-03 12:00:00+00:00,0.0,0.0,0.258,0.288,31.0,74,993.9,4.2
JMP_JMP_05,2023-06-03 13:00:00+00:00,0.0,0.0,0.258,0.288,29.6,78,994.4,5.6
JMP_JMP_05,2023-06-03 14:00:00+00:00,0.0,0.0,0.258,0.288,28.6,86,995.3,1.1
JMP_JMP_05,2023-06-03 15:00:00+00:00,0.0,0.0,0.258,0.288,28.2,83,996.2,7.8
JMP_JMP_05,2023-06-03 16:00:00+00:00,0.0,0.0,0.258,0.288,27.9,79,997.1,8.7
JMP_JMP_05,2023-06-03 17:00:00+00:00,0.0,0.0,0.258,0.288,27.5,78,997.3,8.6
