station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
UDP_GMT_03,2023-06-01 00:00:00+00:00,0.0,0.0,0.337,0.383,27.7,95,1002.1,10.3
UDP_GMT_03,2023-06-01 01:00:00+00:00,0.0,0.0,0.337,0.383,29.1,88,1003.2,10.8
UDP_GMT_03,2023-06-01 02:00:00+00:00,0.0,0.0,0.337,0.383,30.5,81,1003.6,9.9
UDP_GMT_03,2023-06-01 03:00:00+00:00,0.0,0.0,0.337,0.382,31.9,73,1003.4,9.0
UDP_GMT_03,2023-06-01 04:00:00+00:00,0.0,0.0,0.335,0.381,33.3,65,1002.7,9.1
UDP_GMT_03,2023-06-01 05:00:00+00:00,0.0,0.0,0.334,0.38,34.4,59,1002.1,8.3
UDP_GMT_03,2023-06-01 06:00:00+00:00,0.0,0.0,0.333,0.379,35.1,56,1001.2,8.7
UDP_GMT_03,2023-06-01 07:00:00+00:00,0.0,0.0,0.331,0.378,35.8,52,1000.0,9.5
UDP_GMT_03,2023-06-01 08:00:00+00:00,0.0,0.0,0.329,0.377,35.3,53,998.6,7.5
UDP_GMT_03,2023-06-01 09:00:00+00:00,0.0,0.0,0.328,0.376,35.7,52,997.7,7.8
UDP_GMT_03,2023-06-01 10:00:00+00:00,0.2,0.2,0.329,0.376,34.5,54,997.6,9.7
UDP_GMT_03,2023-06-01 11:00:00+00:00,0.0,0.0,0.328,0.375,33.8,57,998.1,7.4
UDP_GMT_03,2023-06-01 12:00:00+00:00,0.0,0.0,0.324,0.378,32.6,61,998.9,8.9
UDP_GMT_03,2023-06-01 13:00:00+00:00,0.0,0.0,0.324,0.378,30.9,68,999.9,9.6
UDP_GMT_03,2023-06-01 14:00:00+00:00,0.0,0.0,0.324,0.378,30.0,74,1000.2,10.9
UDP_GMT_03,2023-06-01 15:00:00+00:00,0.0,0.0,0.324,0.378,29.3,77,1001.1,11.3
UDP_GMT_03,2023-06-01 16:00:00+00:00,0.0,0.0,0.324,0.378,28.6,81,1001.4,11.9
UDP_GMT_03,2023-06-01 17:00:00+00:00,0.0,0.0,0.324,0.378,28.3,83,1001.3,13.4
UDP_GMT_03,2023-06-01 18:00:00+00:00,0.0,0.0,0.324,0.378,27.8,87,1000.8,11.9
UDP_GMT_03,2023-06-01 19:00:00+00:00,0.0,0.0,0.324,0.378,27.4,90,1000.3,11.7
UDP_GMT_03,2023-06-01 20:00:00+00:00,0.0,0.0,0.324,0.378,27.1,92,1000.2,11.2
UDP_GMT_03,2023-06-01 21:00:00+00:00,0.0,0.0,0.324,0.378,26.9,94,1000.0,11.3
UDP_GMT_03,2023-06-01 22:00:00+00:00,0.0,0.0,0.324,0.378,26.7,95,1000.3,9.8
UDP_GMT_03,2023-06-01 23:00:00+00:00,0.0,0.0,0.325,0.377,26.8,95,1001.0,8.9
UDP_GMT_03,2023-06-02 00:00:00+00:00,0.0,0.0,0.323,0.377,27.9,94,1001.7,9.4
UDP_GMT_03,2023-06-02 01:00:00+00:00,0.0,0.0,0.323,0.377,29.4,85,1002.4,13.0
UDP_GMT_03,2023-06-02 02:00:00+00:00,0.0,0.0,0.323,0.377,31.1,75,1003.0,12.0
UDP_GMT_03,2023-06-02 03:00:00+00:00,0.0,0.0,0.322,0.376,32.6,65,1003.3,11.9
UDP_GMT_03,2023-06-02 04:00:00+00:00,0.0,0.0,0.321,0.375,33.9,60,1003.2,12.1
UDP_GMT_03,2023-06-02 05:00:00+00:00,0.0,0.0,0.319,0.374,34.7,56,1002.8,12.2
UDP_GMT_03,2023-06-02 06:00:00+00:00,0.0,0.0,0.318,0.373,35.1,54,1001.9,10.2
UDP_GMT_03,2023-06-02 07:00:00+00:00,0.0,0.0,0.317,0.372,35.7,52,1000.5,9.7
UDP_GMT_03,2023-06-02 08:00:00+00:00,0.0,0.0,0.316,0.371,36.0,49,999.1,9.1
UDP_GMT_03,2023-06-02 09:00:00+00:00,0.0,0.0,0.314,0.37,36.6,42,998.3,8.5
UDP_GMT_03,2023-06-02 10:00:00+00:00,0.0,0.0,0.313,0.37,36.3,42,997.5,7.3
UDP_GMT_03,2023-06-02 11:00:00+00:00,0.1,0.1,0.313,0.369,35.1,40,998.3,14.5
UDP_GMT_03,2023-06-02 12:00:00+00:00,0.2,0.2,0.317,0.369,32.7,57,999.6,8.8
UDP_GMT_03,2023-06-02 13:00:00+00:00,0.0,0.0,0.317,0.369,31.4,62,1000.2,11.3
UDP_GMT_03,2023-06-02 14:00:00+00:00,0.0,0.0,0.317,0.369,30.1,74,1001.1,10.1
UDP_GMT_03,2023-06-02 15:00:00+00:00,0.0,0.0,0.317,0.369,29.3,77,1001.7,10.4
UDP_GMT_03,2023-06-02 16:00:00+00:00,0.0,0.0,0.317,0.369,28.7,80,1002.0,11.2
UDP_GMT_03,2023-06-02 17:00:00+00:00,0.0,0.0,0.317,0.369,28.2,84,1002.0,11.7
UDP_GMT_03,2023-06-02 18:00:00+00:00,0.0,0.0,0.317,0.369,27.6,88,1001.6,11.7
UDP_GMT_03,2023-06-02 19:00:00+00:00,0.0,0.0,0.317,0.369,27.3,90,1001.3,11.2
UDP_GMT_03,2023-06-02 20:00:00+00:00,0.0,0.0,0.317,0.369,27.1,92,1001.1,10.0
UDP_GMT_03,2023-06-02 21:00:00+00:00,0.0,0.0,0.317,0.369,27.0,93,1001.2,9.3
UDP_GMT_03,2023-06-02 22:00:00+00:00,0.0,0.0,0.317,0.369,26.9,94,1001.4,9.7
UDP_GMT_03,2023-06-02 23:00:00+00:00,0.0,0.0,0.318,0.369,27.0,93,1001.8,9.5
UDP_GMT_03,2023-06-03 00:00:00+00:00,0.0,0.0,0.317,0.368,27.6,91,1002.7,10.2
UDP_GMT_03,2023-06-03 01:00:00+00:00,0.2,0.2,0.318,0.368,28.6,86,1003.3,13.8
UDP_GMT_03,2023-06-03 02:00:00+00:00,0.2,0.2,0.319,0.368,30.2,78,1004.0,13.5
UDP_GMT_03,2023-06-03 03:00:00+00:00,0.0,0.0,0.319,0.367,31.5,74,1004.9,5.2
UDP_GMT_03,2023-06-03 04:00:00+00:00,0.1,0.1,0.318,0.367,32.6,67,1004.4,9.3
UDP_GMT_03,2023-06-03 05:00:00+00:00,0.0,0.0,0.318,0.366,33.8,60,1004.0,9.1
UDP_GMT_03,2023-06-03 06:00:00+00:00,0.1,0.1,0.317,0.365,34.9,55,1003.2,7.4
UDP_GMT_03,2023-06-03 07:00:00+00:00,0.0,0.0,0.315,0.364,36.0,49,1001.9,8.1
UDP_GMT_03,2023-06-03 08:00:00+00:00,0.0,0.0,0.314,0.363,34.8,52,1000.6,10.7
UDP_GMT_03,2023-06-03 09:00:00+00:00,0.3,0.3,0.315,0.362,33.1,61,999.7,14.4
UDP_GMT_03,2023-06-03 10:00:00+00:00,0.0,0.0,0.314,0.362,34.0,54,999.6,8.9
UDP_GMT_03,2023-06-03 11:00:00+00:00,0.0,0.0,0.314,0.361,33.8,55,999.5,7.4
UDP_GMT_03,2023-06-03 12:00:00+00:00,0.0,0.0,0.313,0.361,31.9,63,1000.3,4.3
UDP_GMT_03,2023-06-03 13:00:00+00:00,0.0,0.0,0.313,0.361,30.6,66,1000.8,7.3
UDP_GMT_03,2023-06-03 14:00:00+00:00,0.0,0.0,0.313,0.361,30.1,72,1001.9,10.8
UDP_GMT_03,2023-06-03 15:00:00+00:00,0.0,0.0,0.313,0.361,29.2,80,1002.7,9.5
UDP_GMT_03,2023-06-03 16:00:00+00:00,0.0,0.0,0.313,0.361,28.7,83,1003.4,10.1
UDP_GMT_03,2023-06-03 17:00:00+00:00,0.0,0.0,0.313,0.361,28.3,86,1003.3,10.3
UDP_GMT_03,2023-06-03 18:00:00+00:00,0.0,0.0,0.313,0.36,27.9,88,1002.8,10.5
UDP_GMT_03,2023-06-03 19:00:00+00:00,0.0,0.0,0.313,0.36,27.6,90,1002.2,9.6
UDP_GMT_03,2023-06-03 20:00:00+00:00,0.0,0.0,0.313,0.36,27.3,92,1001.8,9.2
UDP_GMT_03,2023-06-03 21:00:00+00:00,0.0,0.0,0.313,0.36,27.0,93,1002.2,8.3
