station_id,datetime_utc,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,latitude,longitude,role
AGR_GMT_01,2023-06-01 00:00:00+00:00,0.0,0.0,0.366,0.408,27.6,94,1003.4,9.6,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 01:00:00+00:00,0.0,0.0,0.366,0.407,29.3,88,1004.4,13.8,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 02:00:00+00:00,0.1,0.1,0.366,0.407,30.6,81,1004.8,12.3,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 03:00:00+00:00,0.0,0.0,0.365,0.406,31.7,78,1004.7,10.7,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 04:00:00+00:00,0.1,0.1,0.365,0.406,33.0,72,1004.2,9.2,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 05:00:00+00:00,0.0,0.0,0.363,0.405,34.4,63,1003.5,7.6,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 06:00:00+00:00,0.7,0.7,0.368,0.404,33.1,66,1003.0,6.9,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 07:00:00+00:00,1.5,1.5,0.384,0.403,32.2,69,1002.1,3.6,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 08:00:00+00:00,0.0,0.0,0.383,0.402,33.5,64,1000.3,6.8,12.8,2.0,30.0,560.0,23.8315,91.2868,train
AGR_GMT_01,2023-06-01 09:00:00+00:00,0.0,0.0,0.381,0.402,34.0,63,999.4,4.1,12.8,2.0,30.0,560.0,23.8315,91.2868,train
