station_id,datetime_utc,latitude,longitude,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
AUT_JNC_03,2022-07-01 00:00:00+00:00,31.745,77.21,0.0,0.0,0.0,0.0,0.0,100.0,92.3,23.6,94,894.7,1.6,1050.0,34.5,80.0,4200.0,0
JGN_VLY_05,2022-07-01 00:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,82.3,84.3,23.7,81,890.4,3.1,1220.0,24.6,210.0,1850.0,0
THL_GRG_04,2022-07-01 00:00:00+00:00,31.713,77.165,0.0,0.0,0.0,0.0,0.0,100.0,92.3,20.6,94,847.7,1.6,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-01 00:00:00+00:00,31.7087,76.932,0.0,0.0,0.0,0.0,0.0,99.4,55.7,24.9,86,919.1,2.5,760.0,22.4,65.0,11200.0,0
SDR_BSN_07,2022-07-01 00:00:00+00:00,31.533,76.89,0.5,0.5,0.5,0.5,0.5,100.0,100.0,23.5,94,908.6,3.3,860.0,16.8,340.0,3100.0,0
JGN_VLY_05,2022-07-01 01:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,82.3,84.3,23.0,85,890.1,3.3,1220.0,24.6,210.0,1850.0,0
MND_URBAN_01,2022-07-01 01:00:00+00:00,31.7087,76.932,0.6,0.6,0.6,0.6,0.6,100.0,56.0,24.6,87,918.6,2.4,760.0,22.4,65.0,11200.0,0
THL_GRG_04,2022-07-01 01:00:00+00:00,31.713,77.165,0.0,0.0,0.0,0.0,0.0,100.0,92.6,20.3,96,847.1,2.7,980.0,38.2,35.0,5600.0,0
AUT_JNC_03,2022-07-01 01:00:00+00:00,31.745,77.21,0.0,0.0,0.0,0.0,0.0,100.0,92.6,23.3,96,894.2,2.7,1050.0,34.5,80.0,4200.0,0
SDR_BSN_07,2022-07-01 01:00:00+00:00,31.533,76.89,0.6,1.1,1.1,1.1,1.1,100.0,100.0,23.5,95,908.3,1.4,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-01 02:00:00+00:00,31.713,77.165,0.0,0.0,0.0,0.0,0.0,100.0,92.9,20.0,95,846.9,2.9,980.0,38.2,35.0,5600.0,0
SDR_BSN_07,2022-07-01 02:00:00+00:00,31.533,76.89,0.2,1.3,1.3,1.3,1.3,100.0,100.0,23.7,90,908.2,1.4,860.0,16.8,340.0,3100.0,0
AUT_JNC_03,2022-07-01 02:00:00+00:00,31.745,77.21,0.0,0.0,0.0,0.0,0.0,100.0,92.9,23.0,95,894.1,2.9,1050.0,34.5,80.0,4200.0,0
JGN_VLY_05,2022-07-01 02:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,82.3,84.3,21.7,91,889.4,4.4,1220.0,24.6,210.0,1850.0,0
MND_URBAN_01,2022-07-01 02:00:00+00:00,31.7087,76.932,0.3,0.9,0.9,0.9,0.9,100.0,56.3,24.6,87,918.4,2.5,760.0,22.4,65.0,11200.0,0
SDR_BSN_07,2022-07-01 03:00:00+00:00,31.533,76.89,0.0,0.8,1.3,1.3,1.3,100.0,100.0,23.8,90,907.8,2.4,860.0,16.8,340.0,3100.0,0
JGN_VLY_05,2022-07-01 03:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,82.3,84.3,22.2,89,889.3,0.4,1220.0,24.6,210.0,1850.0,0
AUT_JNC_03,2022-07-01 03:00:00+00:00,31.745,77.21,0.0,0.0,0.0,0.0,0.0,100.0,92.9,23.2,93,893.8,1.1,1050.0,34.5,80.0,4200.0,0
THL_GRG_04,2022-07-01 03:00:00+00:00,31.713,77.165,0.0,0.0,0.0,0.0,0.0,100.0,92.9,20.2,93,846.7,1.1,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-01 03:00:00+00:00,31.7087,76.932,0.4,1.3,1.3,1.3,1.3,100.0,56.9,24.4,92,918.0,1.8,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-01 04:00:00+00:00,31.745,77.21,0.0,0.0,0.0,0.0,0.0,100.0,93.1,22.6,97,894.0,1.8,1050.0,34.5,80.0,4200.0,0
MND_URBAN_01,2022-07-01 04:00:00+00:00,31.7087,76.932,0.5,1.2,1.8,1.8,1.8,100.0,57.1,24.3,91,918.2,2.5,760.0,22.4,65.0,11200.0,0
THL_GRG_04,2022-07-01 04:00:00+00:00,31.713,77.165,0.0,0.0,0.0,0.0,0.0,100.0,93.1,19.6,97,846.9,1.8,980.0,38.2,35.0,5600.0,0
JGN_VLY_05,2022-07-01 04:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,82.3,84.3,22.5,85,889.7,3.3,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-01 04:00:00+00:00,31.533,76.89,0.1,0.3,1.4,1.4,1.4,100.0,100.0,23.3,96,908.1,1.5,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-01 05:00:00+00:00,31.713,77.165,0.0,0.0,0.0,0.0,0.0,100.0,93.1,19.5,98,847.5,3.3,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-01 05:00:00+00:00,31.7087,76.932,0.1,1.0,1.9,1.9,1.9,100.0,57.4,24.0,91,919.2,2.9,760.0,22.4,65.0,11200.0,0
SDR_BSN_07,2022-07-01 05:00:00+00:00,31.533,76.89,0.1,0.2,1.5,1.5,1.5,100.0,100.0,22.9,92,908.9,2.5,860.0,16.8,340.0,3100.0,0
JGN_VLY_05,2022-07-01 05:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,84.6,84.6,21.6,88,890.5,2.1,1220.0,24.6,210.0,1850.0,0
AUT_JNC_03,2022-07-01 05:00:00+00:00,31.745,77.21,0.0,0.0,0.0,0.0,0.0,100.0,93.1,22.5,98,894.7,3.3,1050.0,34.5,80.0,4200.0,0
THL_GRG_04,2022-07-01 06:00:00+00:00,31.713,77.165,0.2,0.2,0.2,0.2,0.2,100.0,93.4,19.7,95,848.0,0.7,980.0,38.2,35.0,5600.0,0
SDR_BSN_07,2022-07-01 06:00:00+00:00,31.533,76.89,1.0,1.2,2.0,2.5,2.5,100.0,100.0,22.8,94,909.5,3.9,860.0,16.8,340.0,3100.0,0
JGN_VLY_05,2022-07-01 06:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,84.6,84.6,21.9,88,891.0,1.8,1220.0,24.6,210.0,1850.0,0
AUT_JNC_03,2022-07-01 06:00:00+00:00,31.745,77.21,0.2,0.2,0.2,0.2,0.2,100.0,93.4,22.7,95,895.2,0.7,1050.0,34.5,80.0,4200.0,0
MND_URBAN_01,2022-07-01 06:00:00+00:00,31.7087,76.932,0.2,0.8,2.1,2.1,2.1,100.0,58.0,23.9,90,919.7,3.3,760.0,22.4,65.0,11200.0,0
SDR_BSN_07,2022-07-01 07:00:00+00:00,31.533,76.89,0.5,1.6,1.9,3.0,3.0,100.0,100.0,23.1,92,910.2,4.7,860.0,16.8,340.0,3100.0,0
JGN_VLY_05,2022-07-01 07:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,84.9,84.6,21.5,92,891.5,1.5,1220.0,24.6,210.0,1850.0,0
MND_URBAN_01,2022-07-01 07:00:00+00:00,31.7087,76.932,0.1,0.4,1.6,2.2,2.2,100.0,58.6,24.0,89,920.4,4.0,760.0,22.4,65.0,11200.0,0
