,time,precipitation,rain,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,station_id,station_name,latitude,longitude,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,period_id,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,flood_occurred,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh
600,2023-07-26 00:00:00,2.0,2.0,0.498,0.446,23.2,94,899.0,1.9,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,2.0,4.8,6.4,7.5,11.4,100.0,99.11,0,23.2,94,899.0,1.9
601,2023-07-26 01:00:00,1.6,1.6,0.504,0.448,23.3,94,898.4,3.3,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,1.6,5.0,7.7,9.1,13.0,100.0,99.56,0,23.3,94,898.4,3.3
602,2023-07-26 02:00:00,0.4,0.4,0.501,0.451,23.2,94,897.5,2.9,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.4,4.0,7.0,9.5,13.4,100.0,100.0,0,23.2,94,897.5,2.9
603,2023-07-26 03:00:00,0.0,0.0,0.496,0.452,22.8,94,896.5,3.7,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,2.0,6.8,9.5,13.4,100.0,100.0,0,22.8,94,896.5,3.7
604,2023-07-26 04:00:00,0.0,0.0,0.493,0.453,22.3,94,896.3,5.2,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.4,5.4,9.5,13.4,100.0,100.0,0,22.3,94,896.3,5.2
605,2023-07-26 05:00:00,0.2,0.2,0.475,0.447,24.0,86,897.9,1.8,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.2,0.2,4.2,9.7,13.6,100.0,99.33,0,24.0,86,897.9,1.8
606,2023-07-26 06:00:00,0.0,0.0,0.475,0.448,23.9,91,898.4,1.6,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.2,2.2,9.7,13.6,100.0,99.56,0,23.9,91,898.4,1.6
607,2023-07-26 07:00:00,0.0,0.0,0.474,0.448,24.7,83,899.1,3.1,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.2,0.6,9.6,13.6,100.0,99.56,0,24.7,83,899.1,3.1
608,2023-07-26 08:00:00,0.0,0.0,0.472,0.448,25.8,78,899.5,1.6,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.2,9.6,13.6,100.0,99.56,0,25.8,78,899.5,1.6
609,2023-07-26 09:00:00,0.0,0.0,0.471,0.448,26.5,75,899.7,1.9,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.2,9.6,13.6,100.0,99.56,0,26.5,75,899.7,1.9
610,2023-07-26 10:00:00,0.0,0.0,0.469,0.448,27.2,76,899.9,3.9,AUT_JNC_03,Aut (Larji / Tirthan Confluence),31.745,77.21,1050.0,34.5,80.0,4200.0,disaster_season_2023,0.0,0.0,0.2,9.6,13.5,100.0,99.56,0,27.2,76,899.9,3.9
