date,district,flood_label
2020-01-01,Almora,0
2020-01-02,Almora,0
2020-01-03,Almora,0
2020-01-04,Almora,0
2020-01-05,Almora,0
2020-01-06,Almora,0
2020-01-07,Almora,0
2020-01-08,Almora,0
2020-01-09,Almora,0
2020-01-10,Almora,0
2020-01-11,Almora,0
2020-01-12,Almora,0
2020-01-13,Almora,0
2020-01-14,Almora,0
2020-01-15,Almora,0
2020-01-16,Almora,0
2020-01-17,Almora,0
2020-01-18,Almora,0
2020-01-19,Almora,0
2020-01-20,Almora,0
2020-01-21,Almora,0
2020-01-22,Almora,0
2020-01-23,Almora,0
2020-01-24,Almora,0
2020-01-25,Almora,0
2020-01-26,Almora,0
2020-01-27,Almora,0
2020-01-28,Almora,0
2020-01-29,Almora,0
2020-01-30,Almora,0
2020-01-31,Almora,0
2020-02-01,Almora,0
2020-02-02,Almora,0
2020-02-03,Almora,0
2020-02-04,Almora,0
2020-02-05,Almora,0
2020-02-06,Almora,0
2020-02-07,Almora,0
2020-02-08,Almora,0
2020-02-09,Almora,0
2020-02-10,Almora,0
2020-02-11,Almora,0
2020-02-12,Almora,0
2020-02-13,Almora,0
2020-02-14,Almora,0
2020-02-15,Almora,0
2020-02-16,Almora,0
2020-02-17,Almora,0
2020-02-18,Almora,0
2020-02-19,Almora,0
2020-02-20,Almora,0
2020-02-21,Almora,0
2020-02-22,Almora,0
2020-02-23,Almora,0
2020-02-24,Almora,0
2020-02-25,Almora,0
2020-02-26,Almora,0
2020-02-27,Almora,0
2020-02-28,Almora,0
2020-02-29,Almora,0
2020-03-01,Almora,0
2020-03-02,Almora,0
2020-03-03,Almora,0
2020-03-04,Almora,0
2020-03-05,Almora,0
2020-03-06,Almora,0
2020-03-07,Almora,0
2020-03-08,Almora,0
2020-03-09,Almora,0
2020-03-10,Almora,0
2020-03-11,Almora,0
2020-03-12,Almora,0
2020-03-13,Almora,0
2020-03-14,Almora,0
2020-03-15,Almora,0
2020-03-16,Almora,0
2020-03-17,Almora,0
2020-03-18,Almora,0
2020-03-19,Almora,0
2020-03-20,Almora,0
2020-03-21,Almora,0
2020-03-22,Almora,0
2020-03-23,Almora,0
2020-03-24,Almora,0
2020-03-25,Almora,0
2020-03-26,Almora,0
2020-03-27,Almora,0
2020-03-28,Almora,0
2020-03-29,Almora,0
2020-03-30,Almora,0
2020-03-31,Almora,0
2020-04-01,Almora,0
2020-04-02,Almora,0
2020-04-03,Almora,0
2020-04-04,Almora,0
2020-04-05,Almora,0
2020-04-06,Almora,0
2020-04-07,Almora,0
2020-04-08,Almora,0
2020-04-09,Almora,0
2020-04-10,Almora,0
2020-04-11,Almora,0
2020-04-12,Almora,0
2020-04-13,Almora,0
2020-04-14,Almora,0
2020-04-15,Almora,0
2020-04-16,Almora,0
2020-04-17,Almora,0
2020-04-18,Almora,0
2020-04-19,Almora,0
2020-04-20,Almora,0
2020-04-21,Almora,0
2020-04-22,Almora,0
2020-04-23,Almora,0
2020-04-24,Almora,0
2020-04-25,Almora,0
2020-04-26,Almora,0
2020-04-27,Almora,0
2020-04-28,Almora,0
2020-04-29,Almora,0
2020-04-30,Almora,0
2020-05-01,Almora,0
2020-05-02,Almora,0
2020-05-03,Almora,0
2020-05-04,Almora,0
2020-05-05,Almora,0
2020-05-06,Almora,0
2020-05-07,Almora,0
2020-05-08,Almora,0
2020-05-09,Almora,0
2020-05-10,Almora,0
2020-05-11,Almora,0
2020-05-12,Almora,0
2020-05-13,Almora,0
2020-05-14,Almora,0
2020-05-15,Almora,0
2020-05-16,Almora,0
2020-05-17,Almora,0
2020-05-18,Almora,0
2020-05-19,Almora,0
2020-05-20,Almora,0
2020-05-21,Almora,0
2020-05-22,Almora,0
2020-05-23,Almora,0
2020-05-24,Almora,0
2020-05-25,Almora,0
2020-05-26,Almora,0
2020-05-27,Almora,0
2020-05-28,Almora,0
2020-05-29,Almora,0
2020-05-30,Almora,0
2020-05-31,Almora,0
