district,mean_elevation,mean_slope
Almora,1431.8328157550104,22.823893180273483
Bageshwar,2313.362442097291,27.948554232827206
Chamoli,3582.915452996762,30.559382765030158
Champawat,1226.245121516255,24.63270918239799
Dehra Dun,1077.7870418407995,17.60159251870148
Haridwar,297.87155977060354,3.625138222047199
Naini Tal,869.4357508810718,15.64010029258418
Pauri Garhwal,1145.0823641253612,23.01342006581901
Pithoragarh,3316.336294233949,30.971982332445258
Rudra Prayag,2910.091761961188,30.967142232916157
Tehri Garhwal,1913.8547353637734,28.398587479030688
Udham Singh Nagar,228.02870571085478,2.44388995090817
Uttarkashi,3255.0149193410907,30.129926214487547
