threshold,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,predicted_positive_rate,true_negative,false_positive,false_negative,true_positive,pr_auc
0.01,0.3970495258166491,0.018200549450549452,0.9636363636363636,0.03572632288506909,0.6095948827292111,0.03636363636363636,0.6136986301369863,1831,2859,2,53,0.0385183352507577
0.02,0.4613277133825079,0.019592777564348827,0.9272727272727272,0.03837471783295711,0.544136460554371,0.07272727272727272,0.548577449947313,2138,2552,4,51,0.0385183352507577
0.03,0.5026343519494204,0.0211882010801828,0.9272727272727272,0.041429731925264016,0.5023454157782516,0.07272727272727272,0.5072708113804004,2334,2356,4,51,0.0385183352507577
0.04,0.5327713382507903,0.022526501766784453,0.9272727272727272,0.04398447606727038,0.4718550106609808,0.07272727272727272,0.47713382507903057,2477,2213,4,51,0.0385183352507577
0.05,0.5582718651211802,0.023353573096683792,0.9090909090909091,0.04553734061930783,0.44584221748400854,0.09090909090909091,0.4512118018967334,2599,2091,5,50,0.0385183352507577
0.06,0.582086406743941,0.02418558736426456,0.8909090909090909,0.047092743873137916,0.4215351812366738,0.10909090909090909,0.4269757639620653,2713,1977,6,49,0.0385183352507577
0.07,0.6042149631190727,0.02501302761855133,0.8727272727272727,0.0486322188449848,0.39893390191897654,0.12727272727272726,0.40442571127502636,2819,1871,7,48,0.0385183352507577
0.08,0.620231822971549,0.026044492674986434,0.8727272727272727,0.0505795574288725,0.38272921108742003,0.12727272727272726,0.38840885142255005,2895,1795,7,48,0.0385183352507577
0.09,0.6362486828240252,0.026091888825865002,0.8363636363636363,0.050605060506050605,0.36609808102345415,0.16363636363636364,0.3715489989462592,2973,1717,9,46,0.0385183352507577
0.1,0.6501580611169653,0.027106658809664112,0.8363636363636363,0.05251141552511415,0.35202558635394454,0.16363636363636364,0.3576396206533193,3039,1651,9,46,0.0385183352507577
0.11,0.6636459430979978,0.028169014084507043,0.8363636363636363,0.054502369668246446,0.33837953091684436,0.16363636363636364,0.3441517386722866,3103,1587,9,46,0.0385183352507577
0.12,0.6775553213909379,0.02875399361022364,0.8181818181818182,0.05555555555555555,0.32409381663113007,0.18181818181818182,0.32982086406743943,3170,1520,10,45,0.0385183352507577
0.13,0.6908324552160169,0.02996005326231691,0.8181818181818182,0.057803468208092484,0.3106609808102345,0.18181818181818182,0.3165437302423604,3233,1457,10,45,0.0385183352507577
0.14,0.700526870389884,0.028314917127071824,0.7454545454545455,0.054557551563539586,0.3,0.2545454545454545,0.3051633298208641,3283,1407,14,41,0.0385183352507577
0.15,0.7079030558482613,0.027679205110007096,0.7090909090909091,0.05327868852459016,0.2921108742004264,0.2909090909090909,0.2969441517386723,3320,1370,16,39,0.0385183352507577
0.16,0.7178082191780822,0.028634361233480177,0.7090909090909091,0.05504587155963303,0.282089552238806,0.2909090909090909,0.28703898840885145,3367,1323,16,39,0.0385183352507577
0.17,0.7253951527924131,0.028700906344410877,0.6909090909090909,0.05511240029006526,0.2742004264392324,0.3090909090909091,0.27903055848261327,3404,1286,17,38,0.0385183352507577
0.18,0.7331928345626976,0.028793774319066146,0.6727272727272727,0.05522388059701493,0.26609808102345417,0.32727272727272727,0.2708113804004215,3442,1248,18,37,0.0385183352507577
0.19,0.7443624868282402,0.030032467532467532,0.6727272727272727,0.057498057498057496,0.2547974413646055,0.32727272727272727,0.25964172813487885,3495,1195,18,37,0.0385183352507577
0.2,0.7523709167544784,0.03098827470686767,0.6727272727272727,0.059247397918334666,0.2466950959488273,0.32727272727272727,0.25163329820864067,3533,1157,18,37,0.0385183352507577
0.21,0.7624868282402529,0.03146853146853147,0.6545454545454545,0.060050041701417846,0.23624733475479745,0.34545454545454546,0.2410958904109589,3582,1108,19,36,0.0385183352507577
0.22,0.7719704952581665,0.03275705186533212,0.6545454545454545,0.06239168110918544,0.22665245202558634,0.34545454545454546,0.23161222339304532,3627,1063,19,36,0.0385183352507577
